Time	[acc]	[toc1_mrna]	[toc1_1]	[toc1_2]	[cca1_mrna]	[cca1_c]	[cca1_n]	[toc1luc_mrna]	[toc1luc_1]	[toc1luc_2]	[cca1luc_mrna]	[cca1luc]	[luc_mrna]	[luc]
0	0.272067	0.0385665	0.206521	0.312712	0.104556	0.0513154	3.07284	0	0	0	0	0	0	0
1	0.329385	0.0340986	0.206075	0.219686	0.239198	0.112321	2.76204	0	0	0	0	0	0	0
2	0.382189	0.03225	0.203507	0.160857	0.182268	0.0891075	2.64488	0	0	0	0	0	0	0
3	0.430836	0.0332571	0.20091	0.123475	0.113958	0.0563241	2.30878	0	0	0	0	0	0	0
4	0.475652	0.0389146	0.200944	0.0997542	0.0687093	0.0339532	1.86442	0	0	0	0	0	0	0
5	0.516939	0.0519012	0.207563	0.085151	0.0432906	0.0212455	1.43593	0	0	0	0	0	0	0
6	0.554976	0.0750666	0.226286	0.0773261	0.0301547	0.0146223	1.0807	0	0	0	0	0	0	0
7	0.590017	0.10951	0.263475	0.0754714	0.0243831	0.0116305	0.811297	0	0	0	0	0	0	0
8	0.622299	0.152783	0.324216	0.0797217	0.0238384	0.0111521	0.621979	0	0	0	0	0	0	0
9	0.652039	0.199579	0.410007	0.0905224	0.0285011	0.0130911	0.504516	0	0	0	0	0	0	0
10	0.679438	0.244128	0.518029	0.108061	0.0400814	0.0181801	0.456454	0	0	0	0	0	0	0
11	0.704679	0.281381	0.641938	0.131932	0.0615108	0.0277603	0.485052	0	0	0	0	0	0	0
12	0.727933	0.306135	0.772594	0.161017	0.0955634	0.0431822	0.606621	0	0	0	0	0	0	0
13	0.670615	0.309086	0.760604	0.323099	0.0682991	0.0317184	0.76795	0	0	0	0	0	0	0
14	0.617811	0.295509	0.747852	0.433432	0.117979	0.0535428	0.950796	0	0	0	0	0	0	0
15	0.569164	0.265375	0.724008	0.505763	0.177814	0.0823204	1.32914	0	0	0	0	0	0	0
16	0.524348	0.224264	0.682648	0.54736	0.223585	0.105017	1.84719	0	0	0	0	0	0	0
17	0.483061	0.182301	0.625047	0.562645	0.249883	0.118489	2.40014	0	0	0	0	0	0	0
18	0.445024	0.145258	0.557462	0.555905	0.257687	0.12303	2.89896	0	0	0	0	0	0	0
19	0.409983	0.114742	0.486618	0.532006	0.249887	0.119967	3.28384	0	0	0	0	0	0	0
20	0.377701	0.0904836	0.417676	0.495994	0.229977	0.110952	3.52245	0	0	0	0	0	0	0
21	0.347961	0.0716175	0.353928	0.452543	0.201739	0.0977792	3.6053	0	0	0	0	0	0	0
22	0.320562	0.0572018	0.297142	0.4056	0.169072	0.0823108	3.54124	0	0	0	0	0	0	0
23	0.295321	0.0464063	0.248003	0.358243	0.135668	0.0663277	3.35312	0	0	0	0	0	0	0
24	0.272067	0.0385667	0.206521	0.312711	0.104555	0.051315	3.07284	0	0	0	0	0	0	0
25	0.329385	0.0340987	0.206075	0.219686	0.239197	0.11232	2.76204	0	0	0	0	0	0	0
26	0.382189	0.0322501	0.203507	0.160857	0.182267	0.0891072	2.64488	0	0	0	0	0	0	0
