Time	[CaI]	[IP3]	[g]	[PMCA]	[SERCA]	[STIM]	[CaO]	[CaM]	[CaS]
0	0.05	0	0.002	0.013	0.266	0.02	1000	0	2
1	0.0547954	0.0225887	0.0019991	0.013	0.266	0.02	1000	0.000651198	1.99452
2	0.0694742	0.0305572	0.00203529	0.013	0.266	0.02	1000	0.0015282	1.97862
3	0.109168	0.0435318	0.00228468	0.0130001	0.266	0.02	1000	0.0034265	1.93581
4	0.502956	0.127822	0.0367012	0.0130001	0.266	0.02	1000	0.0195833	1.52029
5	1.16138	0.480545	0.905234	0.0130002	0.266005	0.02	1000	0.0692503	0.811211
6	0.964116	0.515492	0.988221	0.0130003	0.266011	0.0199999	1000	0.0946128	0.985587
7	0.724919	0.418227	0.988299	0.0130004	0.266013	0.0199999	1000	0.114936	1.19962
8	0.516649	0.309285	0.980073	0.0130005	0.266014	0.0199999	1000	0.127749	1.38637
9	0.361245	0.219266	0.967028	0.0130006	0.266015	0.0199999	1000	0.132289	1.52818
10	0.254118	0.154101	0.951511	0.0130007	0.266015	0.0199999	1000	0.132588	1.62718
11	0.179716	0.108722	0.935147	0.0130008	0.266016	0.0199999	1000	0.131121	1.69715
12	0.128416	0.077153	0.918666	0.0130009	0.266016	0.0199999	1000	0.128535	1.74722
13	0.0959786	0.0561912	0.902346	0.0130009	0.266016	0.0199999	1000	0.12521	1.78083
14	0.0775517	0.0434974	0.886278	0.013001	0.266016	0.0199998	1000	0.121517	1.80181
15	0.0677746	0.0364284	0.870484	0.013001	0.266016	0.0199998	1000	0.11768	1.81479
16	0.0627791	0.0327	0.854968	0.013001	0.266016	0.0199998	1000	0.113794	1.82329
17	0.0603347	0.0308128	0.839727	0.013001	0.266016	0.0199998	1000	0.1099	1.82936
18	0.0592535	0.0299153	0.824757	0.013001	0.266017	0.0199998	1000	0.106017	1.8341
19	0.0589142	0.0295515	0.810056	0.013001	0.266017	0.0199998	1000	0.102154	1.83811
