Time	[E]	[E_P_1]	[P]	[M]	[E_M]	[T]	[E_P_2]	[P2]	[E_P2]
0	0.00015	0	1	0	0	0	0	0	0
1	7.94906e-05	6.2674e-05	0.994533	0.00512497	2.92389e-07	3.05383e-05	7.54096e-06	0.000240713	2.06092e-09
2	7.95376e-05	6.23709e-05	0.989139	0.0101846	5.82791e-07	0.000122602	7.50449e-06	0.000483561	4.19342e-09
3	7.95863e-05	6.20704e-05	0.98377	0.0151589	8.68656e-07	0.000275234	7.46833e-06	0.000725145	6.31748e-09
4	7.96367e-05	6.17723e-05	0.978428	0.0200489	1.15006e-06	0.000487489	7.43247e-06	0.000965476	8.43329e-09
5	7.96887e-05	6.14768e-05	0.973111	0.024856	1.42708e-06	0.00075844	7.3969e-06	0.00120456	1.05411e-08
6	7.97423e-05	6.11836e-05	0.967819	0.029581	1.69977e-06	0.00108717	7.36163e-06	0.00144242	1.2641e-08
7	7.97976e-05	6.08928e-05	0.962553	0.0342253	1.96822e-06	0.00147278	7.32664e-06	0.00167905	1.47332e-08
8	7.98544e-05	6.06044e-05	0.957311	0.0387897	2.2325e-06	0.00191439	7.29193e-06	0.00191446	1.6818e-08
9	7.99128e-05	6.03182e-05	0.952095	0.0432755	2.49265e-06	0.00241113	7.25749e-06	0.00214867	1.88954e-08
10	7.99727e-05	6.00342e-05	0.946903	0.0476836	2.74876e-06	0.00296214	7.22333e-06	0.00238168	2.09657e-08
11	8.00342e-05	5.97525e-05	0.941735	0.052015	3.00089e-06	0.00356657	7.18943e-06	0.00261351	2.30291e-08
12	8.00972e-05	5.94729e-05	0.936591	0.0562709	3.24909e-06	0.0042236	7.15579e-06	0.00284416	2.50856e-08
13	8.01616e-05	5.91954e-05	0.931472	0.060452	3.49343e-06	0.0049324	7.1224e-06	0.00307364	2.71356e-08
14	8.02276e-05	5.892e-05	0.926377	0.0645596	3.73396e-06	0.00569218	7.08926e-06	0.00330195	2.9179e-08
15	8.0295e-05	5.86467e-05	0.921305	0.0685944	3.97075e-06	0.00650214	7.05637e-06	0.00352911	3.12161e-08
16	8.03639e-05	5.83753e-05	0.916256	0.0725575	4.20385e-06	0.00736151	7.02372e-06	0.00375513	3.3247e-08
17	8.04342e-05	5.81059e-05	0.911231	0.0764497	4.43331e-06	0.0082695	6.99131e-06	0.00398001	3.52719e-08
18	8.05059e-05	5.78385e-05	0.906229	0.0802721	4.65919e-06	0.00922536	6.95913e-06	0.00420376	3.72909e-08
19	8.0579e-05	5.7573e-05	0.90125	0.0840254	4.88154e-06	0.0102284	6.92718e-06	0.00442639	3.93042e-08
20	8.06535e-05	5.73093e-05	0.896294	0.0877107	5.10041e-06	0.0112777	6.89546e-06	0.00464791	4.13118e-08
21	8.07294e-05	5.70475e-05	0.891361	0.0913287	5.31586e-06	0.0123728	6.86395e-06	0.00486832	4.3314e-08
22	8.08066e-05	5.67875e-05	0.88645	0.0948804	5.52793e-06	0.0135128	6.83267e-06	0.00508763	4.53108e-08
23	8.08852e-05	5.65292e-05	0.881561	0.0983665	5.73666e-06	0.014697	6.8016e-06	0.00530585	4.73024e-08
24	8.09651e-05	5.62727e-05	0.876695	0.101788	5.94212e-06	0.0159248	6.77073e-06	0.00552298	4.92889e-08
25	8.10464e-05	5.60179e-05	0.871851	0.105146	6.14434e-06	0.0171955	6.74008e-06	0.00573904	5.12705e-08
26	8.11289e-05	5.57648e-05	0.867029	0.10844	6.34336e-06	0.0185084	6.70962e-06	0.00595402	5.32471e-08
27	8.12128e-05	5.55134e-05	0.862228	0.111673	6.53924e-06	0.0198628	6.67937e-06	0.00616794	5.52191e-08
28	8.12979e-05	5.52636e-05	0.857449	0.114844	6.73201e-06	0.021258	6.64931e-06	0.0063808	5.71864e-08
29	8.13843e-05	5.50153e-05	0.852691	0.117954	6.92172e-06	0.0226935	6.61944e-06	0.00659261	5.91492e-08
30	8.1472e-05	5.47687e-05	0.847955	0.121004	7.10841e-06	0.0241686	6.58976e-06	0.00680338	6.11075e-08
31	8.15609e-05	5.45236e-05	0.84324	0.123995	7.29212e-06	0.0256826	6.56027e-06	0.0070131	6.30616e-08
32	8.16511e-05	5.428e-05	0.838547	0.126928	7.47289e-06	0.027235	6.53097e-06	0.00722179	6.50114e-08
33	8.17425e-05	5.4038e-05	0.833874	0.129804	7.65076e-06	0.0288251	6.50184e-06	0.00742946	6.69572e-08
34	8.18351e-05	5.37974e-05	0.829222	0.132622	7.82576e-06	0.0304523	6.47289e-06	0.00763611	6.88989e-08
35	8.19289e-05	5.35582e-05	0.82459	0.135384	7.99794e-06	0.032116	6.44412e-06	0.00784174	7.08368e-08
36	8.20239e-05	5.33205e-05	0.819979	0.138091	8.16732e-06	0.0338157	6.41551e-06	0.00804636	7.27708e-08
37	8.21201e-05	5.30842e-05	0.815389	0.140742	8.33396e-06	0.0355507	6.38708e-06	0.00824998	7.47011e-08
38	8.22175e-05	5.28492e-05	0.810819	0.14334	8.49787e-06	0.0373204	6.35881e-06	0.0084526	7.66278e-08
39	8.2316e-05	5.26157e-05	0.806269	0.145885	8.6591e-06	0.0391244	6.33071e-06	0.00865423	7.85509e-08
40	8.24157e-05	5.23834e-05	0.801739	0.148376	8.81768e-06	0.040962	6.30276e-06	0.00885487	8.04705e-08
41	8.25165e-05	5.21525e-05	0.79723	0.150816	8.97364e-06	0.0428328	6.27498e-06	0.00905453	8.23868e-08
