Time	[EmptySet]	[M]	[Pt]
0	0	1	1
1	0	0.949888	0.887805
2	0	0.920058	0.736554
3	0	0.928651	0.54249
4	0	1.04894	0.294294
5	0	1.63542	0.0177822
6	0	2.40494	0.0838618
7	0	2.6259	0.525451
8	0	2.439	1.17616
9	0	2.22597	1.77407
10	0	2.02406	2.2666
11	0	1.83809	2.64808
12	0	1.66832	2.92551
13	0	1.51395	3.10966
14	0	1.37387	3.21205
15	0	1.24696	3.2438
16	0	1.13213	3.21512
17	0	1.02836	3.13512
18	0	0.934745	3.01176
19	0	0.850463	2.85188
20	0	0.774825	2.66121
21	0	0.707279	2.44439
22	0	0.647457	2.20495
23	0	0.595269	1.94522
24	0	0.551119	1.66607
25	0	0.516489	1.36629
26	0	0.495789	1.0411
27	0	0.504922	0.67739
28	0	0.656082	0.231298
29	0	1.46329	0.0121483
30	0	2.26364	0.0549733
31	0	2.643	0.402059
32	0	2.48218	1.04408
33	0	2.26891	1.65996
34	0	2.06404	2.17518
35	0	1.87473	2.57899
36	0	1.7017	2.87685
37	0	1.54427	3.0791
38	0	1.40136	3.19726
39	0	1.27186	3.24257
40	0	1.15465	3.22545
41	0	1.0487	3.15524
42	0	0.953076	3.04014
43	0	0.866948	2.88722
44	0	0.789595	2.70242
45	0	0.720434	2.49061
46	0	0.659053	2.25556
47	0	0.605294	1.99985
48	0	0.559432	1.72468
49	0	0.522644	1.42935
50	0	0.49844	1.11002
51	0	0.498674	0.75603
52	0	0.591384	0.334658
53	0	1.28738	0.0091754
54	0	2.11068	0.0380238
55	0	2.63806	0.290327
56	0	2.52422	0.910103
57	0	2.31229	1.54144
58	0	2.10469	2.07902
59	0	1.91206	2.50541
60	0	1.73574	2.82415
61	0	1.5752	3.045
62	0	1.42942	3.1794
63	0	1.29727	3.23871
64	0	1.17763	3.23354
65	0	1.06947	3.17347
66	0	0.971806	3.06693
67	0	0.883801	2.92121
68	0	0.804709	2.74249
69	0	0.733916	2.53586
70	0	0.670969	2.3053
71	0	0.615649	2.05366
72	0	0.568119	1.78245
73	0	0.529306	1.49142
74	0	0.502017	1.17754
75	0	0.495266	0.832112
76	0	0.553025	0.429942
77	0	1.10775	0.00682103
78	0	1.95102	0.0275347
79	0	2.59759	0.196496
80	0	2.56404	0.77554
81	0	2.35598	1.41882
82	0	2.14598	1.97818
83	0	1.95007	2.42734
84	0	1.77043	2.76738
85	0	1.60674	3.0073
86	0	1.45804	3.15841
87	0	1.3232	3.23216
88	0	1.2011	3.23935
89	0	1.09067	3.18977
90	0	0.990937	3.09208
91	0	0.901025	2.95383
92	0	0.820167	2.7814
93	0	0.747721	2.5801
94	0	0.683199	2.35416
95	0	0.626324	2.10666
96	0	0.577162	1.8394
97	0	0.536431	1.55255
98	0	0.506381	1.24378
99	0	0.493978	0.905995
100	0	0.529119	0.519361
