Time	[E]	[E_P_1]	[P]	[M]	[M1]	[E_M1]	[E_M]	[T]	[E_P_2]	[P2]	[P21]	[E_P21]	[E_P2]	[E_P1]
0	0.00015	0	1	0	0	0	0	0	0	0	0	0	0	0
1	7.93699e-05	6.25799e-05	0.994537	0.00512127	7.97297e-11	6.00459e-15	2.91737e-07	3.07246e-05	7.52544e-06	0.000240405	8.58161e-14	1.51326e-25	2.05526e-09	0
2	7.92934e-05	6.21812e-05	0.989155	0.0101695	3.17947e-10	2.45618e-14	5.80147e-07	0.000122697	7.47749e-06	0.000482566	3.47269e-13	1.23079e-24	4.17217e-09	0
3	7.9219e-05	6.1787e-05	0.983807	0.0151251	7.11267e-10	5.53787e-14	8.62734e-07	0.000274682	7.43009e-06	0.000723097	7.83214e-13	4.16636e-24	6.2709e-09	0
4	7.91469e-05	6.13973e-05	0.978493	0.0199898	1.25636e-09	9.816e-14	1.13963e-06	0.00048547	7.38322e-06	0.000962017	1.39248e-12	9.87159e-24	8.35185e-09	0
5	7.90769e-05	6.10119e-05	0.973212	0.024765	1.94997e-09	1.52618e-13	1.41095e-06	0.000753877	7.33688e-06	0.00119934	2.17391e-12	1.92461e-23	1.04154e-08	0
6	7.9009e-05	6.06309e-05	0.967964	0.0294522	2.78889e-09	2.18472e-13	1.67683e-06	0.00107875	7.29105e-06	0.00143509	3.12635e-12	3.31758e-23	1.24618e-08	0
7	7.89432e-05	6.0254e-05	0.962749	0.034053	3.76996e-09	2.95449e-13	1.93737e-06	0.00145895	7.24572e-06	0.00166929	4.24868e-12	5.25331e-23	1.44915e-08	0
8	7.88795e-05	5.98812e-05	0.957567	0.0385687	4.89009e-09	3.83282e-13	2.1927e-06	0.00189337	7.20089e-06	0.00190193	5.53977e-12	7.81774e-23	1.65048e-08	0
9	7.88177e-05	5.95124e-05	0.952416	0.0430008	6.14625e-09	4.81713e-13	2.44292e-06	0.00238094	7.15654e-06	0.00213306	6.99851e-12	1.10955e-22	1.8502e-08	0
10	7.87578e-05	5.91476e-05	0.947297	0.0473508	7.53545e-09	5.90487e-13	2.68814e-06	0.00292058	7.11267e-06	0.00236267	8.6238e-12	1.51701e-22	2.04835e-08	0
11	7.86999e-05	5.87866e-05	0.942209	0.0516198	9.05475e-09	7.09358e-13	2.92847e-06	0.00351126	7.06927e-06	0.00259079	1.04146e-11	2.01237e-22	2.24495e-08	0
12	7.86439e-05	5.84295e-05	0.937153	0.0558094	1.07013e-08	8.38084e-13	3.16401e-06	0.00415197	7.02632e-06	0.00281744	1.23697e-11	2.60372e-22	2.44003e-08	0
13	7.85897e-05	5.80761e-05	0.932126	0.0599207	1.24722e-08	9.76431e-13	3.39486e-06	0.0048417	6.98382e-06	0.00304262	1.44882e-11	3.29905e-22	2.63363e-08	0
14	7.85374e-05	5.77263e-05	0.927131	0.0639551	1.43647e-08	1.12417e-12	3.62111e-06	0.00557948	6.94176e-06	0.00326635	1.6769e-11	4.10622e-22	2.82577e-08	0
15	7.84868e-05	5.73802e-05	0.922165	0.0679139	1.63761e-08	1.28107e-12	3.84286e-06	0.00636437	6.90013e-06	0.00348865	1.9211e-11	5.033e-22	3.01648e-08	0
16	7.8438e-05	5.70376e-05	0.917229	0.0717981	1.85037e-08	1.44693e-12	4.0602e-06	0.00719541	6.85892e-06	0.00370953	2.18132e-11	6.08702e-22	3.20578e-08	0
17	7.8391e-05	5.66984e-05	0.912322	0.0756091	2.07449e-08	1.62151e-12	4.27323e-06	0.00807169	6.81814e-06	0.003929	2.45747e-11	7.27582e-22	3.3937e-08	0
18	7.83456e-05	5.63626e-05	0.907445	0.0793481	2.30969e-08	1.80463e-12	4.48201e-06	0.00899233	6.77776e-06	0.00414709	2.74942e-11	8.60685e-22	3.58028e-08	0
19	7.83019e-05	5.60302e-05	0.902596	0.0830161	2.55574e-08	1.99606e-12	4.68665e-06	0.00995642	6.73778e-06	0.0043638	3.0571e-11	1.00874e-21	3.76552e-08	0
20	7.82598e-05	5.5701e-05	0.897776	0.0866144	2.81238e-08	2.19562e-12	4.88723e-06	0.0109631	6.69819e-06	0.00457914	3.3804e-11	1.17248e-21	3.94946e-08	0
21	7.82194e-05	5.53751e-05	0.892984	0.0901439	3.07937e-08	2.40311e-12	5.08381e-06	0.0120116	6.659e-06	0.00479313	3.71921e-11	1.3526e-21	4.13212e-08	0
22	7.81805e-05	5.50523e-05	0.88822	0.093606	3.35645e-08	2.61834e-12	5.27649e-06	0.013101	6.62018e-06	0.00500579	4.07345e-11	1.54982e-21	4.31353e-08	0
23	7.81433e-05	5.47326e-05	0.883484	0.0970015	3.64339e-08	2.84112e-12	5.46533e-06	0.0142305	6.58174e-06	0.00521712	4.44302e-11	1.76483e-21	4.49369e-08	0
24	7.81075e-05	5.4416e-05	0.878775	0.100332	3.93997e-08	3.07127e-12	5.65042e-06	0.0153993	6.54366e-06	0.00542714	4.82782e-11	1.99831e-21	4.67265e-08	0
25	7.80733e-05	5.41024e-05	0.874094	0.103597	4.24594e-08	3.30862e-12	5.83182e-06	0.0166066	6.50594e-06	0.00563586	5.22775e-11	2.25094e-21	4.85041e-08	0
