Time	[V_membrane]	[h]	[d]	[n]	[Ca_i_cytosolic_calcium]	[Ca_lum]
0	-38.3415	0.214723	0.00317112	0.18364	0.695947	102.686
1	-46.4416	0.425593	0.000703983	0.118617	0.595082	103.837
2	-54.6401	0.718344	0.000132867	0.0682507	0.54813	100.459
3	-55.0034	0.731591	0.000123261	0.0663759	0.528755	96.969
4	-54.3636	0.713584	0.000140043	0.0692375	0.511565	93.6184
5	-53.5923	0.690646	0.000163376	0.0728641	0.495526	90.4213
6	-52.7521	0.664542	0.000193236	0.0770136	0.480632	87.3807
7	-51.8192	0.634379	0.00023281	0.0818695	0.467051	84.5016
8	-50.7278	0.597825	0.000289457	0.0878919	0.455166	81.7953
9	-49.3007	0.548715	0.000384629	0.0963329	0.446042	79.2892
10	-46.7217	0.460154	0.000640393	0.113151	0.445126	77.0751
11	-38.3399	0.227523	0.00293558	0.178526	0.533368	79.0024
12	-38.3465	0.140482	0.010569	0.245605	1.17254	86.4508
13	-41.204	0.247977	0.0021966	0.170294	0.654894	92.1397
14	-36.9885	0.118273	0.0131133	0.26294	1.23276	96.0827
15	-40.7379	0.267488	0.00208379	0.16286	0.618392	98.7369
16	-40.8617	0.26903	0.00204973	0.162248	0.626813	100.393
17	-42.5439	0.309567	0.00150966	0.148791	0.617271	101.966
18	-52.1243	0.634011	0.000221065	0.0811692	0.54636	99.252
19	-54.5013	0.716633	0.000136349	0.0686877	0.523483	95.8613
20	-54.0835	0.705281	0.000148116	0.0705426	0.50631	92.566
21	-53.323	0.682383	0.000172413	0.074173	0.490585	89.4201
22	-52.4615	0.655268	0.000204784	0.0784979	0.476084	86.4311
23	-51.4882	0.623418	0.000248715	0.083657	0.462991	83.6063
24	-50.3181	0.583833	0.0003141	0.0902499	0.451818	80.9604
25	-48.6855	0.527371	0.000434632	0.100168	0.444196	78.5318
26	-44.7762	0.397428	0.000933366	0.126968	0.453459	76.4877
27	-40.3345	0.255558	0.00220766	0.166881	0.545127	81.77
28	-28.8911	0.103394	0.00934486	0.249271	0.694294	87.201
29	-27.3283	0.085718	0.0113778	0.265018	0.75656	92.2078
