Time	[G_p]	[G_t]	[I_l]	[I_p]	[Q_sto1]	[Q_gut]	[I_1]	[I_d]	[X]	[I_po]	[Y]	[Q_sto2]
0	178	135	4.5	1.25	78000	0	25	25	0	3.6	0	0
1	178.006	135.15	4.74829	1.2756	73766.8	114.136	25.0016	25	0.00680952	3.60821	-0.00172466	4116.86
2	178.158	135.292	4.95478	1.31839	69763.4	431.485	25.0089	25	0.0367341	3.75724	-0.00316593	7788.29
3	178.554	135.439	5.2181	1.372	65977.2	917.309	25.0236	25.0002	0.0968852	4.08564	-0.0037715	11050.9
4	179.266	135.607	5.60988	1.44473	62396.5	1540.34	25.0481	25.0004	0.195619	4.59148	-0.00277589	13939.1
5	180.344	135.816	6.17667	1.54874	59010.1	2272.29	25.086	25.001	0.348083	5.25384	0.000720575	16485.3
6	181.821	136.086	6.94564	1.69503	55807.5	3087.28	25.1433	25.0018	0.576622	6.04415	0.00769019	18720.5
7	183.713	136.436	7.92995	1.89184	52778.8	3961.08	25.227	25.0033	0.909156	6.93179	0.0191289	20674.8
8	186.027	136.885	9.13266	2.14433	49914.4	4870.16	25.3454	25.0055	1.37704	7.8865	0.0360157	22378.6
9	188.753	137.448	10.5488	2.45492	47205.4	5790.45	25.5071	25.0087	2.01307	8.87883	0.0592778	23863.4
10	191.873	138.138	12.1659	2.82359	44643.5	6696.13	25.721	25.0135	2.84971	9.87964	0.0897579	25163.6
11	195.353	138.967	13.9638	3.24802	42220.6	7558.98	25.9957	25.0201	3.91762	10.8591	0.128182	26317.1
12	199.146	139.942	15.9131	3.72356	39929.2	8349.63	26.3392	25.0291	5.24418	11.7862	0.175125	27364
13	203.192	141.063	17.9742	4.243	37762.2	9041.58	26.7583	25.041	6.85205	12.6305	0.230983	28343
14	207.423	142.33	20.0979	4.7965	35712.8	9616.8	27.2588	25.0564	8.75756	13.3653	0.295945	29284.8
15	211.768	143.735	22.2286	5.37169	33774.6	10069.6	27.8443	25.076	10.9693	13.9728	0.369993	30208.6
16	216.16	145.268	24.3093	5.95447	31941.6	10405.7	28.5165	25.1003	13.4868	14.4469	0.452911	31121.4
17	220.544	146.915	26.2878	6.5301	30208.1	10638.5	29.2747	25.1302	16.3003	14.7934	0.54432	32021.9
18	224.876	148.66	28.1217	7.08463	28568.6	10784.3	30.1161	25.166	19.3909	15.0262	0.643714	32904.6
19	229.12	150.486	29.7806	7.606	27018.1	10859.3	31.0357	25.2086	22.7316	15.1644	0.750502	33763
20	233.254	152.378	31.2471	8.08493	25551.8	10877.8	32.0268	25.2583	26.2896	15.2277	0.864039	34591
21	237.261	154.319	32.5148	8.51515	24165.1	10852.1	33.0817	25.3156	30.0279	15.2351	0.983656	35384
22	241.129	156.293	33.5875	8.89341	22853.6	10792	34.192	25.3811	33.9078	15.2028	1.10868	36138.6
23	244.853	158.286	34.4755	9.21911	21613.3	10705.6	35.3489	25.455	37.8904	15.1446	1.23843	36852.5
24	248.43	160.286	35.1946	9.49382	20440.3	10599.4	36.544	25.5375	41.9386	15.0713	1.37227	37524.4
25	251.859	162.282	35.7634	9.72073	19331	10478.5	37.769	25.6289	46.018	14.9911	1.50958	38153.9
26	255.141	164.263	36.2018	9.90417	18281.9	10347.1	39.0166	25.7294	50.0978	14.9103	1.64977	38740.8
27	258.278	166.221	36.5302	10.0491	17289.7	10208.5	40.2802	25.8389	54.1514	14.8334	1.79227	39285.8
28	261.274	168.149	36.768	10.1608	16351.3	10065.2	41.5539	25.9575	58.1562	14.7637	1.93658	39789.5
29	264.132	170.041	36.9336	10.2446	15463.9	9919.52	42.833	26.0853	62.094	14.7032	2.08219	40253.1
30	266.856	171.892	37.0437	10.3056	14624.7	9772.99	44.1132	26.2221	65.9503	14.6533	2.22866	40677.6
31	269.452	173.698	37.113	10.3484	13830.9	9626.98	45.3916	26.3679	69.7146	14.6146	2.37558	41064.5
32	271.924	175.455	37.1545	10.3774	13080.3	9482.51	46.6654	26.5227	73.3795	14.5876	2.52257	41415
33	274.276	177.161	37.1793	10.3965	12370.4	9340.4	47.933	26.6862	76.9406	14.5719	2.66926	41730.5
34	276.514	178.815	37.1965	10.4089	11699.1	9201.26	49.1931	26.8583	80.3958	14.5674	2.81535	42012.6
35	278.642	180.413	37.2139	10.4175	11064.1	9065.56	50.4448	27.039	83.7451	14.5736	2.96053	42262.6
36	280.664	181.956	37.2377	10.4247	10463.7	8933.64	51.6879	27.2281	86.9905	14.5897	3.10456	42482.1
37	282.585	183.444	37.2726	10.4325	9895.78	8805.72	52.9224	27.4254	90.135	14.6152	3.24718	42672.3
38	284.409	184.875	37.3224	10.4423	9358.72	8681.96	54.1485	27.6309	93.1827	14.6491	3.3882	42834.8
39	286.141	186.249	37.3897	10.4555	8850.81	8562.43	55.3668	27.8444	96.1386	14.6909	3.5274	42970.8
40	287.784	187.567	37.4765	10.473	8370.46	8447.15	56.5779	28.0657	99.0083	14.7395	3.66463	43081.6
41	289.341	188.829	37.5837	10.4954	7916.18	8336.09	57.7826	28.2948	101.798	14.7944	3.79973	43168.7
42	290.817	190.036	37.7118	10.5232	7486.55	8229.18	58.9818	28.5316	104.512	14.8546	3.93257	43233.1
43	292.215	191.188	37.8609	10.5565	7080.25	8126.35	60.1764	28.7759	107.158	14.9194	4.06303	43276.1
44	293.538	192.285	38.0305	10.5956	6695.99	8027.47	61.3672	29.0277	109.742	14.9882	4.19101	43298.9
45	294.789	193.329	38.2197	10.6404	6332.59	7932.4	62.5553	29.2868	112.269	15.0601	4.31641	43302.5
46	295.97	194.32	38.4276	10.6907	5988.91	7841.01	63.7415	29.5533	114.745	15.1346	4.43917	43288.1
47	297.084	195.258	38.6529	10.7462	5663.88	7753.14	64.9267	29.827	117.174	15.211	4.55921	43256.6
48	298.134	196.146	38.8942	10.8068	5356.49	7668.63	66.1117	30.1079	119.562	15.2887	4.67649	43209
49	299.122	196.983	39.1499	10.8719	5065.78	7587.32	67.2973	30.3958	121.914	15.3672	4.79095	43146.2
50	300.05	197.771	39.4184	10.9413	4790.85	7509.03	68.4842	30.6909	124.232	15.4459	4.90256	43069.2
51	300.919	198.509	39.698	11.0144	4530.85	7433.62	69.6729	30.993	126.522	15.5244	5.0113	42978.8
52	301.733	199.2	39.987	11.0908	4284.95	7360.91	70.8641	31.302	128.786	15.6023	5.11713	42875.7
53	302.492	199.844	40.2837	11.1701	4052.4	7290.75	72.0581	31.618	131.026	15.679	5.22004	42760.9
54	303.197	200.442	40.5863	11.2518	3832.47	7222.98	73.2554	31.941	133.247	15.7543	5.32002	42635
55	303.852	200.994	40.8933	11.3354	3624.47	7157.45	74.4563	32.2708	135.449	15.8278	5.41706	42498.6
56	304.456	201.502	41.2028	11.4203	3427.77	7094.03	75.6611	32.6075	137.634	15.8993	5.51117	42352.6
57	305.011	201.966	41.5134	11.5063	3241.73	7032.57	76.8698	32.951	139.803	15.9683	5.60233	42197.5
58	305.518	202.387	41.8234	11.5928	3065.8	6972.94	78.0825	33.3014	141.958	16.0347	5.69057	42033.9
59	305.978	202.766	42.1315	11.6793	2899.41	6915.01	79.2994	33.6586	144.099	16.0982	5.77588	41862.4
60	306.393	203.105	42.436	11.7655	2742.06	6858.68	80.5202	34.0225	146.227	16.1588	5.85829	41683.6
61	306.763	203.402	42.7358	11.8509	2593.24	6803.82	81.745	34.3932	148.342	16.216	5.93779	41497.9
62	307.09	203.661	43.0295	11.9351	2452.5	6750.32	82.9735	34.7707	150.442	16.27	6.0144	41305.8
63	307.373	203.88	43.3158	12.0179	2319.4	6698.1	84.2054	35.1548	152.529	16.3204	6.08815	41107.9
64	307.614	204.062	43.5937	12.0988	2193.52	6647.06	85.4406	35.5456	154.602	16.3672	6.15905	40904.5
65	307.814	204.207	43.8621	12.1775	2074.47	6597.1	86.6785	35.9431	156.658	16.4103	6.22713	40696
66	307.973	204.316	44.12	12.2537	1961.89	6548.15	87.919	36.3473	158.698	16.4497	6.29239	40482.9
67	308.092	204.389	44.3665	12.327	1855.41	6500.13	89.1614	36.758	160.721	16.4853	6.35486	40265.5
68	308.172	204.428	44.6007	12.3974	1754.72	6452.97	90.4054	37.1752	162.724	16.517	6.41458	40044.2
69	308.213	204.433	44.8219	12.4644	1659.48	6406.61	91.6504	37.599	164.707	16.5448	6.47155	39819.3
70	308.216	204.406	45.0294	12.5279	1569.42	6360.98	92.8959	38.0292	166.668	16.5688	6.5258	39591.2
71	308.181	204.346	45.2226	12.5877	1484.25	6316.03	94.1413	38.4659	168.605	16.5888	6.57736	39360
72	308.11	204.255	45.401	12.6435	1403.69	6271.7	95.386	38.9089	170.517	16.605	6.62626	39126.1
73	308.002	204.134	45.5641	12.6954	1327.51	6227.94	96.6293	39.3582	172.401	16.6173	6.67252	38889.8
74	307.859	203.984	45.7114	12.7429	1255.47	6184.73	97.8707	39.8137	174.257	16.6258	6.71616	38651.3
75	307.681	203.805	45.8427	12.7862	1187.33	6142	99.1095	40.2755	176.082	16.6305	6.75721	38410.9
76	307.468	203.598	45.9576	12.825	1122.89	6099.73	100.345	40.7433	177.874	16.6314	6.79571	38168.7
77	307.222	203.365	46.0559	12.8593	1061.95	6057.88	101.577	41.2171	179.631	16.6286	6.83167	37925
78	306.942	203.105	46.1376	12.889	1004.32	6016.42	102.803	41.6969	181.352	16.6222	6.86513	37680
79	306.63	202.821	46.2024	12.9141	949.81	5975.32	104.025	42.1826	183.035	16.6122	6.89611	37433.8
80	306.286	202.512	46.2504	12.9344	898.262	5934.56	105.24	42.674	184.678	16.5987	6.92464	37186.7
81	305.91	202.179	46.2815	12.9501	849.512	5894.11	106.449	43.1711	186.279	16.5817	6.95075	36938.8
82	305.504	201.825	46.2957	12.9611	803.407	5853.96	107.651	43.6738	187.837	16.5614	6.97447	36690.2
83	305.067	201.448	46.2932	12.9673	759.805	5814.08	108.844	44.1819	189.349	16.5377	6.99583	36441.2
84	304.601	201.051	46.2742	12.9688	718.569	5774.46	110.028	44.6954	190.815	16.5109	7.01486	36191.8
85	304.106	200.634	46.2387	12.9657	679.571	5735.08	111.203	45.2141	192.232	16.4809	7.0316	35942.1
86	303.583	200.197	46.1869	12.958	642.689	5695.94	112.368	45.738	193.6	16.4478	7.04606	35692.4
87	303.033	199.743	46.1192	12.9457	607.809	5657	113.522	46.2668	194.917	16.4118	7.05829	35442.6
88	302.456	199.27	46.0358	12.9289	574.822	5618.28	114.665	46.8006	196.181	16.3728	7.06831	35193
89	301.852	198.782	45.937	12.9077	543.625	5579.75	115.796	47.3391	197.392	16.3311	7.07615	34943.6
90	301.224	198.277	45.8231	12.8821	514.122	5541.41	116.914	47.8822	198.549	16.2866	7.08186	34694.5
91	300.57	197.758	45.6944	12.8523	486.22	5503.26	118.019	48.4297	199.649	16.2395	7.08546	34445.7
92	299.893	197.224	45.5514	12.8183	459.832	5465.28	119.111	48.9816	200.693	16.1899	7.08698	34197.5
93	299.193	196.677	45.3945	12.7803	434.876	5427.47	120.188	49.5377	201.679	16.1378	7.08646	33949.8
94	298.47	196.117	45.224	12.7382	411.274	5389.83	121.25	50.0978	202.608	16.0833	7.08394	33702.8
95	297.725	195.546	45.0403	12.6924	388.954	5352.35	122.297	50.6619	203.477	16.0264	7.07945	33456.4
96	296.959	194.963	44.844	12.6428	367.844	5315.03	123.328	51.2296	204.287	15.9674	7.07301	33210.8
97	296.173	194.371	44.6353	12.5895	347.881	5277.87	124.344	51.801	205.037	15.9063	7.06468	32966.1
98	295.367	193.768	44.4149	12.5328	329.001	5240.87	125.342	52.3757	205.727	15.8431	7.05449	32722.2
99	294.543	193.157	44.1831	12.4727	311.145	5204.02	126.323	52.9538	206.356	15.7779	7.04246	32479.2
100	293.701	192.537	43.9404	12.4094	294.259	5167.33	127.287	53.5349	206.925	15.7108	7.02864	32237.2
