Time	[RuBP]	[PGA]	[DPGA]	[GAP]	[Ru5P]	[ADP]	[ATP]	[Pi]
0	2	2.4	0.0011	0.02	0.0501	0.82	0.68	6.3477
1	0.833568	0.161836	1.57225	1.99574	0.0315129	0.82	0.68	5.81927
2	0.647876	0.124725	0.792234	3.13918	0.036529	0.82	0.68	6.63934
3	0.636036	0.122152	0.531469	3.44974	0.0374715	0.82	0.68	6.87563
4	0.638736	0.122598	0.503632	3.50102	0.0376133	0.82	0.68	6.87403
5	0.640745	0.122947	0.503291	3.52585	0.0376779	0.82	0.68	6.84545
6	0.642274	0.123209	0.50467	3.54963	0.0377388	0.82	0.68	6.81554
7	0.643672	0.123447	0.505996	3.57348	0.0377992	0.82	0.68	6.78593
8	0.645029	0.123677	0.507265	3.59726	0.0378589	0.82	0.68	6.75661
9	0.646361	0.123903	0.508507	3.62091	0.0379177	0.82	0.68	6.72753
10	0.647672	0.124125	0.509728	3.64442	0.0379755	0.82	0.68	6.69868
11	0.648963	0.124344	0.510931	3.66777	0.0380324	0.82	0.68	6.67006
12	0.650236	0.124559	0.512117	3.69099	0.0380883	0.82	0.68	6.64166
13	0.651489	0.124771	0.513287	3.71406	0.0381434	0.82	0.68	6.61348
14	0.652724	0.124979	0.51444	3.73698	0.0381977	0.82	0.68	6.58551
15	0.65394	0.125185	0.515576	3.75977	0.0382511	0.82	0.68	6.55776
16	0.655139	0.125387	0.516697	3.78241	0.0383037	0.82	0.68	6.53023
17	0.656321	0.125587	0.517802	3.80491	0.0383555	0.82	0.68	6.5029
18	0.657485	0.125783	0.518892	3.82728	0.0384064	0.82	0.68	6.47578
19	0.658633	0.125977	0.519966	3.8495	0.0384567	0.82	0.68	6.44886
20	0.659764	0.126168	0.521027	3.87159	0.0385061	0.82	0.68	6.42215
21	0.66088	0.126356	0.522072	3.89355	0.0385549	0.82	0.68	6.39564
22	0.66198	0.126541	0.523104	3.91536	0.0386029	0.82	0.68	6.36933
23	0.663064	0.126724	0.524122	3.93705	0.0386502	0.82	0.68	6.34321
24	0.664134	0.126903	0.525126	3.9586	0.0386968	0.82	0.68	6.31728
25	0.665189	0.127081	0.526117	3.98002	0.0387427	0.82	0.68	6.29155
26	0.666229	0.127256	0.527095	4.0013	0.038788	0.82	0.68	6.266
27	0.667255	0.127428	0.528061	4.02246	0.0388326	0.82	0.68	6.24065
28	0.668267	0.127598	0.529013	4.04349	0.0388766	0.82	0.68	6.21547
29	0.669266	0.127766	0.529953	4.06439	0.03892	0.82	0.68	6.19048
30	0.670251	0.127932	0.530882	4.08517	0.0389627	0.82	0.68	6.16567
31	0.671223	0.128095	0.531798	4.10581	0.0390049	0.82	0.68	6.14104
32	0.672183	0.128256	0.532703	4.12634	0.0390465	0.82	0.68	6.11659
33	0.67313	0.128414	0.533596	4.14674	0.0390875	0.82	0.68	6.09231
34	0.674064	0.128571	0.534478	4.16701	0.0391279	0.82	0.68	6.06821
35	0.674986	0.128726	0.535349	4.18716	0.0391678	0.82	0.68	6.04427
36	0.675897	0.128878	0.536209	4.2072	0.0392072	0.82	0.68	6.02051
37	0.676796	0.129029	0.537058	4.22711	0.039246	0.82	0.68	5.99691
38	0.677683	0.129177	0.537897	4.2469	0.0392843	0.82	0.68	5.97348
39	0.678559	0.129324	0.538726	4.26657	0.0393221	0.82	0.68	5.95021
40	0.679424	0.129469	0.539545	4.28613	0.0393594	0.82	0.68	5.9271
41	0.680278	0.129611	0.540354	4.30557	0.0393962	0.82	0.68	5.90416
42	0.681122	0.129752	0.541153	4.32489	0.0394326	0.82	0.68	5.88137
43	0.681955	0.129892	0.541942	4.3441	0.0394684	0.82	0.68	5.85874
44	0.682777	0.130029	0.542722	4.3632	0.0395038	0.82	0.68	5.83627
45	0.68359	0.130165	0.543493	4.38218	0.0395388	0.82	0.68	5.81395
46	0.684393	0.130299	0.544255	4.40105	0.0395733	0.82	0.68	5.79178
47	0.685186	0.130431	0.545007	4.41981	0.0396073	0.82	0.68	5.76977
48	0.685969	0.130562	0.545751	4.43846	0.039641	0.82	0.68	5.7479
49	0.686743	0.130691	0.546487	4.457	0.0396742	0.82	0.68	5.72618
50	0.687508	0.130819	0.547214	4.47543	0.039707	0.82	0.68	5.7046
51	0.688264	0.130945	0.547932	4.49375	0.0397394	0.82	0.68	5.68318
52	0.689011	0.131069	0.548643	4.51196	0.0397714	0.82	0.68	5.66189
53	0.689749	0.131192	0.549345	4.53007	0.039803	0.82	0.68	5.64075
54	0.690479	0.131314	0.550039	4.54807	0.0398342	0.82	0.68	5.61974
55	0.6912	0.131434	0.550726	4.56597	0.0398651	0.82	0.68	5.59888
56	0.691912	0.131553	0.551405	4.58377	0.0398955	0.82	0.68	5.57815
57	0.692617	0.13167	0.552076	4.60146	0.0399257	0.82	0.68	5.55756
58	0.693314	0.131786	0.55274	4.61905	0.0399554	0.82	0.68	5.5371
59	0.694002	0.1319	0.553396	4.63654	0.0399848	0.82	0.68	5.51678
60	0.694683	0.132013	0.554046	4.65392	0.0400139	0.82	0.68	5.49659
61	0.695356	0.132125	0.554688	4.67121	0.0400426	0.82	0.68	5.47653
62	0.696022	0.132236	0.555323	4.6884	0.040071	0.82	0.68	5.4566
63	0.69668	0.132345	0.555952	4.70549	0.040099	0.82	0.68	5.4368
64	0.697331	0.132454	0.556573	4.72248	0.0401267	0.82	0.68	5.41713
65	0.697974	0.13256	0.557188	4.73938	0.0401541	0.82	0.68	5.39758
66	0.698611	0.132666	0.557797	4.75618	0.0401812	0.82	0.68	5.37816
67	0.699241	0.132771	0.558399	4.77288	0.040208	0.82	0.68	5.35886
68	0.699864	0.132874	0.558994	4.78949	0.0402345	0.82	0.68	5.33968
69	0.70048	0.132976	0.559584	4.80601	0.0402607	0.82	0.68	5.32063
70	0.701089	0.133077	0.560167	4.82243	0.0402866	0.82	0.68	5.30169
71	0.701692	0.133177	0.560744	4.83876	0.0403122	0.82	0.68	5.28288
72	0.702289	0.133276	0.561315	4.855	0.0403376	0.82	0.68	5.26418
73	0.702879	0.133374	0.561881	4.87114	0.0403626	0.82	0.68	5.2456
74	0.703463	0.133471	0.56244	4.8872	0.0403874	0.82	0.68	5.22713
75	0.704041	0.133567	0.562994	4.90317	0.0404119	0.82	0.68	5.20878
76	0.704613	0.133662	0.563542	4.91905	0.0404361	0.82	0.68	5.19055
77	0.705179	0.133755	0.564085	4.93483	0.0404601	0.82	0.68	5.17242
78	0.705739	0.133848	0.564622	4.95054	0.0404838	0.82	0.68	5.15441
79	0.706293	0.13394	0.565154	4.96615	0.0405073	0.82	0.68	5.13651
80	0.706842	0.134031	0.56568	4.98168	0.0405305	0.82	0.68	5.11872
81	0.707385	0.13412	0.566202	4.99712	0.0405535	0.82	0.68	5.10103
82	0.707922	0.134209	0.566718	5.01248	0.0405762	0.82	0.68	5.08346
83	0.708454	0.134297	0.567229	5.02775	0.0405987	0.82	0.68	5.06599
84	0.708981	0.134384	0.567735	5.04294	0.040621	0.82	0.68	5.04862
85	0.709503	0.134471	0.568236	5.05804	0.040643	0.82	0.68	5.03137
86	0.710019	0.134556	0.568732	5.07307	0.0406648	0.82	0.68	5.01421
87	0.71053	0.134641	0.569224	5.08801	0.0406864	0.82	0.68	4.99716
88	0.711036	0.134724	0.56971	5.10286	0.0407078	0.82	0.68	4.98021
89	0.711537	0.134807	0.570192	5.11764	0.0407289	0.82	0.68	4.96336
90	0.712033	0.134889	0.57067	5.13234	0.0407498	0.82	0.68	4.94662
91	0.712525	0.13497	0.571143	5.14696	0.0407706	0.82	0.68	4.92997
92	0.713011	0.13505	0.571611	5.1615	0.0407911	0.82	0.68	4.91342
93	0.713493	0.13513	0.572075	5.17596	0.0408114	0.82	0.68	4.89697
94	0.71397	0.135209	0.572535	5.19034	0.0408315	0.82	0.68	4.88061
95	0.714443	0.135287	0.57299	5.20464	0.0408514	0.82	0.68	4.86435
96	0.714911	0.135364	0.573441	5.21887	0.0408711	0.82	0.68	4.84819
97	0.715375	0.135441	0.573888	5.23302	0.0408906	0.82	0.68	4.83212
98	0.715834	0.135516	0.574331	5.2471	0.0409099	0.82	0.68	4.81614
99	0.716289	0.135591	0.57477	5.2611	0.0409291	0.82	0.68	4.80026
100	0.71674	0.135666	0.575204	5.27503	0.040948	0.82	0.68	4.78447
