Time	[Fringe]	[fucose]	[Delta]	[NI_sub_c_sub_t]	[N_sub_tm]	[TACE]	[a7_degraded]	[Neuralized]	[Numb]	[Mastermind]	[Su(H)]	[CoR]	[Complex_br_(Su(H)/CoR)]	[CoA]	[NI_sub_c_sub_s{nucleus}]	[Complex_br_(Mastermind/Su(H)/_br_CoA/NI_sub_c_sub_s)]	[NI_sub_c_sub_s{nucleus}]	[Sel 10]	[Ub]	[a46_degraded]	[Notch]	[Complex_br_(Delta/N_sub_ext)]	[Notch]	[Neurotic]	[Serrate]	[Complex_br_(Serrate/Notch)]	[Complex_br_(Serrate/N_sub_ext)]	[NI_sub_c_sub_s{cytosol}]	[a25_degraded]	[LNXp80]	[Complex_br_(Notch/Delta)]	[E(spl)-C genes]	[s76]	[s77]	[dapt]	[gama secretase]
0	5	5	5	5	0	0.5	0	0.5	0.64	0.5	5	5	0	0.5	0	0	0	0.6	0.5	0	5	0	5	5	5	0	0	0	0	0.33	0	0	5	5	0	0
1	5	2.47443	3.56361	5.03663	0.0117104	0.5	0.350236	0.5	0.599498	0.499572	4.99924	4.99967	0.000224847	0.499572	0.00346056	0.000453737	0.00346056	0.6	0.499808	4.11908e-05	2.47443	0.0278524	2.47443	5	4.25504	0.72448	0.0204835	0.00763049	0.0405021	0.33	1.0583	7.96292e-05	4.95735	4.95735	0	0.0426478
2	5	1.48138	2.9254	5.08736	0.0309863	0.5	0.521136	0.5	0.566997	0.497604	4.99464	4.99703	0.00141888	0.497604	0.0137544	0.00309998	0.0137544	0.6	0.498393	0.00051811	1.48138	0.049706	1.48138	5	3.68177	1.24959	0.0686423	0.0132295	0.0730029	0.33	1.50375	0.000845356	4.95181	4.95181	0	0.0481949
3	5	1.22115	2.76851	5.11962	0.0512326	0.5	0.643109	0.5	0.540908	0.495793	4.98634	4.99054	0.00334561	0.495793	0.027128	0.00783032	0.027128	0.6	0.495213	0.00181312	1.22115	0.0544319	1.22115	5	3.40501	1.47856	0.116423	0.0151102	0.0990921	0.33	1.53395	0.00248823	4.95108	4.95108	0	0.0489164
4	5	1.15488	2.72185	5.13711	0.0715855	0.5	0.744094	0.5	0.51996	0.496184	4.97565	4.97946	0.00568146	0.496184	0.0424713	0.0139657	0.0424713	0.6	0.490264	0.00399575	1.15488	0.0532064	1.15488	5	3.2642	1.58031	0.155487	0.0155623	0.12004	0.33	1.48085	0.00470757	4.95099	4.95099	0	0.0490103
5	5	1.13557	2.68681	5.14492	0.0919277	0.5	0.832077	0.5	0.503136	0.499858	4.96303	4.96317	0.00834491	0.499858	0.0598219	0.0212988	0.0598219	0.6	0.483637	0.00703203	1.13557	0.051249	1.13557	5	3.18433	1.63006	0.185603	0.0156008	0.136864	0.33	1.42986	0.00732365	4.95098	4.95098	0	0.0490225
6	5	1.1293	2.6491	5.14581	0.11224	0.5	0.910413	0.5	0.489622	0.507311	4.94834	4.94103	0.0113486	0.507311	0.079419	0.0300077	0.079419	0.6	0.47542	0.0108777	1.1293	0.0496846	1.1293	5	3.13486	1.65678	0.208361	0.0155524	0.150378	0.33	1.3908	0.0103048	4.95098	4.95098	0	0.0490241
7	5	1.12758	2.60947	5.14149	0.132517	0.5	0.981094	0.5	0.478765	0.518818	4.93111	4.91229	0.0147254	0.518818	0.101519	0.040486	0.101519	0.6	0.465693	0.0154918	1.12758	0.0485373	1.12758	5	3.10184	1.67268	0.225474	0.0155089	0.161235	0.33	1.3609	0.0136785	4.95098	4.95098	0	0.0490243
8	5	1.12783	2.56979	5.13331	0.152755	0.5	1.04551	0.5	0.470041	0.534555	4.91073	4.87618	0.0185074	0.534555	0.126356	0.0532731	0.126356	0.6	0.454539	0.0208336	1.12783	0.0476817	1.12783	5	3.07831	1.6833	0.238386	0.0154928	0.169959	0.33	1.33702	0.0174883	4.95098	4.95098	0	0.0490243
9	5	1.12907	2.53122	5.12229	0.172952	0.5	1.10469	0.5	0.463032	0.554623	4.88646	4.83184	0.0227197	0.554623	0.154123	0.0690395	0.154123	0.6	0.442056	0.0268567	1.12907	0.0470189	1.12907	5	3.06055	1.69123	0.248219	0.0155075	0.176968	0.33	1.31708	0.0217784	4.95098	4.95098	0	0.0490243
10	5	1.13082	2.49427	5.10919	0.193106	0.5	1.15942	0.5	0.457399	0.579037	4.85745	4.77841	0.0273757	0.579037	0.184955	0.0885877	0.184955	0.6	0.428365	0.0335049	1.13082	0.0464856	1.13082	5	3.04646	1.69773	0.255813	0.0155521	0.182601	0.33	1.29982	0.0265877	4.95098	4.95098	0	0.0490243
11	5	1.13283	2.45914	5.09461	0.213215	0.5	1.21033	0.5	0.452872	0.607705	4.82274	4.71503	0.0324742	0.607705	0.218911	0.112844	0.218911	0.6	0.413615	0.0407079	1.13283	0.046043	1.13283	5	3.03482	1.7034	0.261783	0.0156246	0.187128	0.33	1.28449	0.0319458	4.95098	4.95098	0	0.0490243
