Time	[Br-]	[BrO3-]	[Ce4+]	[HBrO2]	[HOBr]
0	1e-07	0.06	0.05	5e-11	0
1	0.0288122	0.06	0.018394	5.02505e-11	0
2	0.0351319	0.06	0.00676678	5.02504e-11	0
3	0.0338128	0.06	0.00248938	5.02504e-11	0
4	0.0302248	0.06	0.000915809	5.02505e-11	0
5	0.026263	0.06	0.000336924	5.02506e-11	0
6	0.0225561	0.06	0.000123963	5.02507e-11	0
7	0.0192771	0.06	4.56189e-05	5.02508e-11	0
8	0.01644	0.06	1.67976e-05	5.02509e-11	0
9	0.0140077	0.06	6.19471e-06	5.02511e-11	0
10	0.0119306	0.06	2.29416e-06	5.02513e-11	0
11	0.0101597	0.06	8.59225e-07	5.02515e-11	0
12	0.00865111	0.06	3.3134e-07	5.02517e-11	0
13	0.00736627	0.06	1.37141e-07	5.0252e-11	0
14	0.00627217	0.06	6.56989e-08	5.02524e-11	0
15	0.00534054	0.06	3.94168e-08	5.02528e-11	0
16	0.00454728	0.06	2.97484e-08	5.02533e-11	0
17	0.00387184	0.06	2.61918e-08	5.02539e-11	0
18	0.00329673	0.06	2.48835e-08	5.02546e-11	0
19	0.00280704	0.06	2.44025e-08	5.02554e-11	0
20	0.00239009	0.06	2.42257e-08	5.02563e-11	0
21	0.00203507	0.06	2.4161e-08	5.02574e-11	0
22	0.00173279	0.06	2.41376e-08	5.02587e-11	0
23	0.0014754	0.06	2.41294e-08	5.02602e-11	0
24	0.00125625	0.06	2.41269e-08	5.0262e-11	0
25	0.00106965	0.06	2.41265e-08	5.02641e-11	0
26	0.000910768	0.06	2.41271e-08	5.02666e-11	0
27	0.000775484	0.06	2.41281e-08	5.02694e-11	0
28	0.000660295	0.06	2.41295e-08	5.02728e-11	0
29	0.000562216	0.06	2.41311e-08	5.02768e-11	0
30	0.000478706	0.06	2.4133e-08	5.02815e-11	0
31	0.0004076	0.06	2.41353e-08	5.0287e-11	0
32	0.000347056	0.06	2.4138e-08	5.02935e-11	0
33	0.000295505	0.06	2.41411e-08	5.03011e-11	0
34	0.000251612	0.06	2.41448e-08	5.03099e-11	0
35	0.000214238	0.06	2.41491e-08	5.03204e-11	0
36	0.000182416	0.06	2.41543e-08	5.03331e-11	0
37	0.00015532	0.06	2.41603e-08	5.03472e-11	0
38	0.000132249	0.06	2.41673e-08	5.03642e-11	0
39	0.000112606	0.06	2.41755e-08	5.03842e-11	0
40	9.58793e-05	0.06	2.41852e-08	5.04077e-11	0
41	8.16376e-05	0.06	2.41966e-08	5.04353e-11	0
42	6.95113e-05	0.06	2.421e-08	5.04678e-11	0
43	5.91862e-05	0.06	2.42258e-08	5.0506e-11	0
44	5.03947e-05	0.06	2.42444e-08	5.0551e-11	0
45	4.29091e-05	0.06	2.42662e-08	5.06038e-11	0
46	3.65355e-05	0.06	2.42919e-08	5.0666e-11	0
47	3.11086e-05	0.06	2.43221e-08	5.07393e-11	0
48	2.64877e-05	0.06	2.43577e-08	5.08256e-11	0
49	2.25532e-05	0.06	2.43997e-08	5.09274e-11	0
50	1.92032e-05	0.06	2.44491e-08	5.10475e-11	0
51	1.63507e-05	0.06	2.45075e-08	5.11893e-11	0
52	1.3922e-05	0.06	2.45764e-08	5.13564e-11	0
53	1.1854e-05	0.06	2.46577e-08	5.15547e-11	0
54	1.00931e-05	0.06	2.47541e-08	5.17893e-11	0
55	8.59381e-06	0.06	2.48683e-08	5.20676e-11	0
56	7.31717e-06	0.06	2.50037e-08	5.23982e-11	0
57	6.23015e-06	0.06	2.51647e-08	5.2792e-11	0
58	5.30456e-06	0.06	2.53566e-08	5.32622e-11	0
59	4.51642e-06	0.06	2.55857e-08	5.38252e-11	0
60	3.84531e-06	0.06	2.58603e-08	5.45019e-11	0
61	3.27383e-06	0.06	2.61907e-08	5.5319e-11	0
62	2.78718e-06	0.06	2.659e-08	5.63106e-11	0
63	2.37273e-06	0.06	2.70755e-08	5.7523e-11	0
64	2.01974e-06	0.06	2.76696e-08	5.90152e-11	0
