Time	[Osteoclasts]	[Osteoblasts]	[BoneMass]	[Tumour]
0	13	300	100	1
1	13.2122	345.424	99.398	1.02323
2	13.2468	390.393	98.8142	1.04689
3	13.1321	434.278	98.2621	1.07097
4	12.8947	476.571	97.7509	1.09548
5	12.5592	516.873	97.2876	1.12042
6	12.1474	554.888	96.8776	1.1458
7	11.6785	590.402	96.524	1.17163
8	11.1689	623.278	96.2291	1.1979
9	10.6326	653.439	95.9934	1.22463
10	10.0811	680.861	95.817	1.25182
11	9.52414	705.559	95.6987	1.27947
12	8.96942	727.585	95.637	1.30759
13	8.42315	747.014	95.6297	1.33618
14	7.8902	763.944	95.6745	1.36525
15	7.37426	778.483	95.7686	1.3948
16	6.87805	790.755	95.909	1.42484
17	6.4035	800.884	96.093	1.45538
18	5.95186	809.004	96.3174	1.48641
19	5.52383	815.245	96.5794	1.51794
20	5.11966	819.738	96.8757	1.54998
21	4.73928	822.612	97.1976	1.58253
22	4.38229	823.992	97.5231	1.61559
23	4.04812	823.998	97.8481	1.64918
24	3.73602	822.745	98.1727	1.68329
25	3.44511	820.344	98.4961	1.71793
26	3.17447	816.898	98.8177	1.75311
27	2.92308	812.505	99.1367	1.78883
28	2.68992	807.258	99.4527	1.82509
29	2.47396	801.242	99.765	1.8619
30	2.27417	794.539	100.073	1.89926
31	2.08953	787.223	100.377	1.93718
32	1.91908	779.362	100.676	1.97566
33	1.76186	771.023	100.97	2.01471
34	1.61696	762.263	101.258	2.05433
35	1.48351	753.137	101.541	2.09453
36	1.36069	743.697	101.817	2.1353
37	1.24773	733.987	102.088	2.17666
38	1.14389	724.05	102.352	2.21861
39	1.04847	713.924	102.61	2.26116
40	0.960848	703.646	102.861	2.3043
41	0.880407	693.247	103.106	2.34804
42	0.80659	682.756	103.343	2.39239
43	0.738873	672.199	103.575	2.43735
44	0.676772	661.602	103.799	2.48292
45	0.619836	650.984	104.017	2.52911
46	0.567648	640.367	104.228	2.57592
47	0.519824	629.768	104.432	2.62336
48	0.476007	619.202	104.629	2.67143
49	0.435868	608.684	104.82	2.72014
50	0.399105	598.226	105.004	2.76948
51	0.365438	587.84	105.181	2.81947
52	0.334609	577.536	105.351	2.8701
53	0.306383	567.322	105.516	2.92138
54	0.280542	557.207	105.673	2.97332
55	0.256887	547.198	105.824	3.02591
56	0.235233	537.299	105.969	3.07916
57	0.215413	527.518	106.107	3.13308
58	0.197271	517.857	106.24	3.18767
59	0.180666	508.321	106.366	3.24292
60	0.165468	498.913	106.486	3.29886
61	0.151559	489.636	106.6	3.35547
62	0.138828	480.492	106.708	3.41276
63	0.127175	471.482	106.81	3.47074
64	0.11651	462.607	106.907	3.52941
65	0.106748	453.87	106.998	3.58877
66	0.0978128	445.27	107.083	3.64882
67	0.0896336	436.808	107.163	3.70957
68	0.0821462	428.483	107.238	3.77102
69	0.0752918	420.296	107.308	3.83318
70	0.0690166	412.246	107.372	3.89604
71	0.0632712	404.333	107.431	3.95962
72	0.0580106	396.555	107.485	4.0239
73	0.0531935	388.913	107.534	4.0889
74	0.0487821	381.404	107.578	4.15462
75	0.0447421	374.028	107.618	4.22106
76	0.0410418	366.783	107.653	4.28822
77	0.0376524	359.668	107.683	4.35611
78	0.0345474	352.682	107.709	4.42472
79	0.0317027	345.823	107.73	4.49407
80	0.0290963	339.089	107.747	4.56415
81	0.0267079	332.479	107.76	4.63496
82	0.0245191	325.992	107.768	4.70652
83	0.0225129	319.625	107.773	4.77881
84	0.020674	313.376	107.774	4.85184
85	0.0189882	307.245	107.774	4.92561
86	0.0174425	301.23	107.774	5.00014
87	0.0160252	295.327	107.774	5.0754
88	0.0147254	289.537	107.774	5.15142
89	0.0135333	283.856	107.774	5.22819
90	0.0124397	278.284	107.774	5.30571
91	0.0114364	272.818	107.774	5.38399
92	0.0105158	267.457	107.774	5.46302
93	0.00967106	262.199	107.774	5.54281
94	0.00889571	257.041	107.774	5.62335
95	0.008184	251.983	107.774	5.70466
96	0.0075306	247.023	107.774	5.78673
97	0.00693064	242.158	107.774	5.86956
98	0.00637968	237.388	107.774	5.95316
99	0.00587364	232.71	107.774	6.03751
100	0.00540878	228.123	107.774	6.12264
