Time	[TNFR_E]	[TNF_E]	[TNF:TNFR_E]	[TNFR]	[RIP]	[TRADD]	[TRAF2]	[FADD]	[TNF:TNFR:TRADD]	[TNFRC1]	[TNFRCint1]	[TNFRCint2]	[TNFRCint3]	[TNFRC2]	[FLIP]	[TNFRC2:FLIP]	[TNFRC2:pCasp8]	[TNFRC2:FLIP:FLIP]	[TNFRC2:pCasp8:pCasp8]	[TNFRC2:FLIP:pCasp8]	[TNFRC2:FLIP:pCasp8:RIP:TRAF2]	[IKK]	[IKKa]	[A20]	[NFkB]	[IkBa]	[IkBa:NFkB]	[PIkBa]	[NFkB_N]	[IkBa_N]	[IkBa:NFkB_N]	[A20_mRNA]	[IkBa_mRNA]	[XIAP_mRNA]	[FLIP_mRNA]	[BAR]	[XIAP]	[pCasp8]	[pCasp3]	[pCasp6]	[Casp8]	[Casp3]	[Casp6]	[BAR:Casp8]	[XIAP:Casp3]	[PARP]	[cPARP]
0	3.72024e-06	0.0002	0	8.75e-05	0.0633	0.0917	0.1033	0.0967	0	0	0	0	0	0	0.0100147	0	0	0	0	0	0	0.2	0	0.0326356	3.60516e-05	0.000317244	0.00471975	0	0.000654764	0.00131051	8.52452e-05	5.27137e-05	5.0333e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	0	0	0	0	0	0.520834	0
1	3.71072e-06	0.00019999	9.51572e-09	8.75e-05	0.0633	0.0917	0.1033	0.0967	2.48505e-09	5.4969e-12	1.62746e-15	4.02284e-19	8.45374e-23	1.56065e-24	0.0100147	2.00369e-27	2.23048e-26	2.59235e-30	2.70865e-28	2.77823e-28	2.0746e-32	0.2	8.42127e-11	0.0326356	3.60516e-05	0.000317244	0.00471975	2.88794e-14	0.000654764	0.00131051	8.52452e-05	5.27137e-05	5.0333e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	2.29788e-29	1.98525e-32	1.08213e-36	3.44024e-31	8.82957e-33	0.520834	5.63613e-34
2	3.70122e-06	0.000199981	1.89935e-08	8.75e-05	0.0633	0.0917	0.1033	0.0967	9.82971e-09	4.31187e-11	2.46788e-14	1.13688e-17	4.26065e-21	1.39265e-22	0.0100147	2.94149e-25	3.55145e-24	7.00664e-28	7.5767e-26	7.35397e-26	1.02968e-29	0.2	1.25392e-09	0.0326356	3.60516e-05	0.000317244	0.00471975	8.02857e-13	0.000654764	0.00131051	8.52452e-05	5.27137e-05	5.0333e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	1.16089e-26	1.47498e-29	1.61476e-33	3.34905e-28	1.31743e-29	0.520834	8.41028e-31
3	3.69175e-06	0.000199972	2.84336e-08	8.75e-05	0.0633	0.0917	0.1033	0.0967	2.18701e-08	1.44084e-10	1.2341e-13	8.45942e-17	4.61622e-20	2.19437e-21	0.0100147	6.23429e-24	8.13003e-23	2.19678e-26	2.44862e-24	2.25774e-24	4.6883e-28	0.2	6.15262e-09	0.0326356	3.60516e-05	0.000317244	0.00471975	5.87101e-12	0.000654764	0.00131051	8.52452e-05	5.27137e-05	5.0333e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	5.36948e-25	8.19187e-28	1.35137e-31	2.30449e-26	1.10244e-27	0.520834	7.0385e-29
4	3.68231e-06	0.000199962	3.78359e-08	8.75e-05	0.0633	0.0917	0.1033	0.0967	3.84476e-08	3.38431e-10	3.86743e-13	3.53267e-16	2.52868e-19	1.58479e-20	0.0100147	5.52481e-23	7.76944e-22	2.62871e-25	3.01309e-23	2.64248e-23	7.4259e-27	0.2	1.89186e-08	0.0326356	3.60516e-05	0.000317244	0.00471975	2.40879e-11	0.000654764	0.00131051	8.52452e-05	5.27137e-05	5.0333e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	8.6308e-24	1.47468e-26	3.30779e-30	5.00387e-25	2.69823e-26	0.520834	1.72284e-27
5	3.67289e-06	0.000199953	4.72008e-08	8.75e-05	0.0633	0.0916999	0.1033	0.0967	5.94085e-08	6.55124e-10	9.36964e-13	1.06967e-15	9.40823e-19	7.26071e-20	0.0100147	2.91523e-22	4.37751e-21	1.72972e-24	2.02705e-22	1.70459e-22	5.94203e-26	0.2	4.49822e-08	0.0326356	3.60516e-05	0.000317244	0.00471975	7.16805e-11	0.000654764	0.00131051	8.52452e-05	5.27137e-05	5.0333e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	6.98532e-23	1.27592e-25	3.51503e-29	4.96762e-24	2.86706e-25	0.520834	1.83079e-26
6	3.6635e-06	0.000199943	5.65282e-08	8.75e-05	0.0633	0.0916999	0.1033	0.0967	8.46035e-08	1.12208e-09	1.92845e-12	2.64378e-15	2.74788e-18	2.51456e-19	0.0100147	1.12536e-21	1.79889e-20	8.05359e-24	9.62912e-22	7.77487e-22	3.26979e-25	0.2	9.08748e-08	0.0326356	3.60517e-05	0.000317244	0.00471975	1.74125e-10	0.000654764	0.00131051	8.52451e-05	5.27137e-05	5.0333e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	3.88588e-22	7.46828e-25	2.48679e-28	3.32709e-23	2.02818e-24	0.520834	1.29524e-25
7	3.65413e-06	0.000199934	6.58183e-08	8.75e-05	0.0633	0.0916999	0.1033	0.0967	1.13888e-07	1.76622e-09	3.54652e-12	5.67733e-15	6.78439e-18	7.16385e-19	0.0100147	3.49221e-21	5.91838e-20	2.93349e-23	3.5691e-21	2.77416e-21	1.37224e-24	0.2	1.64073e-07	0.0326356	3.60519e-05	0.000317244	0.00471975	3.67547e-10	0.000654764	0.00131051	8.52451e-05	5.27137e-05	5.0333e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	1.6467e-21	3.28929e-24	1.2962e-27	1.66158e-22	1.05706e-23	0.520834	6.75126e-25
8	3.64479e-06	0.000199925	7.50713e-08	8.75e-05	0.0633	0.0916998	0.1033	0.0967	1.47122e-07	2.61345e-09	6.00625e-12	1.09987e-14	1.48081e-17	1.76866e-18	0.0100147	9.23959e-21	1.65356e-19	8.92053e-23	1.10163e-20	8.26704e-21	4.70644e-24	0.2	2.7285e-07	0.0326356	3.60523e-05	0.000317244	0.00471975	7e-10	0.000654764	0.00131051	8.52451e-05	5.27137e-05	5.0333e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	5.69477e-21	1.17135e-23	5.33751e-27	6.62141e-22	4.35233e-23	0.520834	2.78006e-24
9	3.63547e-06	0.000199915	8.42872e-08	8.75e-05	0.0633	0.0916998	0.1033	0.0967	1.84168e-07	3.68877e-09	9.55132e-12	1.96955e-14	2.9416e-17	3.91438e-18	0.0100147	2.1655e-20	4.07913e-19	2.36616e-22	2.95967e-20	2.14939e-20	1.38647e-23	0.2	4.26141e-07	0.0326356	3.60528e-05	0.000317244	0.00471975	1.23246e-09	0.000654764	0.00131051	8.52451e-05	5.27137e-05	5.0333e-05	0.000207998	0.000131682	0.0899656	2.44803	1	0.25	0.02	1.68955e-20	3.54703e-23	1.84382e-26	2.2271e-21	1.50334e-22	0.520834	9.60362e-24
