Time	[ADPi]	[ATPi]	[Cri]	[PCri]	[PCr]	[ADP]	[ATP]	[Cr]	[P_ii]	[P_i]	Values[tmito]
0	39	5626	9789	5711	5710	64	5601	9789	910	912	0
1	55.9228	5609.08	9891.81	5607.27	5606.21	94.155	5570.84	9892.86	1041.63	1045.03	0
2	36.3381	5628.66	9869.56	5629.51	5628.52	58.8987	5606.1	9870.56	986.255	988.595	0
3	36.236	5628.76	9790.79	5708.28	5707.32	57.8076	5607.19	9791.76	906.527	908.776	0
4	36.2409	5628.76	9718.17	5780.91	5779.97	56.8697	5608.13	9719.1	833.088	835.248	0
5	55.643	5609.36	9836.42	5662.65	5661.62	93.0376	5571.96	9837.46	985.242	988.562	0
6	36.285	5628.71	9828.69	5670.39	5669.4	58.3444	5606.66	9829.67	944.896	947.19	0
7	36.2283	5628.77	9760.89	5738.19	5737.23	57.4174	5607.58	9761.85	876.286	878.499	0
8	36.2586	5628.74	9696.38	5802.7	5801.77	56.5951	5608.4	9697.31	811.068	813.201	0
9	55.574	5609.43	9820.75	5678.33	5677.3	92.7266	5572.27	9821.78	969.291	972.591	0
10	36.2742	5628.73	9817.22	5681.85	5680.88	58.1908	5606.81	9818.2	933.294	935.575	0
11	36.2286	5628.77	9752.55	5746.52	5745.57	57.3096	5607.69	9753.5	867.855	870.058	0
12	36.2649	5628.74	9690.34	5808.74	5807.82	56.5194	5608.48	9691.26	804.958	807.082	0
13	55.5557	5609.44	9816.42	5682.66	5681.64	92.641	5572.36	9817.44	964.88	968.174	0
14	36.2715	5628.73	9814.06	5685.02	5684.04	58.1486	5606.85	9815.04	930.093	932.371	0
15	36.2288	5628.77	9750.26	5748.82	5747.87	57.2799	5607.72	9751.21	865.533	867.733	0
16	36.2668	5628.73	9688.67	5810.4	5809.48	56.4986	5608.5	9689.6	803.277	805.4	0
17	55.5507	5609.45	9815.22	5683.85	5682.83	92.6175	5572.38	9816.25	963.668	966.96	0
18	36.2708	5628.73	9813.19	5685.89	5684.91	58.137	5606.86	9814.17	929.214	931.491	0
19	36.2289	5628.77	9749.63	5749.45	5748.5	57.2718	5607.73	9750.58	864.895	867.095	0
20	36.2673	5628.73	9688.22	5810.86	5809.94	56.4929	5608.51	9689.14	802.816	804.938	0
21	55.5493	5609.45	9814.9	5684.18	5683.15	92.6111	5572.39	9815.92	963.336	966.627	0
22	36.2706	5628.73	9812.95	5686.13	5685.15	58.1338	5606.87	9813.93	928.973	931.249	0
23	36.2289	5628.77	9749.45	5749.62	5748.67	57.2696	5607.73	9750.4	864.721	866.92	0
24	36.2674	5628.73	9688.09	5810.99	5810.06	56.4914	5608.51	9689.01	802.69	804.811	0
25	55.549	5609.45	9814.81	5684.27	5683.24	92.6093	5572.39	9815.83	963.244	966.536	0
26	36.2705	5628.73	9812.89	5686.19	5685.21	58.1329	5606.87	9813.86	928.907	931.183	0
27	36.2289	5628.77	9749.41	5749.67	5748.72	57.269	5607.73	9750.36	864.673	866.872	0
28	36.2675	5628.73	9688.06	5811.02	5810.1	56.491	5608.51	9688.98	802.655	804.776	0
29	55.5489	5609.45	9814.78	5684.29	5683.27	92.6088	5572.39	9815.81	963.219	966.511	0
30	36.2705	5628.73	9812.87	5686.21	5685.23	58.1327	5606.87	9813.84	928.889	931.165	0
31	36.2289	5628.77	9749.39	5749.68	5748.73	57.2688	5607.73	9750.34	864.66	866.859	0
32	36.2675	5628.73	9688.05	5811.03	5810.11	56.4908	5608.51	9688.97	802.646	804.767	0
33	55.5488	5609.45	9814.78	5684.3	5683.27	92.6087	5572.39	9815.8	963.212	966.504	0
34	36.2705	5628.73	9812.86	5686.21	5685.24	58.1326	5606.87	9813.84	928.884	931.16	0
35	36.2289	5628.77	9749.39	5749.69	5748.74	57.2688	5607.73	9750.34	864.656	866.855	0
36	36.2675	5628.73	9688.04	5811.03	5810.11	56.4908	5608.51	9688.97	802.643	804.764	0
37	55.5488	5609.45	9814.77	5684.3	5683.28	92.6086	5572.39	9815.8	963.21	966.502	0
38	36.2705	5628.73	9812.86	5686.21	5685.24	58.1326	5606.87	9813.84	928.883	931.159	0
39	36.2289	5628.77	9749.39	5749.69	5748.74	57.2688	5607.73	9750.34	864.655	866.854	0
40	36.2675	5628.73	9688.04	5811.03	5810.11	56.4908	5608.51	9688.97	802.642	804.764	0
