Time	[TGF_RII]	[TGFbeta_TGF_RII]	[TGF_RI]	[Rec_active]	[Smad2_c]	[SARA]	[Smad2_SARA]	[pSmad2_c]	[Smad4_c]	[pSmad2_Smad4_c]	[Smad7_c]	[Smad7_Smurf2_c]	[Rec_Smad7]	[Smurf2_c]	[SnoN_c]	[Smad3_c]	[pSmad3_c]	[Smad3_SARA]	[pSmad3_Smad4_c]	[Ski_c]	[Smad3_Ski_c]	[Smurf1_c]	[Smad7_Smurf1_c]	[pSmad2_Smad4_Ski_n]	[Smad2_Ski_c]	[pSmad2_SnoN_n]	[pSmad3_SnoN_n]	[Arkadia_c]	[Smad4_n]	[pSmad2_Smad4_n]	[SnoN_n]	[pSmad2_Smad4_SnoN_n]	[Smurf2_n]	[pSmad2_n]	[Smad2_n]	[Smad7_n]	[Smad7_Smurf2_n]	[Smad4_SnoN_n]	[Smad3_n]	[pSmad3_Smad4_n]	[Smad4_Smad2_n]	[pSmad3_n]	[pSmad3_Smad4_SnoN_n]	[Ski_n]	[Smad4_Ski_n]	[Smurf1_n]	[Smad7_Smurf1_n]	[pSmad3_Smad4_Ski_n]	[Smad4_Smad3_n]	[freePromoters]	[inactivePromoters]	[geneProduct]	[Arkadia_n]
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0
1	0.00143978	6.52108e-08	0.012328	5.50155e-14	0.0132303	9.51613e-05	4.32113e-07	6.84681e-13	0.0103455	3.07694e-25	9.47116e-05	5.17257e-12	5.72461e-18	0.000110231	1.70727e-05	0.0383874	1.28663e-12	1.254e-06	1.11725e-24	1.70442e-05	2.30294e-08	2.82857e-05	2.95184e-12	5.27522e-15	7.93564e-09	1.08867e-56	7.67454e-56	1.81564e-05	0.000800141	2.20528e-15	8.40675e-07	5.27522e-15	0.000114316	8.0835e-13	0.000973442	4.66329e-07	2.80183e-11	1.4054e-10	0.00265074	2.20528e-15	1.49408e-17	1.54395e-12	5.27522e-15	8.39942e-07	1.40213e-10	6.12907e-05	1.55084e-11	5.27522e-15	1.49408e-17	0.1	2.14276e-13	2.32765e-17	9.06331e-07
2	0.00283937	5.06586e-07	0.0243182	3.32312e-12	0.0229751	0.000176738	2.87001e-06	6.96964e-11	0.0183442	1.17867e-20	0.000179642	1.9239e-10	1.32649e-15	0.000145627	2.95796e-05	0.0665147	1.12976e-10	8.31939e-06	3.18137e-20	2.94167e-05	1.4371e-07	3.02703e-05	9.7889e-11	4.1662e-13	4.95756e-08	2.45459e-48	1.08512e-47	3.31767e-05	0.00279493	3.62662e-13	2.84641e-06	4.1662e-13	0.000300346	1.15087e-10	0.00316016	1.74047e-06	4.83506e-10	3.4635e-09	0.0081172	3.62662e-13	5.10641e-15	1.88495e-10	4.1662e-13	2.83782e-06	3.44401e-09	0.000144568	2.38359e-10	4.1662e-13	5.10641e-15	0.1	9.68635e-12	7.8236e-15	3.29638e-06
3	0.00419921	1.66003e-06	0.03598	3.57196e-11	0.0305039	0.000242832	8.06311e-06	9.27937e-10	0.0247015	4.32111e-18	0.000255877	1.38455e-09	3.08044e-14	0.000171563	3.89549e-05	0.0878869	1.39577e-09	2.3314e-05	1.00141e-17	3.85538e-05	3.85533e-07	3.14858e-05	6.65387e-10	4.5027e-12	1.33326e-07	9.31173e-44	3.21531e-43	4.5744e-05	0.00552834	6.10023e-12	5.45417e-06	4.5027e-12	0.000494099	1.74894e-09	0.00584827	3.65554e-06	2.19442e-09	2.04639e-08	0.014242	6.10023e-12	1.33534e-13	2.64911e-09	4.5027e-12	5.42194e-06	2.02684e-08	0.000227905	1.02739e-09	4.5027e-12	1.33534e-13	0.1	7.89546e-11	2.01059e-13	6.76495e-06
4	0.00551982	3.82004e-06	0.0473223	1.89364e-10	0.0365595	0.000294654	1.59837e-05	5.53853e-09	0.0298988	2.52281e-16	0.000324377	5.23058e-09	2.79098e-13	0.000196159	4.61511e-05	0.104553	7.95716e-09	4.60318e-05	5.31824e-16	4.54462e-05	7.38157e-07	3.26709e-05	2.43655e-09	2.18249e-11	2.56274e-07	1.16858e-40	3.45544e-40	5.63857e-05	0.00869444	4.07776e-11	8.30344e-06	2.18249e-11	0.000687431	1.11978e-08	0.00865716	6.06921e-06	5.95588e-09	6.77326e-08	0.0200814	4.07777e-11	1.23052e-12	1.61645e-08	2.18249e-11	8.22715e-06	6.67944e-08	0.000310672	2.7171e-09	2.18249e-11	1.23053e-12	0.1	3.21397e-10	1.81966e-12	1.10026e-05
5	0.00680175	7.24244e-06	0.0583538	6.81487e-10	0.0415851	0.000334686	2.62578e-05	2.15077e-08	0.0342651	5.49504e-15	0.000385989	1.40613e-08	1.51024e-12	0.000220406	5.1803e-05	0.11778	2.99309e-08	7.52161e-05	1.08489e-14	5.07671e-05	1.18065e-06	3.38469e-05	6.42928e-09	6.87368e-11	4.12066e-07	2.35061e-38	6.23707e-38	6.5509e-05	0.012089	1.65569e-10	1.1168e-05	6.87368e-11	0.000879169	4.5412e-08	0.0113905	8.86058e-06	1.23692e-08	1.63783e-07	0.0252744	1.65572e-10	6.44205e-12	6.34233e-08	6.87368e-11	1.10271e-05	1.60779e-07	0.000392854	5.56147e-09	6.87368e-11	6.44209e-12	0.1	8.9872e-10	9.35119e-12	1.57734e-05
6	0.00804563	1.2147e-05	0.0690832	1.91955e-09	0.0458521	0.000365651	3.84056e-05	6.38998e-08	0.0380256	6.4864e-14	0.000441461	3.06813e-08	5.90066e-12	0.000244407	5.63362e-05	0.128398	8.68372e-08	0.0001093	1.21958e-13	5.49713e-05	1.69066e-06	3.50147e-05	1.38622e-08	1.65781e-10	5.93878e-07	1.53491e-36	3.75404e-36	7.34286e-05	0.0155767	4.9295e-10	1.39111e-05	1.65781e-10	0.00106904	1.38943e-07	0.0139539	1.19275e-05	2.18356e-08	3.25573e-07	0.0297323	4.92981e-10	2.36904e-11	1.89351e-07	1.65781e-10	1.36885e-05	3.18116e-07	0.000474451	9.73171e-09	1.65781e-10	2.36911e-11	0.1	1.98914e-09	3.37417e-11	2.08979e-05
7	0.00925215	1.87202e-05	0.0795186	4.56556e-09	0.0495327	0.000390016	5.19627e-05	1.58124e-07	0.0413354	5.05091e-13	0.000491454	5.81775e-08	1.84201e-11	0.000268161	6.00385e-05	0.136986	2.10922e-07	0.000146789	9.13977e-13	5.83661e-05	2.24786e-06	3.61741e-05	2.60752e-08	3.3403e-10	7.95444e-07	4.71142e-35	1.07976e-34	8.03882e-05	0.0190687	1.18939e-09	1.6456e-05	3.3403e-10	0.00125689	3.51195e-07	0.0163085	1.5184e-05	3.45831e-08	5.66479e-07	0.0334854	1.18965e-09	6.85055e-11	4.69533e-07	3.3403e-10	1.61392e-05	5.50928e-07	0.000555468	1.53276e-08	3.3403e-10	6.85126e-11	0.1	3.7574e-09	9.57009e-11	2.62403e-05
8	0.010422	2.71173e-05	0.0896681	9.59452e-09	0.0527411	0.000409802	6.65305e-05	3.42628e-07	0.0443017	2.91147e-12	0.000536553	9.97597e-08	4.88057e-11	0.000291656	6.31072e-05	0.143961	4.50198e-07	0.000186421	5.10692e-12	6.11602e-05	2.83491e-06	3.73252e-05	4.44644e-08	5.91995e-10	1.01132e-06	8.40756e-34	1.82534e-33	8.65765e-05	0.0225078	2.46823e-09	1.87656e-05	5.91995e-10	0.00144263	7.73273e-07	0.0184456	1.85583e-05	5.0699e-08	8.95519e-07	0.0366108	2.46983e-09	1.66575e-10	1.01798e-06	5.91995e-10	1.83474e-05	8.66927e-07	0.000635907	2.23911e-08	5.91995e-10	1.66625e-10	0.1	6.33482e-09	2.28186e-10	3.1698e-05
9	0.011556	3.74653e-05	0.0995395	1.83433e-08	0.0555565	0.000426556	8.17903e-05	6.71191e-07	0.0469991	1.33515e-11	0.000577277	1.58634e-07	1.14112e-10	0.000314881	6.56798e-05	0.149642	8.70979e-07	0.000227213	2.28221e-11	6.34973e-05	3.43756e-06	3.84682e-05	7.04294e-08	9.53729e-10	1.2369e-06	9.94542e-33	2.06334e-32	9.214e-05	0.0258577	4.57828e-09	2.08281e-05	9.53729e-10	0.00162618	1.53391e-06	0.0203719	2.19909e-05	7.01595e-08	1.31741e-06	0.0391979	4.586e-09	3.55604e-10	1.9937e-06	9.53729e-10	2.03065e-05	1.2696e-06	0.000715771	3.09186e-08	9.53729e-10	3.55879e-10	0.1	9.81024e-09	4.77641e-10	3.7194e-05
