Time	[C3_Gene]	[C3_mRNA]	[C_3]	[C_3_P]	[C_3_pre]	[C1]	[C1_mRNA]	[C1_phos]	[c1c3complex]	[junk]
0	1	1	1	1	1	1	1	1	1	1
1	1	7.93402	40.4247	0.50011	1	2.63128	1	0.90652	0.462435	38.6984
2	1	6.62316	113.409	6.90632	1	2.5029	1	0.00409205	0.531871	84.5964
3	1	3.02387	146.568	23.0297	1	2.50746	1	0.000356327	0.52248	134.437
4	1	0.626997	138.786	42.037	1	2.51206	1	0.000104451	0.51906	187.016
5	1	0.0469717	113.599	58.138	1	2.51502	1	5.3808e-05	0.516889	240.711
6	1	0.00306201	89.4707	69.5531	1	2.51616	1	3.74089e-05	0.516089	295.443
7	1	0.000623925	69.4815	76.5977	1	2.51541	1	3.10033e-05	0.516697	350.14
8	1	0.000440922	53.4022	80.0339	1	2.51285	1	2.88257e-05	0.518674	403.275
9	1	0.000404538	40.6664	80.7171	1	2.50862	1	2.90227e-05	0.521903	453.511
10	1	0.000392826	30.6684	79.4578	1	2.50301	1	3.08988e-05	0.526194	499.894
11	1	0.000392621	22.8418	76.9378	1	2.49636	1	3.41834e-05	0.531291	541.93
12	1	0.000399991	16.6965	73.6745	1	2.4891	1	3.87818e-05	0.53688	579.561
13	1	0.00041345	11.8315	70.0235	1	2.48168	1	4.46759e-05	0.542603	613.082
14	1	0.00043301	7.93203	66.2022	1	2.4746	1	5.18861e-05	0.548079	643.025
15	1	0.000459973	4.76119	62.3216	1	2.46833	1	6.04698e-05	0.552928	670.048
16	1	0.000497034	2.16204	58.4175	1	2.46331	1	7.05534e-05	0.556797	694.844
17	1	0.000548682	0.222639	54.4814	1	2.4599	1	8.23901e-05	0.559383	717.904
18	1	0.000621369	0.000286814	50.5468	1	2.45838	1	9.62128e-05	0.560466	738.698
19	1	0.000723978	0.000324096	46.6127	1	2.4589	1	0.000112507	0.559933	759.27
20	1	0.000873001	0.000398877	42.5733	1	2.46148	1	0.000132736	0.5578	780.496
21	1	0.0010986	0.000519781	38.3199	1	2.46594	1	0.000159777	0.554221	803.046
22	1	0.00145891	0.000723265	33.745	1	2.47196	1	0.000199465	0.549477	827.6
23	1	0.00207895	0.00108887	28.7471	1	2.47907	1	0.000264755	0.54394	854.831
24	1	0.00327276	0.00181851	23.2394	1	2.48673	1	0.000389297	0.53802	885.367
25	1	0.00603778	0.00356092	17.166	1	2.49438	1	0.000685769	0.532098	919.712
26	1	0.0151518	0.00950361	10.5333	1	2.50156	1	0.00175447	0.52628	958.157
27	1	0.0957043	0.070044	3.5378	1	2.50878	1	0.0147991	0.51458	1000.82
28	1	6.87732	27.085	0.34952	1	2.64331	1	1.06486	0.251242	1049.62
29	1	6.88549	131.85	8.63804	1	2.51588	1	0.00243879	0.519217	1107.09
30	1	2.7951	171.131	31.3553	1	2.51618	1	0.000184064	0.516065	1165.75
31	1	0.463284	156.32	55.7399	1	2.51542	1	5.85467e-05	0.516691	1222.74
32	1	0.0320985	127.177	74.7876	1	2.51285	1	3.30117e-05	0.518673	1276.31
33	1	0.00236855	102.084	87.9699	1	2.50862	1	2.44345e-05	0.521905	1326.58
34	1	0.000436064	82.2583	96.5274	1	2.50301	1	2.09371e-05	0.526198	1372.99
35	1	0.000254478	66.7205	101.692	1	2.49636	1	1.95671e-05	0.531297	1415.05
36	1	0.000213688	54.5059	104.463	1	2.4891	1	1.92905e-05	0.536887	1452.71
37	1	0.000193567	44.8166	105.593	1	2.48168	1	1.96472e-05	0.542612	1486.28
38	1	0.000180853	37.0205	105.611	1	2.4746	1	2.03885e-05	0.548091	1516.27
39	1	0.000172784	30.6299	104.87	1	2.46833	1	2.13561e-05	0.552943	1543.37
40	1	0.000168466	25.2739	103.586	1	2.4633	1	2.24395e-05	0.556815	1568.3
41	1	0.000167698	20.6736	101.877	1	2.45989	1	2.35631e-05	0.559406	1591.8
42	1	0.000170702	16.6203	99.7898	1	2.45837	1	2.46869e-05	0.560494	1614.57
43	1	0.000178066	12.96	97.3163	1	2.45889	1	2.58131e-05	0.559967	1637.34
44	1	0.000190785	9.5824	94.408	1	2.46147	1	2.69945e-05	0.557841	1660.81
45	1	0.000210395	6.41518	90.9823	1	2.46593	1	2.83457e-05	0.554272	1685.69
46	1	0.000239241	3.42971	86.931	1	2.47194	1	3.00598e-05	0.549544	1712.7
47	1	0.000280979	0.730509	82.1339	1	2.47904	1	3.24383e-05	0.544032	1742.42
48	1	0.000341179	0.000199367	76.5745	1	2.48668	1	3.58652e-05	0.538163	1773.71
49	1	0.000427041	0.000254915	70.3959	1	2.49431	1	4.0798e-05	0.532366	1808.11
50	1	0.000551075	0.000347902	63.582	1	2.50137	1	4.82232e-05	0.527037	1846.61
51	1	0.000736358	0.000487634	56.1501	1	2.50741	1	5.99444e-05	0.522513	1889.18
52	1	0.0010269	0.000705258	48.1795	1	2.51206	1	7.95148e-05	0.519059	1935.34
53	1	0.00151427	0.00106381	39.8138	1	2.51503	1	0.00011473	0.516863	1984.21
54	1	0.00241413	0.00170878	31.2504	1	2.51618	1	0.000185289	0.516029	2034.53
55	1	0.00433602	0.00304541	22.7218	1	2.51545	1	0.000352249	0.516567	2084.85
56	1	0.00959901	0.0066073	14.474	1	2.51294	1	0.000880736	0.518312	2133.7
57	1	0.0342529	0.0233653	6.77608	1	2.50905	1	0.00410087	0.519952	2179.86
58	1	1.0878	1.28498	0.607323	1	2.52278	1	0.273585	0.358801	2223.29
59	1	8.49859	53.2179	0.72751	1	2.59726	1	0.509436	0.615579	2266.16
60	1	6.25147	112.339	7.67596	1	2.49028	1	0.0035754	0.540249	2307.29
61	1	3.42774	132.614	19.1995	1	2.48178	1	0.000594215	0.542562	2343.54
62	1	1.44205	130.52	30.7283	1	2.47463	1	0.000240823	0.548043	2375.46
63	1	0.429033	119.095	40.5412	1	2.46835	1	0.000142894	0.552911	2403.55
64	1	0.101314	105.924	48.3999	1	2.46331	1	0.000102781	0.556792	2428.79
65	1	0.0230528	93.6879	54.6091	1	2.4599	1	8.20061e-05	0.559388	2452.36
66	1	0.00556656	82.699	59.5148	1	2.45837	1	6.94034e-05	0.56048	2475.15
67	1	0.00159029	72.7173	63.366	1	2.4589	1	6.08824e-05	0.559956	2497.94
68	1	0.000667404	63.4723	66.3066	1	2.46147	1	5.47234e-05	0.557832	2521.43
69	1	0.000453109	54.757	68.3891	1	2.46593	1	5.01676e-05	0.554266	2546.35
70	1	0.000409694	46.4382	69.5875	1	2.47194	1	4.69103e-05	0.549538	2573.45
71	1	0.00041499	38.4536	69.8114	1	2.47904	1	4.49001e-05	0.544028	2603.43
72	1	0.000444035	30.8066	68.9231	1	2.48669	1	4.427e-05	0.53816	2636.97
73	1	0.000495718	23.5559	66.7649	1	2.49431	1	4.53562e-05	0.532365	2674.6
74	1	0.000577628	16.7996	63.1966	1	2.50137	1	4.88133e-05	0.527037	2716.62
75	1	0.000706079	10.6538	58.1399	1	2.50741	1	5.59116e-05	0.522515	2762.95
