Time	[P1]	[P2]	[Target]
0	10	10	10
1	10.5287	10.5287	10.5287
2	11.0591	11.0591	11.0591
3	11.5934	11.5934	11.5934
4	12.1336	12.1336	12.1336
5	12.6816	12.6816	12.6816
6	13.2393	13.2393	13.2393
7	13.8088	13.8088	13.8088
8	14.3921	14.3921	14.3921
9	14.9912	14.9912	14.9912
10	15.6083	15.6083	15.6083
11	16.2455	16.2455	16.2455
12	16.9052	16.9052	16.9052
13	17.5896	17.5896	17.5896
14	18.3011	18.3011	18.3011
15	19.0421	19.0421	19.0421
16	19.8152	19.8152	19.8152
17	20.6227	20.6227	20.6227
18	21.4671	21.4671	21.4671
19	22.3508	22.3508	22.3508
20	23.2761	23.2761	23.2761
21	24.245	24.245	24.245
22	25.2593	25.2593	25.2593
23	26.3204	26.3204	26.3204
24	27.4295	27.4295	27.4295
25	28.5869	28.5869	28.5869
26	29.7926	29.7926	29.7926
27	31.0458	31.0458	31.0458
28	32.3449	32.3449	32.3449
29	33.6875	33.6875	33.6875
30	35.0707	35.0707	35.0707
31	36.4904	36.4904	36.4904
32	37.9422	37.9422	37.9422
33	39.4207	39.4207	39.4207
34	40.9203	40.9203	40.9203
35	42.4348	42.4348	42.4348
36	43.958	43.958	43.958
37	45.4836	45.4836	45.4836
38	47.0051	47.0051	47.0051
39	48.5164	48.5164	48.5164
40	50.0119	50.0119	50.0119
41	51.4862	51.4862	51.4862
42	52.9343	52.9343	52.9343
43	54.3519	54.3519	54.3519
44	55.7352	55.7352	55.7352
45	57.0811	57.0811	57.0811
46	58.3868	58.3868	58.3868
47	59.6502	59.6502	59.6502
48	60.8697	60.8697	60.8697
49	62.0442	62.0442	62.0442
50	63.1728	63.1728	63.1728
51	64.2553	64.2553	64.2553
52	65.2917	65.2917	65.2917
53	66.2822	66.2822	66.2822
54	67.2274	67.2274	67.2274
55	68.128	68.128	68.128
56	68.9851	68.9851	68.9851
57	69.7998	69.7998	69.7998
58	70.5732	70.5732	70.5732
59	71.3066	71.3066	71.3066
60	72.0015	72.0015	72.0015
61	72.6592	72.6592	72.6592
62	73.2813	73.2813	73.2813
63	73.8692	73.8692	73.8692
64	74.4244	74.4244	74.4244
65	74.9483	74.9483	74.9483
66	75.4425	75.4425	75.4425
67	75.9083	75.9083	75.9083
68	76.3471	76.3471	76.3471
69	76.7603	76.7603	76.7603
70	77.1492	77.1492	77.1492
71	77.5151	77.5151	77.5151
72	77.8593	77.8593	77.8593
73	78.1827	78.1827	78.1827
74	78.4868	78.4868	78.4868
75	78.7724	78.7724	78.7724
76	79.0406	79.0406	79.0406
77	79.2925	79.2925	79.2925
78	79.5289	79.5289	79.5289
79	79.7508	79.7508	79.7508
80	79.959	79.959	79.959
81	80.1543	80.1543	80.1543
82	80.3374	80.3374	80.3374
83	80.5092	80.5092	80.5092
84	80.6702	80.6702	80.6702
85	80.8212	80.8212	80.8212
86	80.9626	80.9626	80.9626
87	81.0952	81.0952	81.0952
88	81.2194	81.2194	81.2194
89	81.3358	81.3358	81.3358
90	81.4449	81.4449	81.4449
91	81.547	81.547	81.547
92	81.6427	81.6427	81.6427
93	81.7323	81.7323	81.7323
94	81.8162	81.8162	81.8162
95	81.8948	81.8948	81.8948
96	81.9683	81.9683	81.9683
97	82.0372	82.0372	82.0372
98	82.1017	82.1017	82.1017
99	82.1621	82.1621	82.1621
100	82.2186	82.2186	82.2186
