Time	[GLC]	[G6P]	[ADP]	[ATP]	[F6P]	[F16P]	[E4P]	[PGN]	[GLC_e]	[NADP]	[NADPH]	[BPG]	[RU5P]	[X5P]	[R5P]	[GAP]	[S7P]	[NADH]	[NAD]	[AMP]	[PRPP]	[G1P]	[Pi]	[GLY]	[CIT]	[F26P]	[DHAP]	[PG3]	[PG2]	[PEP]	[PYR]	[LAC]	[CO2]	[O2]
0	0.000897	0.00109	0.0027	0.0087	3.62e-05	0.000367	0.00093	0.0001	0.01	6.118e-07	1.87082e-05	6.29e-05	0.000143	0.000242	2.74e-05	0.000153	8.58e-05	5e-06	0.00134	0.00311	0.001	3.41e-05	0.02	0.208404	0.00108	3.67e-06	0.000553	3.07e-05	4.98e-06	5.79e-05	0.00183	0.0155	0.0214	6.5e-05
1	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
2	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
3	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
4	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
5	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
6	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
7	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
8	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
9	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
10	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
11	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
12	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
13	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
14	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
15	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
16	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
17	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
18	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
19	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
20	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
21	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
22	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
23	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
24	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
25	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
26	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
27	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
28	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
29	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
30	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
31	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
32	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
33	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
34	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
35	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
36	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
37	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
