Time	[MKKK]	[MKKK_P]	[MKK]	[MKK_P]	[MKK_PP]	[MK]	[MK_P]	[MK_PP]	[P1]	[P2]	[Sig]
0	300	0	1200	0	0	1200	0	0	100	200	20
1	286.057	13.9435	1199.94	0.0633166	0.000226521	1200	4.48565e-07	1.29063e-14	100	200	20
2	273.643	26.357	1199.77	0.225632	0.00265128	1200	1.06925e-05	7.45422e-12	100	200	20
3	262.262	37.7381	1199.53	0.456627	0.0101901	1200	6.22573e-05	2.56989e-10	100	200	20
4	251.654	48.3462	1199.24	0.735912	0.0251444	1200	0.000205661	2.85199e-09	100	200	20
5	241.664	58.3359	1198.9	1.04938	0.0490089	1200	0.000500887	1.72014e-08	100	200	20
6	232.192	67.8077	1198.53	1.38707	0.0826386	1200	0.00100968	7.105e-08	100	200	20
7	223.169	76.8308	1198.13	1.74183	0.126444	1200	0.00179074	2.27085e-07	100	200	20
8	214.545	85.4546	1197.71	2.10846	0.180544	1200	0.00289715	6.03632e-07	100	200	20
9	206.284	93.716	1197.27	2.48312	0.244871	1200	0.00437536	1.39738e-06	100	200	20
10	198.357	101.643	1196.82	2.86297	0.319246	1199.99	0.00626506	2.90615e-06	100	200	20
11	190.743	109.257	1196.35	3.24586	0.403417	1199.99	0.00859953	5.55018e-06	100	200	20
12	183.425	116.575	1195.87	3.63015	0.497093	1199.99	0.0114063	9.89091e-06	100	200	20
13	176.389	123.611	1195.39	4.01462	0.599958	1199.99	0.0147078	1.66465e-05	100	200	20
14	169.624	130.376	1194.89	4.39828	0.711681	1199.98	0.018522	2.67041e-05	100	200	20
15	163.12	136.88	1194.39	4.78041	0.831927	1199.98	0.0228633	4.11284e-05	100	200	20
16	156.87	143.13	1193.88	5.16042	0.960353	1199.97	0.0277426	6.1167e-05	100	200	20
17	150.868	149.132	1193.37	5.53784	1.09661	1199.97	0.0331682	8.82526e-05	100	200	20
18	145.107	154.893	1192.85	5.91231	1.24036	1199.96	0.0391461	0.000124002	100	200	20
19	139.582	160.418	1192.33	6.28352	1.39124	1199.95	0.0456802	0.000170213	100	200	20
20	134.288	165.712	1191.8	6.65123	1.54891	1199.95	0.0527725	0.000228857	100	200	20
21	129.221	170.779	1191.27	7.01524	1.71299	1199.94	0.0604235	0.000302071	100	200	20
22	124.375	175.625	1190.74	7.37537	1.88314	1199.93	0.0686321	0.000392147	100	200	20
23	119.748	180.252	1190.21	7.73147	2.05897	1199.92	0.0773961	0.000501518	100	200	20
24	115.334	184.666	1189.68	8.08342	2.24013	1199.91	0.0867116	0.000632747	100	200	20
25	111.129	188.871	1189.14	8.4311	2.42623	1199.9	0.0965738	0.000788504	100	200	20
26	107.128	192.872	1188.61	8.77441	2.6169	1199.89	0.106977	0.000971551	100	200	20
27	103.327	196.673	1188.07	9.11327	2.81177	1199.88	0.117913	0.00118473	100	200	20
28	99.72	200.28	1187.54	9.44759	3.01044	1199.87	0.129374	0.00143092	100	200	20
29	96.3022	203.698	1187.01	9.7773	3.21254	1199.86	0.14135	0.00171304	100	200	20
30	93.0681	206.932	1186.48	10.1023	3.41771	1199.84	0.153831	0.00203403	100	200	20
31	90.012	209.988	1185.95	10.4226	3.62555	1199.83	0.166806	0.0023968	100	200	20
32	87.1281	212.872	1185.43	10.7382	3.83572	1199.82	0.180261	0.00280422	100	200	20
33	84.4104	215.59	1184.9	11.0489	4.04784	1199.8	0.194184	0.00325911	100	200	20
34	81.8525	218.147	1184.38	11.3547	4.26158	1199.79	0.208559	0.00376423	100	200	20
35	79.4483	220.552	1183.87	11.6556	4.47658	1199.77	0.223373	0.0043222	100	200	20
36	77.1912	222.809	1183.36	11.9517	4.69254	1199.76	0.238609	0.00493556	100	200	20
37	75.0748	224.925	1182.85	12.2427	4.90912	1199.74	0.25425	0.00560669	100	200	20
38	73.0924	226.908	1182.35	12.5289	5.12604	1199.72	0.27028	0.00633782	100	200	20
39	71.2377	228.762	1181.85	12.8101	5.34301	1199.71	0.286682	0.00713103	100	200	20
40	69.5041	230.496	1181.35	13.0863	5.55977	1199.69	0.303437	0.00798821	100	200	20
41	67.8852	232.115	1180.87	13.3576	5.77607	1199.67	0.320527	0.00891107	100	200	20
