Time	[Ptet-LasR]	[LasR]	[sa3_degraded]	[3OC12HSL]	[pLuxR]	[A pLux]	[sa6_degraded]	[LasR/AHL]	[mRNA(LasR)]	[GFP]
0	1e-05	1e-06	0	5e-06	1e-05	0	0	0	0	0
1	2.48455e-07	5.47412e-06	2.48919e-07	1.2923e-18	7.11269e-06	2.88731e-06	1.63399e-10	2.11253e-06	2.86743e-08	1.37155e-16
2	6.18065e-09	5.36251e-06	6.30761e-07	3.0099e-20	7.11269e-06	2.88731e-06	1.63399e-10	2.11253e-06	7.1331e-10	2.78308e-16
3	1.53754e-10	5.00835e-06	9.91643e-07	-2.15439e-24	7.11269e-06	2.88731e-06	1.63399e-10	2.11253e-06	1.77447e-11	4.17554e-16
4	3.82488e-12	4.67178e-06	1.32838e-06	-4.3406e-28	7.11269e-06	2.88731e-06	1.63399e-10	2.11253e-06	4.41431e-13	5.54918e-16
5	9.51613e-14	4.35769e-06	1.64248e-06	1.34814e-29	7.11269e-06	2.88731e-06	1.63399e-10	2.11253e-06	1.09826e-14	6.90425e-16
6	2.37324e-15	4.06471e-06	1.93546e-06	8.85973e-31	7.11269e-06	2.88731e-06	1.63399e-10	2.11253e-06	2.73896e-16	8.24101e-16
7	6.16922e-17	3.79142e-06	2.20874e-06	-1.0944e-30	7.11269e-06	2.88731e-06	1.63399e-10	2.11253e-06	7.1199e-18	9.5597e-16
8	3.31493e-18	3.53651e-06	2.46365e-06	-3.47236e-31	7.11269e-06	2.88731e-06	1.63399e-10	2.11253e-06	3.82576e-19	1.08606e-15
9	1.49545e-18	3.29874e-06	2.70142e-06	-1.39651e-30	7.11269e-06	2.88731e-06	1.63399e-10	2.11253e-06	1.7259e-19	1.21439e-15
10	-4.52237e-19	3.07696e-06	2.92321e-06	-1.14617e-30	7.11269e-06	2.88731e-06	1.63399e-10	2.11253e-06	-5.21927e-20	1.34098e-15
11	6.24067e-19	2.87008e-06	3.13008e-06	4.39035e-30	7.11269e-06	2.88731e-06	1.63399e-10	2.11253e-06	7.20237e-20	1.46586e-15
12	5.52893e-21	2.67712e-06	3.32304e-06	-4.89436e-32	7.11269e-06	2.88731e-06	1.63399e-10	2.11253e-06	6.38095e-22	1.58906e-15
