Time	[MKKK]	[MKKK_P]	[MKK]	[MKK_P]	[MKK_PP]	[M]	[M_P]	[M_PP]	[P1]	[P2]	[P3]	[M_PP_n]	[PreP3_mRNA]	[P3mRNA]	[P3_c]	[pP3_c]	[M_n]	[M_P_n]	[P3_n]
0	1000	0	4000	0	0	1000	0	0	100	500	500	0	0	0	0	0	0	0	0
1	997.564	2.43579	3999.89	0.111907	1.64266e-06	216.668	1.31751e-08	5.29012e-19	100	500	500	4.30837e-19	1.32219e-82	7.32952e-86	1.43501e-90	0	783.332	1.69321e-08	5.65557e-91
2	995.158	4.84192	3999.59	0.412176	2.33004e-05	216.667	2.9328e-07	2.59354e-16	100	500	500	3.5218e-16	9.67947e-71	1.08281e-73	3.82736e-78	0	783.333	5.68414e-07	2.61072e-78
3	992.78	7.21943	3999.14	0.856803	0.000104911	216.667	1.76963e-06	9.1877e-15	100	500	500	1.59481e-14	5.56088e-64	9.45839e-67	4.751e-71	0	783.333	4.10355e-06	3.77313e-71
4	990.431	9.5693	3998.59	1.41189	0.000295865	216.667	6.24486e-06	1.11725e-13	100	500	500	2.24951e-13	2.7565e-59	6.35587e-62	5.10645e-66	0	783.333	1.60297e-05	2.68862e-66
5	988.107	11.8925	3997.95	2.05139	0.000646666	216.667	1.63965e-05	7.56033e-13	100	500	500	1.68266e-12	1.03998e-55	3.08865e-58	1.28107e-58	0	783.333	4.49375e-05	-1.28059e-58
6	985.81	14.1898	3997.24	2.75537	0.00120441	216.667	3.56799e-05	3.52986e-12	100	500	500	8.44641e-12	7.83907e-53	2.8727e-55	-4.87312e-50	0	783.333	0.000102362	4.87312e-50
7	983.538	16.4621	3996.49	3.50855	0.00201065	216.667	6.8187e-05	1.27542e-11	100	500	500	3.22424e-11	1.8429e-50	7.79924e-53	7.76017e-48	0	783.333	0.000202322	-7.76017e-48
8	981.29	18.7101	3995.7	4.29924	0.00310068	216.667	0.000118496	3.82184e-11	100	500	500	1.00844e-10	2.00396e-48	1.00459e-50	-1.27198e-40	0	783.333	0.000360782	1.27198e-40
9	979.065	20.9347	3994.88	5.11852	0.00450366	216.666	0.000191527	9.92768e-11	100	500	500	2.7114e-10	1.15066e-46	6.46864e-49	1.60173e-33	0	783.333	0.000595125	-1.60173e-33
10	976.863	23.1365	3994.03	5.95956	0.00624316	216.666	0.000292415	2.30489e-10	100	500	500	6.47707e-10	4.26894e-45	2.77967e-47	-2.35541e-32	0	783.332	0.000923665	2.35541e-32
11	974.684	25.3162	3993.17	6.81713	0.00833785	216.666	0.000426403	4.88797e-10	100	500	500	1.40638e-09	1.03831e-43	7.64535e-46	-1.3805e-32	0	783.332	0.00136524	1.3805e-32
12	972.526	27.4744	3992.3	7.68723	0.0108023	216.666	0.000598753	9.62265e-10	100	500	500	2.82435e-09	1.82187e-42	1.47176e-44	-4.77186e-33	0	783.331	0.00193886	4.77186e-33
13	970.388	29.6117	3991.42	8.5668	0.0136477	216.666	0.000814681	1.78036e-09	100	500	500	5.31541e-09	2.4845e-41	2.18187e-43	-1.57764e-33	0	783.331	0.00266345	1.57764e-33
14	968.271	31.7288	3990.53	9.45353	0.0168824	216.666	0.0010793	3.12515e-09	100	500	500	9.46875e-09	2.63709e-40	2.51267e-42	-1.33232e-31	0	783.33	0.00355765	1.33232e-31
