Time	[NADH]	[O2]	[H2O2]	[per3]	[coI]	[ArH]	[coII]	[Ar]	[NADrad]	[super]	[coIII]	[per2]	[NAD2]	[NAD]	[O2g]	[NADHres]
0	0	0	0	1.4	0	500	0	0	0	0	0	0	0	0	12	0
1	0.08	0.0717844	6.31625e-10	1.4	2.06434e-10	500	2.92082e-09	6.83008e-09	4.3771e-11	2.10998e-12	7.14488e-12	1.8795e-11	0	0	12	0
2	0.16	0.143139	2.62072e-09	1.4	8.68703e-10	500	1.71181e-08	6.48638e-08	9.75619e-10	1.0571e-10	7.87609e-10	9.2155e-10	0	0	12	0
3	0.24	0.214067	5.95723e-09	1.4	1.98376e-09	500	4.42764e-08	2.26318e-07	4.7389e-09	7.99442e-10	9.67774e-09	7.26242e-09	0	0	12	0
4	0.32	0.284571	1.06291e-08	1.4	3.54754e-09	500	8.44131e-08	5.22968e-07	1.29557e-08	2.96228e-09	5.09389e-08	2.80991e-08	0	0	12	0
5	0.399999	0.354653	1.66242e-08	1.4	5.556e-09	500	1.37421e-07	9.61037e-07	2.63323e-08	7.58889e-09	1.7227e-07	7.49195e-08	0	0	12	0
6	0.479998	0.424315	2.39307e-08	1.4	8.00514e-09	500	2.03185e-07	1.52436e-06	4.4667e-08	1.5516e-08	4.44497e-07	1.58943e-07	0	0	12	0
7	0.559997	0.49356	3.25367e-08	1.4	1.0891e-08	500	2.81591e-07	2.18237e-06	6.70954e-08	2.7252e-08	9.55774e-07	2.88859e-07	0	0	12	0
8	0.639995	0.56239	4.24305e-08	1.4	1.42096e-08	500	3.72523e-07	2.89952e-06	9.24322e-08	4.29421e-08	1.80319e-06	4.69486e-07	0	0	12	0
9	0.719992	0.630808	5.36004e-08	1.4	1.79571e-08	500	4.7587e-07	3.6432e-06	1.19487e-07	6.24436e-08	3.08478e-06	7.01443e-07	0	0	12	0
10	0.799988	0.698815	6.60348e-08	1.39999	2.21295e-08	500	5.91519e-07	4.38852e-06	1.47281e-07	8.54539e-08	4.89397e-06	9.81643e-07	0	0	12	0
11	0.879984	0.766415	7.97223e-08	1.39999	2.67231e-08	500	7.1936e-07	5.11967e-06	1.75135e-07	1.11634e-07	7.31698e-06	1.30424e-06	0	0	12	0
12	0.959978	0.833609	9.46514e-08	1.39999	3.17341e-08	500	8.59282e-07	5.82889e-06	2.02663e-07	1.40691e-07	1.04327e-05	1.66172e-06	0	0	12	0
13	1.03997	0.900401	1.10811e-07	1.39998	3.71587e-08	500	1.01118e-06	6.51426e-06	2.29702e-07	1.72417e-07	1.43142e-05	2.04582e-06	0	0	12	0
14	1.11996	0.966791	1.2819e-07	1.39998	4.29931e-08	500	1.17493e-06	7.17716e-06	2.56235e-07	2.06684e-07	1.90302e-05	2.44829e-06	0	0	12	0
15	1.19995	1.03278	1.46776e-07	1.39997	4.92336e-08	500	1.35045e-06	7.82055e-06	2.82315e-07	2.43427e-07	2.46469e-05	2.86133e-06	0	0	12	0
16	1.27994	1.09838	1.6656e-07	1.39996	5.58766e-08	500	1.53761e-06	8.44759e-06	3.08024e-07	2.82618e-07	3.12289e-05	3.27788e-06	0	0	12	0
17	1.35993	1.16358	1.8753e-07	1.39996	6.29184e-08	500	1.73632e-06	9.06112e-06	3.3344e-07	3.24246e-07	3.88395e-05	3.69174e-06	0	0	12	0
18	1.43992	1.22839	2.09675e-07	1.39995	7.03554e-08	500	1.94647e-06	9.66343e-06	3.58627e-07	3.68308e-07	4.75413e-05	4.09763e-06	0	0	12	0
19	1.5199	1.29281	2.32985e-07	1.39994	7.8184e-08	500	2.16796e-06	1.02563e-05	3.83636e-07	4.14796e-07	5.7396e-05	4.49114e-06	0	0	12	0
20	1.59988	1.35684	2.57448e-07	1.39992	8.64007e-08	500	2.40067e-06	1.08409e-05	4.08506e-07	4.637e-07	6.84642e-05	4.8688e-06	0	0	12	0
21	1.67986	1.42049	2.83055e-07	1.39991	9.50018e-08	500	2.64452e-06	1.14183e-05	4.33263e-07	5.15009e-07	8.08056e-05	5.2279e-06	0	0	12	0
22	1.75984	1.48376	3.09794e-07	1.3999	1.03984e-07	500	2.8994e-06	1.19892e-05	4.57928e-07	5.68706e-07	9.44788e-05	5.56656e-06	0	0	12	0
23	1.83982	1.54664	3.37656e-07	1.39988	1.13344e-07	500	3.16521e-06	1.25542e-05	4.82517e-07	6.24775e-07	0.000109541	5.88352e-06	0	0	12	0
24	1.91979	1.60915	3.6663e-07	1.39986	1.23078e-07	500	3.44185e-06	1.31136e-05	5.07041e-07	6.83197e-07	0.00012605	6.17818e-06	0	0	12	0
25	1.99976	1.67128	3.96706e-07	1.39985	1.33182e-07	500	3.72922e-06	1.36679e-05	5.31509e-07	7.43952e-07	0.00014406	6.45047e-06	0	0	12	0
26	2.07973	1.73304	4.27874e-07	1.39983	1.43654e-07	500	4.02722e-06	1.42173e-05	5.55929e-07	8.0702e-07	0.000163626	6.70076e-06	0	0	12	0
27	2.1597	1.79442	4.60123e-07	1.3998	1.5449e-07	500	4.33576e-06	1.47621e-05	5.80307e-07	8.72383e-07	0.000184803	6.92976e-06	0	0	12	0
28	2.23966	1.85544	4.93444e-07	1.39978	1.65687e-07	500	4.65474e-06	1.53024e-05	6.04649e-07	9.4002e-07	0.000207642	7.13848e-06	0	0	12	0
29	2.31963	1.91609	5.27828e-07	1.39976	1.77241e-07	500	4.98407e-06	1.58385e-05	6.28957e-07	1.00991e-06	0.000232197	7.32813e-06	0	0	12	0
30	2.39959	1.97637	5.63263e-07	1.39973	1.89149e-07	500	5.32364e-06	1.63705e-05	6.53237e-07	1.08204e-06	0.000258519	7.50007e-06	0	0	12	0
31	2.47954	2.03629	5.99741e-07	1.3997	2.01408e-07	500	5.67338e-06	1.68985e-05	6.77491e-07	1.15638e-06	0.00028666	7.65572e-06	0	0	12	0
32	2.5595	2.09585	6.37252e-07	1.39967	2.14014e-07	500	6.03318e-06	1.74226e-05	7.01722e-07	1.23291e-06	0.00031667	7.79654e-06	0	0	12	0
33	2.63945	2.15504	6.75786e-07	1.39964	2.26965e-07	500	6.40294e-06	1.79429e-05	7.25932e-07	1.31162e-06	0.000348599	7.92398e-06	0	0	12	0
34	2.7194	2.21389	7.15334e-07	1.3996	2.40257e-07	500	6.7826e-06	1.84596e-05	7.50122e-07	1.39248e-06	0.000382498	8.03944e-06	0	0	12	0
35	2.79934	2.27237	7.55887e-07	1.39957	2.53888e-07	500	7.17204e-06	1.89726e-05	7.74296e-07	1.47548e-06	0.000418416	8.14427e-06	0	0	12	0
36	2.87928	2.33051	7.97435e-07	1.39953	2.67854e-07	500	7.57118e-06	1.94822e-05	7.98454e-07	1.5606e-06	0.000456401	8.23971e-06	0	0	12	0
37	2.95922	2.38829	8.39969e-07	1.39949	2.82151e-07	500	7.97993e-06	1.99882e-05	8.22598e-07	1.64782e-06	0.000496503	8.32693e-06	0	0	12	0
