Time	[Ca_ex]	[Ca_s]	[Ca_c]	[Ca_B]	[s5]	[IP3]	[s7]	[s8]	[s9]	[s10]	[s11]	[TimeT]	[s13]	[Shear Stress]
0	1.5e+06	2.83e+06	117.2	3870	0	0	0	0	0	0	0	0	0	0
1	1.5e+06	2.83002e+06	106.231	4102.92	0	0.143862	-0.195063	0.0512009	523.847	2237.14	-3000	1	-1	0
2	1.5e+06	2.83005e+06	109.249	4215.89	0	0.445551	-0.784139	0.338588	1065.11	4542.79	-6000	2	-2	0
3	1.5e+06	2.8301e+06	110.847	4275.63	0	0.801574	-1.76134	0.959767	1615.27	6883.95	-9000	3	-3	0
4	1.5e+06	2.83015e+06	111.712	4307.9	0	1.1739	-3.12083	1.94693	2170.12	9243.92	-12000	4	-4	0
5	1.5e+06	2.83021e+06	112.207	4326.38	0	1.5486	-4.85687	3.30827	2727.53	11614.2	-15000	5	-5	0
6	1.5e+06	2.83026e+06	112.532	4338.48	0	1.92059	-6.96378	5.04319	3286.48	13990.8	-18000	6	-6	0
7	1.5e+06	2.83031e+06	112.797	4348.33	0	2.28807	-9.436	7.14793	3846.56	16371.9	-21000	7	-7	0
8	1.5e+06	2.83035e+06	113.066	4358.3	0	2.65041	-12.268	9.61761	4407.64	18757	-24000	8	-8	0
9	1.5e+06	2.83039e+06	113.375	4369.78	0	3.00746	-15.4545	12.447	4969.84	21146.7	-27000	9	-9	0
10	1.5e+06	2.83041e+06	113.749	4383.66	0	3.35919	-18.9899	15.6308	5533.34	23541.6	-30000	10	-10	0
11	1.5e+06	2.83043e+06	114.204	4400.53	0	3.70565	-22.8693	19.1636	6098.42	25943	-33000	11	-11	0
12	1.5e+06	2.83043e+06	114.751	4420.78	0	4.04691	-27.0872	23.0403	6665.42	28352.2	-36000	12	-12	0
13	1.5e+06	2.83042e+06	115.397	4444.72	0	4.38304	-31.6388	27.2557	7234.68	30770.6	-39000	13	-13	0
14	1.5e+06	2.83039e+06	116.149	4472.6	0	4.71411	-36.5188	31.8047	7806.58	33199.7	-42000	14	-14	0
15	1.5e+06	2.83034e+06	117.013	4504.59	0	5.04021	-41.7225	36.6823	8381.53	35641.3	-45000	15	-15	0
16	1.5e+06	2.83027e+06	117.992	4540.85	0	5.3614	-47.2449	41.8835	8959.92	38097.1	-48000	16	-16	0
17	1.5e+06	2.83018e+06	119.092	4581.5	0	5.67777	-53.0812	47.4035	9542.18	40568.7	-51000	17	-17	0
18	1.5e+06	2.83005e+06	120.313	4626.67	0	5.98937	-59.2268	53.2374	10128.7	43057.9	-54000	18	-18	0
