Time	[L]	[PCNA]	[PCNAon]	[Rad18:Rad18]	[Rad18]	[Rad6]	[Rad6U]	[U]	[Rad18:Rad18:PCNAon]	[Rad18:Rad18:PCNAon:Rad6U]	[Rad18:Rad18:PCNAonU]	[PCNAonU]	[Rad5]	[Rad5:PCNAonU]	[Ubc13U:Mms2]	[Ubc13U:Mms2:Rad5:PCNAonU]	[Rad5:PCNAonU:U]	[Ubc13:Mms2]	[PCNAonU:U]	[Ubc13U:Mms2:Rad5:PCNAonU:U]	[Rad5:PCNAonU:U:U]	[PCNAonU:U:U]	[PCNAoff]
0	1001	7480	0	0	206	194	0	8698	0	0	0	0	1520	0	0	0	0	193	0	0	0	0	0
1	1000.89	7479.89	0.00260268	0.419898	204.941	193.588	0.411519	8504.59	0.109177	0.000524439	1.08932e-06	2.2459e-07	1520	8.46121e-11	193	2.04984e-10	4.75653e-13	1.20569e-20	4.70692e-19	9.45144e-13	5.47146e-16	2.82638e-19	1.14902e-15
2	1000.78	7479.78	0.00514114	0.419007	204.723	193.177	0.819046	8504.18	0.215307	0.00412664	1.45871e-05	6.17679e-06	1520	2.68434e-09	193	1.34562e-08	3.71742e-11	7.92072e-19	7.76392e-17	1.55966e-10	1.89216e-13	2.03434e-16	6.4494e-14
3	1000.66	7479.66	0.00755111	0.418115	204.505	192.767	1.21974	8503.77	0.315613	0.0136047	6.25984e-05	4.07223e-05	1520	1.86183e-08	193	1.42755e-07	4.19638e-10	8.40966e-18	1.35535e-15	2.72392e-09	5.09244e-12	8.41178e-15	6.49634e-13
4	1000.55	7479.55	0.00977544	0.417223	204.287	192.358	1.6112	8503.36	0.407744	0.0312948	0.000169321	0.000150169	1520	7.04566e-08	193	7.30527e-07	2.21644e-09	4.30705e-17	9.75732e-15	1.96187e-08	4.98541e-11	1.11672e-13	3.24938e-12
5	1000.44	7479.44	0.0117697	0.416332	204.069	191.949	1.99158	8502.95	0.489898	0.0589517	0.000356329	0.000403536	1520	1.92317e-07	193	2.52102e-06	7.79644e-09	1.4876e-16	4.36787e-14	8.78642e-08	2.83442e-10	8.04299e-13	1.10948e-11
6	1000.33	7479.33	0.0135035	0.415442	203.851	191.543	2.35965	8502.54	0.560881	0.097695	0.000640327	0.000888505	1520	4.27902e-07	193	6.79715e-06	2.12912e-08	4.01434e-16	1.45396e-13	2.92617e-07	1.14792e-09	3.95344e-12	2.97852e-11
7	1000.21	7479.21	0.014961	0.414553	203.633	191.137	2.71482	8502.13	0.620102	0.148017	0.00103221	0.00170587	1520	8.27728e-07	193	1.54751e-05	4.89191e-08	9.14753e-16	3.95338e-13	7.96022e-07	3.68712e-09	1.49651e-11	6.77792e-11
8	1000.1	7479.1	0.0161394	0.413667	203.415	190.733	3.05704	8501.73	0.667523	0.209843	0.00153696	0.00296357	1520	1.44611e-06	193	3.11512e-05	9.91517e-08	1.84305e-15	9.28076e-13	1.86962e-06	1.00075e-08	4.68519e-11	1.36725e-10
9	999.99	7478.99	0.0170471	0.412785	203.198	190.331	3.38676	8501.32	0.703569	0.282627	0.00215417	0.00477091	1520	2.33826e-06	193	5.71026e-05	1.82726e-07	3.38156e-15	1.94884e-12	3.9279e-06	2.39022e-08	1.26983e-10	2.5164e-10
10	999.878	7478.88	0.0177015	0.411907	202.981	189.93	3.70477	8500.92	0.729024	0.365461	0.00287883	0.00723361	1520	3.5577e-06	193	9.72479e-05	3.12522e-07	5.76432e-15	3.74945e-12	7.56086e-06	5.16379e-08	3.07326e-10	4.30974e-10
11	999.765	7478.77	0.0181258	0.411034	202.766	189.531	4.01214	8500.52	0.744921	0.457196	0.00370242	0.0104498	1520	5.15424e-06	193	0.000156075	5.03328e-07	9.26011e-15	6.72279e-12	1.35636e-05	1.02893e-07	6.78935e-10	6.9659e-10
12	999.653	7478.65	0.0183474	0.410169	202.552	189.133	4.31008	8500.11	0.752442	0.556539	0.00461395	0.0145069	1520	7.17245e-06	193	0.000238547	7.71534e-07	1.41671e-14	1.13751e-11	2.29619e-05	1.91828e-07	1.3914e-09	1.07374e-09
13	999.541	7478.54	0.0183953	0.40931	202.34	188.738	4.59986	8499.71	0.752826	0.662152	0.00560101	0.0194801	1520	9.65067e-06	193	0.000349995	1.13477e-06	2.08065e-14	1.83357e-11	3.70323e-05	3.3827e-07	2.67784e-09	1.59105e-09
14	999.429	7478.43	0.0182984	0.40846	202.13	188.345	4.88275	8499.31	0.747304	0.772719	0.00665062	0.0254313	1520	1.26206e-05	192.999	0.000496002	1.61155e-06	2.95161e-14	2.83639e-11	5.73166e-05	5.6897e-07	4.8858e-09	2.28066e-09
15	999.317	7478.32	0.0180846	0.407618	201.921	187.953	5.15995	8498.91	0.737047	0.886999	0.00774994	0.0324089	1520	1.61071e-05	192.999	0.000682296	2.22087e-06	4.0644e-14	4.23528e-11	8.56312e-05	9.18917e-07	8.51457e-09	3.17846e-09
16	999.205	7478.2	0.0177794	0.406785	201.715	187.564	5.43256	8498.51	0.723127	1.00386	0.00888681	0.0404485	1520	2.01286e-05	192.999	0.000914641	2.98187e-06	5.45418e-14	6.13307e-11	0.00012407	1.43268e-06	1.42588e-08	4.32455e-09
17	999.093	7478.09	0.0174058	0.405963	201.51	187.176	5.70156	8498.11	0.7065	1.12231	0.0100501	0.0495739	1520	2.46974e-05	192.999	0.00119874	3.91354e-06	7.15597e-14	8.64599e-11	0.000175004	2.16574e-06	2.30586e-08	5.76399e-09
18	998.981	7477.98	0.016984	0.40515	201.308	186.791	5.96781	8497.72	0.687992	1.24148	0.0112298	0.059798	1520	2.98205e-05	192.998	0.00154018	5.03441e-06	9.20415e-14	1.19033e-10	0.000241072	3.18579e-06	3.6156e-08	7.54784e-09
19	998.869	7477.87	0.0165308	0.404347	201.109	186.407	6.23203	8497.32	0.668305	1.36066	0.0124175	0.0711247	1520	3.55001e-05	192.998	0.0019443	6.36236e-06	1.1632e-13	1.60469e-10	0.000325177	4.57404e-06	5.51579e-08	9.73447e-09
20	998.757	7477.76	0.0160604	0.403555	200.911	186.026	6.49481	8496.93	0.648012	1.47926	0.0136059	0.0835497	1520	4.17342e-05	192.997	0.00241622	7.9144e-06	1.44715e-13	2.12304e-10	0.000430466	6.42634e-06	8.21042e-08	1.23914e-08
21	998.645	7477.64	0.0155842	0.402773	200.716	185.647	6.75663	8496.53	0.627578	1.59681	0.0147891	0.0970624	1520	4.85178e-05	192.996	0.00296074	9.70656e-06	1.7753e-13	2.76185e-10	0.00056032	8.8544e-06	1.19542e-07	1.55972e-08
22	998.533	7477.53	0.0151112	0.402001	200.523	185.269	7.01786	8496.14	0.60736	1.71295	0.0159624	0.111647	1520	5.58431e-05	192.996	0.00358233	1.17538e-05	2.15049e-13	3.53862e-10	0.000718335	1.19867e-05	1.70603e-07	1.94444e-08
23	998.421	7477.42	0.0146482	0.401239	200.333	184.894	7.27879	8495.74	0.58763	1.82743	0.0171223	0.127284	1519.99	6.37001e-05	192.995	0.00428511	1.40698e-05	2.57537e-13	4.47175e-10	0.000908306	1.59697e-05	2.39091e-07	2.40421e-08
24	998.309	7477.31	0.0142	0.400488	200.145	184.52	7.53961	8495.35	0.568581	1.94007	0.0182659	0.143949	1519.99	7.20774e-05	192.994	0.00507285	1.66672e-05	3.05241e-13	5.5805e-10	0.00113421	2.09683e-05	3.29564e-07	2.95199e-08
