Time	[Hamp]	[Fe-FT]	[FT]	[FT1]	[HO-1]	[Heme]	[LIP]	[Fpn]	[IRP]	[Tf-Fe_intercell]	[TfR]	[Tf-Fe-TfR1]	[HFE]	[HFE-TfR]	[Tf-Fe-TfR2]	[2(Tf-Fe)-TfR1]	[2HFE-TfR]	[2HFE-TfR2]	[2(Tf-Fe)-TfR2]	[TfR2]	[Heme_intercell]
0	5e-09	0	1.66e-10	0	3.56e-11	1e-09	1.3e-06	1e-09	1.16e-06	5e-06	4e-07	0	2e-07	0	0	0	0	0	0	3e-06	1e-07
1	4.99792e-09	5.59243e-11	1.10181e-10	4.24758e-07	3.56004e-11	4.43033e-09	1.41087e-06	1.81153e-09	1.16e-06	5e-06	2.09978e-08	2.59064e-07	1.40953e-07	1.5441e-08	1.65855e-06	1.02362e-07	2.13837e-09	1.96701e-08	2.71743e-07	1.05005e-06	1e-07
2	4.99716e-09	8.61013e-11	8.01102e-11	6.60195e-07	3.56011e-11	5.1662e-09	2.98755e-06	2.62296e-09	1.16e-06	5e-06	2.61088e-08	2.15275e-07	1.26311e-07	1.55944e-08	1.86176e-06	1.38881e-07	4.14624e-09	2.49123e-08	5.40721e-07	5.72631e-07	1e-07
3	4.99688e-09	1.09051e-10	5.72667e-11	8.46476e-07	3.56017e-11	5.32412e-09	5.29321e-06	3.4343e-09	1.15998e-06	5e-06	2.82601e-08	2.04074e-07	1.16226e-07	1.62625e-08	1.8088e-06	1.45544e-07	5.86759e-09	2.7905e-08	6.58298e-07	5.05052e-07	1e-07
4	4.99674e-09	1.23104e-10	4.33205e-11	9.61072e-07	3.56024e-11	5.358e-09	7.89895e-06	4.24554e-09	1.15997e-06	5e-06	2.86178e-08	2.00965e-07	1.07631e-07	1.69316e-08	1.75975e-06	1.46115e-07	7.38206e-09	3.03592e-08	6.94888e-07	5.15073e-07	1e-07
5	4.99664e-09	1.31901e-10	3.46296e-11	1.03251e-06	3.56031e-11	5.36525e-09	1.05875e-05	5.0567e-09	1.15996e-06	5e-06	2.86113e-08	1.99615e-07	1.00108e-07	1.75026e-08	1.73788e-06	1.45578e-07	8.70696e-09	3.25159e-08	7.02762e-07	5.26935e-07	1e-07
6	4.99655e-09	1.37791e-10	2.88461e-11	1.08009e-06	3.56037e-11	5.36679e-09	1.32778e-05	5.86776e-09	1.15994e-06	5e-06	2.85433e-08	1.98722e-07	9.35553e-08	1.79813e-08	1.73033e-06	1.44915e-07	9.8555e-09	3.44102e-08	7.03143e-07	5.32234e-07	1e-07
7	4.99645e-09	1.41987e-10	2.47569e-11	1.11385e-06	3.56044e-11	5.36711e-09	1.59421e-05	6.67874e-09	1.15993e-06	5e-06	2.84728e-08	1.98011e-07	8.78632e-08	1.83861e-08	1.7279e-06	1.44307e-07	1.08432e-08	3.60721e-08	7.02335e-07	5.3383e-07	1e-07
8	4.99636e-09	1.45126e-10	2.17247e-11	1.13902e-06	3.56051e-11	5.36716e-09	1.85688e-05	7.48962e-09	1.15991e-06	5e-06	2.84105e-08	1.97415e-07	8.29131e-08	1.87321e-08	1.72689e-06	1.43779e-07	1.16865e-08	3.75366e-08	7.0165e-07	5.34083e-07	1e-07
9	4.99626e-09	1.47564e-10	1.93933e-11	1.15852e-06	3.56057e-11	5.36716e-09	2.11506e-05	8.30041e-09	1.15989e-06	5e-06	2.83574e-08	1.9691e-07	7.85959e-08	1.90306e-08	1.72619e-06	1.43327e-07	1.24017e-08	3.88368e-08	7.01174e-07	5.33981e-07	1e-07
10	4.99617e-09	1.49515e-10	1.75495e-11	1.17409e-06	3.56064e-11	5.36714e-09	2.36816e-05	9.1111e-09	1.15988e-06	5e-06	2.83128e-08	1.96481e-07	7.48179e-08	1.92894e-08	1.72556e-06	1.42942e-07	1.30036e-08	4.00004e-08	7.00818e-07	5.33826e-07	1e-07
11	4.99608e-09	1.51113e-10	1.60588e-11	1.18682e-06	3.56071e-11	5.36712e-09	2.61565e-05	9.92171e-09	1.15986e-06	5e-06	2.82757e-08	1.96121e-07	7.15009e-08	1.95144e-08	1.72497e-06	1.42615e-07	1.35062e-08	4.10498e-08	7.00525e-07	5.33682e-07	1e-07
