Time	[EmptySet]	[cdc2k]	[cdc2k-P]	[p-cyclin_cdc2]	[p-cyclin_cdc2-p]	[cyclin]	[p-cyclin]	[total_cyclin]	[total_cdc2]
0	0	0	0.75	0	0.25	0	0	0.25	1
1	0	0.000736087	0.736084	0.00304462	0.260135	0.000101879	0.00140345	0.264685	1
2	0	0.000725013	0.725008	0.00464386	0.269623	0.000103437	0.00377025	0.278141	1
3	0	0.00071523	0.715225	0.00571396	0.278346	0.000104853	0.00602333	0.290188	1
4	0	0.000706395	0.706388	0.00657278	0.286332	0.000106165	0.00796503	0.300976	1
5	0	0.000698375	0.698367	0.00736311	0.293571	0.000107385	0.00964187	0.310683	1
6	0	0.000691145	0.691137	0.00816807	0.300003	0.000108509	0.0111582	0.319438	1
7	0	0.000684756	0.684747	0.00905561	0.305513	0.000109523	0.0126254	0.327303	1
8	0	0.000679326	0.679316	0.0101066	0.309898	0.000110399	0.0141596	0.334274	1
9	0	0.000675079	0.675068	0.011452	0.312805	0.000111096	0.0159026	0.340271	1
10	0	0.000672426	0.672412	0.0133616	0.313554	0.000111537	0.0180793	0.345106	1
11	0	0.00067222	0.672204	0.0165436	0.310581	0.000111575	0.021163	0.348399	1
12	0	0.000676745	0.676721	0.0236934	0.298909	0.000110839	0.0265582	0.349271	1
13	0	0.000696953	0.696895	0.0584319	0.243976	0.000107668	0.0422379	0.344754	1
14	0	0.000826797	0.826631	0.166371	0.0061721	9.0831e-05	0.137557	0.31019	1
15	0	0.000922345	0.922276	0.0684928	0.00830843	8.13463e-05	0.155164	0.232046	1
16	0	0.000952551	0.952523	0.0280197	0.0185049	7.8744e-05	0.117725	0.164329	1
17	0	0.000956046	0.956035	0.0114675	0.0315415	7.84475e-05	0.0779273	0.121015	1
18	0	0.000948716	0.948712	0.00490167	0.0454381	7.90502e-05	0.0482944	0.0987132	1
19	0	0.000937208	0.937205	0.00247919	0.0593782	8.00195e-05	0.0290343	0.0909717	1
20	0	0.000924233	0.924232	0.00170814	0.0731359	8.11422e-05	0.0174196	0.0923448	1
21	0	0.000910858	0.910856	0.00157389	0.0866589	8.23334e-05	0.0107661	0.0990813	1
22	0	0.000897489	0.897487	0.00168159	0.0999341	8.35598e-05	0.00712791	0.108827	1
23	0	0.00088428	0.884278	0.00188164	0.112956	8.48078e-05	0.00525573	0.120178	1
24	0	0.000871293	0.871291	0.00211814	0.12572	8.60719e-05	0.00439574	0.13232	1
25	0	0.00085855	0.858548	0.00237051	0.138223	8.73493e-05	0.00410889	0.14479	1
26	0	0.000846065	0.846062	0.00263149	0.15046	8.86383e-05	0.00414504	0.157325	1
27	0	0.000833843	0.83384	0.0028989	0.162427	8.99374e-05	0.00436383	0.169779	1
28	0	0.000821892	0.821889	0.00317257	0.174117	9.12452e-05	0.00468756	0.182068	1
29	0	0.000810218	0.810214	0.00345318	0.185522	9.256e-05	0.00507383	0.194142	1
30	0	0.000798827	0.798824	0.00374186	0.196636	9.38798e-05	0.00550009	0.205971	1
31	0	0.00078773	0.787726	0.00404002	0.207446	9.52023e-05	0.00595493	0.217536	1
32	0	0.000776936	0.776932	0.00434941	0.217942	9.6525e-05	0.00643329	0.228821	1
33	0	0.000766458	0.766453	0.00467209	0.228108	9.78447e-05	0.00693382	0.239812	1
34	0	0.00075631	0.756305	0.00501057	0.237928	9.91577e-05	0.00745753	0.250496	1
35	0	0.000746509	0.746503	0.00536794	0.247382	0.00010046	0.00800706	0.260858	1
36	0	0.000737076	0.73707	0.00574808	0.256445	0.000101746	0.00858653	0.270881	1
37	0	0.000728036	0.72803	0.00615598	0.265086	0.000103009	0.00920153	0.280547	1
38	0	0.00071942	0.719414	0.00659821	0.273269	0.000104243	0.0098595	0.289831	1
39	0	0.000711267	0.71126	0.00708368	0.280945	0.000105438	0.0105704	0.298705	1
