Time	[DFG]	[E1]	[E2]	[Cn]	[Gly]	[_3DG]	[FA]	[_1DG]	[AA]	[Man]	[Glu]	[MG]	[Mel]	[Fru]
0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
1	8.67482	0.0442487	0.123302	0.135906	0.157606	0.00177552	0.00110666	0.00784587	0.00692739	0.00164318	0.00262782	0.00108988	2.37729e-05	0.000862858
2	8.36139	0.0766589	0.217217	0.264896	0.344534	0.00620546	0.00440661	0.01884	0.0357706	0.00597509	0.00955244	0.00428519	0.000200757	0.00317346
3	8.05928	0.100028	0.287848	0.387272	0.552137	0.0122266	0.00984982	0.0279007	0.085932	0.0122601	0.0195938	0.00947854	0.000704276	0.00658045
4	7.76809	0.116504	0.340058	0.503238	0.773631	0.0190755	0.0173654	0.0347747	0.15315	0.019937	0.0318517	0.0165665	0.00171487	0.0108056
5	7.48742	0.127736	0.377722	0.612932	1.00371	0.0262134	0.0268675	0.0398229	0.233476	0.0285783	0.0456407	0.0254483	0.00340883	0.0156291
6	7.21689	0.134988	0.403925	0.716458	1.23824	0.0332683	0.0382597	0.0434163	0.323688	0.0378594	0.0604402	0.036025	0.00595052	0.0208775
7	6.95614	0.139232	0.421123	0.813901	1.47402	0.0399917	0.0514387	0.0458627	0.421218	0.0475343	0.0758561	0.0481994	0.0094875	0.0264142
8	6.70481	0.141212	0.431272	0.90534	1.70856	0.0462259	0.066297	0.0474089	0.524025	0.0574175	0.0915915	0.0618753	0.0141477	0.0321322
9	6.46255	0.141498	0.435925	0.990856	1.93998	0.0518789	0.0827249	0.0482516	0.63049	0.06737	0.107423	0.0769578	0.020038	0.0379478
10	6.22905	0.140527	0.436318	1.07054	2.16686	0.0569061	0.100612	0.048547	0.739332	0.077288	0.123186	0.0933536	0.0272439	0.043796
11	6.00399	0.138633	0.433433	1.1445	2.38811	0.0612961	0.11985	0.0484196	0.849538	0.0870952	0.138758	0.110971	0.0358302	0.0496265
12	5.78706	0.13607	0.428048	1.21284	2.60298	0.0650603	0.140331	0.0479678	0.960309	0.0967357	0.154049	0.129719	0.0458413	0.0554008
13	5.57797	0.133034	0.42078	1.27571	2.81091	0.0682255	0.16195	0.0472699	1.07101	0.10617	0.168996	0.14951	0.0573036	0.0610898
14	5.37643	0.129673	0.412116	1.33324	3.01156	0.0708281	0.184604	0.046388	1.18116	0.115369	0.183556	0.170258	0.0702258	0.0666715
15	5.18217	0.126098	0.402444	1.38558	3.20468	0.0729101	0.208196	0.0453709	1.29036	0.124316	0.197697	0.191879	0.0846018	0.07213
16	4.99494	0.122396	0.392066	1.43291	3.39019	0.0745161	0.23263	0.0442573	1.39832	0.132998	0.211403	0.214293	0.100411	0.0774539
17	4.81446	0.11863	0.381221	1.4754	3.56806	0.075691	0.257816	0.0430776	1.50479	0.141408	0.224664	0.23742	0.117623	0.0826353
18	4.64051	0.114848	0.370096	1.51324	3.73835	0.0764792	0.283667	0.0418558	1.60961	0.149545	0.237475	0.261186	0.136193	0.0876693
