Time	[S1]	[DNA0000]	[DNA0001]	[DNA0010]	[DNA0100]	[DNA1000]	[DNA1100]	[DNA1010]	[DNA1001]	[DNA0110]	[DNA0101]	[DNA0011]	[DNA1110]	[DNA1011]	[DNA1101]	[DNA0111]	[DNA1111]	[DNA001_1]	[DNA01_10]	[DNA01_11]	[DNA011_1]	[DNA01_1_1]	[DNA101_1]	[DNA1_100]	[DNA1_101]	[DNA1_110]	[DNA11_10]	[DNA1_1_10]	[DNA1_111]	[DNA11_11]	[DNA111_1]	[DNA1_1_11]	[DNA1_11_1]	[DNA11_1_1]	[DNA1_1_1_1]
0	1.09648e-11	1e-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1.03775e-11	9.9496e-11	4.1301e-15	2.06223e-13	2.06223e-13	4.1301e-15	8.57916e-18	8.56028e-18	1.71442e-19	1.22312e-16	8.56028e-18	8.57916e-18	2.74323e-22	3.56366e-22	3.56366e-22	2.74323e-22	1.37834e-27	5.14846e-15	7.27773e-14	2.70113e-20	2.70113e-20	1.60697e-17	2.13884e-19	5.14846e-15	2.13884e-19	2.70113e-20	2.70113e-20	1.60697e-17	1.20126e-27	1.20126e-27	1.20126e-27	3.07859e-25	3.07859e-25	3.07859e-25	1.83894e-22
2	1.02793e-11	9.9449e-11	4.08907e-15	2.04258e-13	2.04258e-13	4.08907e-15	8.41516e-18	8.39836e-18	1.68131e-19	2.07215e-16	8.39836e-18	8.41516e-18	5.0678e-22	3.46173e-22	3.46173e-22	5.0678e-22	1.84743e-27	5.04996e-15	1.23905e-13	8.69603e-20	8.69603e-20	5.19598e-17	2.07756e-19	5.04996e-15	2.07756e-19	8.69603e-20	8.69603e-20	5.19598e-17	2.2375e-27	2.2375e-27	2.2375e-27	7.89397e-25	7.89397e-25	7.89397e-25	4.72538e-22
3	1.02109e-11	9.94162e-11	4.06051e-15	2.02889e-13	2.02889e-13	4.06051e-15	8.29805e-18	8.28653e-18	1.65846e-19	2.66233e-16	8.28653e-18	8.29805e-18	7.30529e-22	3.39033e-22	3.39033e-22	7.30529e-22	2.30229e-27	4.97942e-15	1.59445e-13	1.6853e-19	1.6853e-19	1.00849e-16	2.03455e-19	4.97942e-15	2.03455e-19	1.6853e-19	1.6853e-19	1.00849e-16	3.49497e-27	3.49497e-27	3.49497e-27	1.40805e-24	1.40805e-24	1.40805e-24	8.4346e-22
4	1.01632e-11	9.93934e-11	4.04061e-15	2.01936e-13	2.01936e-13	4.04061e-15	8.21718e-18	8.209e-18	1.64262e-19	3.07273e-16	8.209e-18	8.21718e-18	9.4782e-22	3.34125e-22	3.34125e-22	9.4782e-22	2.74782e-27	4.93072e-15	1.84159e-13	2.64356e-19	2.64356e-19	1.5831e-16	2.005e-19	4.93072e-15	2.005e-19	2.64356e-19	2.64356e-19	1.5831e-16	4.97029e-27	4.97029e-27	4.97029e-27	2.16032e-24	2.16032e-24	2.16032e-24	1.29456e-21
5	1.01299e-11	9.93775e-11	4.02672e-15	2.0127e-13	2.0127e-13	4.02672e-15	8.1605e-18	8.15511e-18	1.63161e-19	3.35804e-16	8.15511e-18	8.1605e-18	1.15999e-21	3.3071e-22	3.3071e-22	1.15999e-21	3.18622e-27	4.89658e-15	2.0134e-13	3.69462e-19	3.69462e-19	2.21352e-16	1.98442e-19	4.89658e-15	1.98442e-19	3.69462e-19	3.69462e-19	2.21352e-16	6.66036e-27	6.66036e-27	6.66036e-27	3.04369e-24	3.04369e-24	3.04369e-24	1.82432e-21
6	1.01066e-11	9.93664e-11	4.01702e-15	2.00805e-13	2.00805e-13	4.01702e-15	8.12145e-18	8.11755e-18	1.62393e-19	3.5564e-16	8.11755e-18	8.12145e-18	1.36786e-21	3.28353e-22	3.28353e-22	1.36786e-21	3.61874e-27	4.87307e-15	2.13285e-13	4.80439e-19	4.80439e-19	2.87925e-16	1.97024e-19	4.87307e-15	1.97024e-19	4.80439e-19	4.80439e-19	2.87925e-16	8.56244e-27	8.56244e-27	8.56244e-27	4.05613e-24	4.05613e-24	4.05613e-24	2.43153e-21
7	1.00903e-11	9.93586e-11	4.01022e-15	2.00479e-13	2.00479e-13	4.01022e-15	8.09397e-18	8.09127e-18	1.61857e-19	3.69429e-16	8.09127e-18	8.09397e-18	1.57196e-21	3.26703e-22	3.26703e-22	1.57196e-21	4.04586e-27	4.85652e-15	2.21588e-13	5.94952e-19	5.94952e-19	3.56624e-16	1.9603e-19	4.85652e-15	1.9603e-19	5.94952e-19	5.94952e-19	3.56624e-16	1.06738e-26	1.06738e-26	1.06738e-26	5.19586e-24	5.19586e-24	5.19586e-24	3.11511e-21
8	1.00788e-11	9.93532e-11	4.00544e-15	2.0025e-13	2.0025e-13	4.00544e-15	8.0747e-18	8.07284e-18	1.6148e-19	3.79011e-16	8.07284e-18	8.0747e-18	1.77262e-21	3.25546e-22	3.25546e-22	1.77262e-21	4.4678e-27	4.84492e-15	2.27359e-13	7.11397e-19	7.11397e-19	4.26487e-16	1.95333e-19	4.84492e-15	1.95333e-19	7.11397e-19	7.11397e-19	4.26487e-16	1.29917e-26	1.29917e-26	1.29917e-26	6.46121e-24	6.46121e-24	6.46121e-24	3.87407e-21
9	1.00707e-11	9.93494e-11	4.00207e-15	2.00088e-13	2.00088e-13	4.00207e-15	8.06152e-18	8.05981e-18	1.61214e-19	3.85673e-16	8.05981e-18	8.06152e-18	1.97016e-21	3.24746e-22	3.24746e-22	1.97016e-21	4.88491e-27	4.837e-15	2.3137e-13	8.28669e-19	8.28669e-19	4.96849e-16	1.94853e-19	4.837e-15	1.94853e-19	8.28669e-19	8.28669e-19	4.96849e-16	1.55138e-26	1.55138e-26	1.55138e-26	7.85056e-24	7.85056e-24	7.85056e-24	4.70744e-21
