Time	[Fru_e]	[_2PGA_c]	[Fru_g]	[Fru_c]	[DHAP_c]	[ATP_g]	[DHAP_g]	[ADP_g]	[Glc6P_g]	[ADP_c]	[_3PGA_c]	[NADPH_c]	[Fru6P_g]	[Fru6P_c]	[Pi_g]	[O2_c]	[NADP_c]	[ATP_c]	[NADP_g]	[_6PG_g]	[CO2_c]	[Rul5P_c]	[_6PG_c]	[Rul5P_g]	[Glc6P_c]	[Rib5P_c]	[_13BPGA_g]	[Glc_c]	[Rib5P_g]	[Glc_g]	[Glc_e]	[NADPH_g]	[Rib_g]	[Pyr_c]	[Pyr_e]	[NAD_g]	[Fru16BP_g]	[GA3P_g]	[Gly_e]	[TSH2_c]	[CO2_g]	[Gly3P_c]	[Gly3P_g]	[_6PGL_c]	[TS2_c]	[_6PGL_g]	[PEP_c]	[AMP_g]	[_3PGA_g]	[AMP_c]	[NADH_g]
0	5	0.1	0.1	0.1	2.23133	0.2405	8.48313	1.519	0.5	1.3165	0.1	3.9	0.5	0.9	0	1	0.1	0.3417	0.1	0.0841958	0	0.41282	0.0841958	0.41282	0.5	0.01	0.5	0.1	0.01	0.1	5	3.9	0.01	10	0	2	10	2.5	0	0.01	0	2.76867	10.5169	0.0795278	0.37	0.0795278	1	4.2405	0.1	2.2418	2
1	5	0.13384	0.0886136	0.0887403	4.91005	0.152922	2.08318	1.21478	0.733041	1.46078	1.10419	2.47735	0.279533	0.9	0	1	1.52265	0.544043	3.48406	0.00113578	0	0.00581266	0.000294554	0.0835035	1.78793	0.01	0.0428648	0.100097	0.402818	0.0997882	5	0.515942	0.01	0.515445	0	3.91531	6.85045	0.0942529	0	0.375144	0	0.0899524	26.6388	9.40653e-05	0.00485596	0.00588268	0.454616	4.6323	332.709	1.89518	0.0846948
2	5	0.207099	0.0787584	0.0788755	4.9256	0.160672	2.27589	1.2407	0.780975	1.63389	1.87867	1.62981	0.298608	0.9	0	1	2.37019	1.141	3.48289	0.00116803	0	0.00404664	0.000163631	0.0861099	3.21645	0.01	0.0683522	0.0969493	0.416473	0.0966416	5	0.51711	0.01	0.764428	0	3.92956	8.12074	0.103289	0	0.374411	0	0.0743967	23.7463	0.000224497	0.00558934	0.00590398	0.672231	4.59863	540.073	1.12511	0.0704373
3	5	0.249678	0.081224	0.0813351	4.93313	0.146376	2.38594	1.19227	0.848246	1.60107	2.43611	1.0708	0.325325	0.9	0	1	2.9292	1.44924	3.48131	0.00113363	0	0.00608471	0.000203404	0.0825613	4.55023	0.01	0.0844448	0.108587	0.396794	0.10828	5	0.518691	0.01	0.960076	0	3.93591	8.81996	0.108442	0	0.373296	0	0.0668711	22.2228	0.000421431	0.00670401	0.00591959	0.783446	4.66135	688.801	0.849683	0.0640853
4	5	0.27671	0.085064	0.085171	4.93741	0.133673	2.45467	1.14649	0.904311	1.56067	2.84696	0.723957	0.347634	0.9	0	1	3.27604	1.61519	3.48015	0.00110012	0	0.00890024	0.000277965	0.0792278	5.71544	0.01	0.0953242	0.121154	0.378407	0.120848	5	0.519847	0.01	1.10961	0	3.93947	9.23984	0.111657	0	0.371744	0	0.0625944	21.3148	0.000691713	0.0082563	0.00592981	0.847958	4.71984	797.917	0.724143	0.0605306
5	5	0.295148	0.0886385	0.0887426	4.94009	0.124347	2.50062	1.111	0.94793	1.52931	3.15608	0.53233	0.365025	0.9	0	1	3.46767	1.71649	3.47934	0.00107444	0	0.0120359	0.00037561	0.0767034	6.71882	0.01	0.103067	0.132418	0.364496	0.132112	5	0.520657	0.01	1.22283	0	3.94172	9.51015	0.113806	0	0.370018	0	0.0599071	20.7279	0.000986412	0.00998238	0.0059367	0.889531	4.76465	879.659	0.654193	0.0582821
6	5	0.308311	0.0917206	0.0918225	4.94189	0.117532	2.5328	1.08396	0.981809	1.50591	3.39228	0.442581	0.378552	0.9	0	1	3.55742	1.78372	3.47876	0.00105514	0	0.014487	0.000460055	0.0748177	7.58298	0.01	0.108756	0.142128	0.354107	0.141824	5	0.521237	0.01	1.3092	0	3.94324	9.69296	0.11531	0	0.368689	0	0.0581083	20.3285	0.00120892	0.011311	0.00594156	0.918117	4.79851	941.907	0.610366	0.0567574
7	5	0.317999	0.0943545	0.0944547	4.94314	0.112413	2.55603	1.06297	1.0085	1.48834	3.5748	0.406635	0.389215	0.9	0	1	3.59337	1.83081	3.47833	0.00104032	0	0.0158071	0.000507972	0.0733771	8.33433	0.01	0.113018	0.150477	0.34617	0.150173	5	0.521668	0.01	1.37572	0	3.94432	9.82032	0.116396	0	0.367989	0	0.0568578	20.0484	0.00132491	0.0120114	0.00594513	0.938619	4.82462	989.892	0.580843	0.0556793
8	5	0.325284	0.096618	0.096717	4.94403	0.108455	2.57312	1.04632	1.02985	1.47498	3.71705	0.393602	0.397747	0.9	0	1	3.6064	1.86504	3.478	0.00102866	0	0.0163581	0.000528431	0.0722478	8.99427	0.01	0.116251	0.157696	0.339949	0.157392	5	0.521996	0.01	1.42736	0	3.9451	9.91051	0.117194	0	0.367702	0	0.0559688	19.849	0.00137239	0.012298	0.00594782	0.953752	4.84523	1027.22	0.559972	0.0548964
9	5	0.330846	0.0985741	0.0986719	4.94467	0.105323	2.58586	1.03286	1.04715	1.46469	3.82862	0.389118	0.404657	0.9	0	1	3.61088	1.8906	3.47775	0.0010193	0	0.0165613	0.000536068	0.0713444	9.5775	0.01	0.118726	0.163967	0.334973	0.163663	5	0.522252	0.01	1.46771	0	3.94568	9.97492	0.117788	0	0.367599	0	0.0553279	19.7057	0.00138977	0.0124012	0.0059499	0.965155	4.86182	1056.45	0.544711	0.0543173
