Time	[Fru_e]	[_2PGA_c]	[Fru_g]	[Fru_c]	[DHAP_c]	[ATP_g]	[DHAP_g]	[ADP_g]	[Glc6P_g]	[ADP_c]	[_3PGA_c]	[Fru6P_g]	[Fru6P_c]	[Pi_g]	[O2_c]	[NADP_c]	[ATP_c]	[NADP_g]	[_6PG_g]	[CO2_c]	[Rul5P_c]	[_6PG_c]	[Rul5P_g]	[Glc6P_c]	[Rib5P_c]	[_13BPGA_g]	[Glc_c]	[Rib5P_g]	[Glc_g]	[Glc_e]	[NADPH_g]	[NADPH_c]	[Pyr_c]	[Pyr_e]	[NAD_g]	[Fru16BP_g]	[GA3P_g]	[Gly_e]	[TSH2_c]	[CO2_g]	[Gly3P_c]	[Gly3P_g]	[_6PGL_c]	[TS2_c]	[_6PGL_g]	[PEP_c]	[AMP_g]	[_3PGA_g]	[AMP_c]	[NADH_g]
0	5	0.1	0.1	0.1	2.23133	0.2405	8.48313	1.519	0.5	1.3165	0.1	0.5	0.9	0	1	0.1	0.3417	0.1	0.0841958	0	0.41282	0.0841958	0.41282	0.5	0.01	0.5	0.1	0.01	0.1	5	3.9	3.9	10	0	2	10	2.5	0	0.01	0	2.76867	10.5169	0.0795278	0.37	0.0795278	1	4.2405	0.1	2.2418	2
1	5	0.133196	0.0908123	0.0909387	4.91032	0.14749	2.05915	1.19611	0.728684	1.45421	1.09971	0.278056	0.9	0	1	1.52265	0.534654	3.48412	0.000356019	0	0.00581276	0.000294568	0.0119263	1.79482	0.01	0.0423757	0.102855	0.01	0.102548	5	0.515881	2.47735	0.516752	0	3.91576	6.65105	0.0931644	0	0.375144	0	0.0896825	26.294	9.40766e-05	0.00485596	0.0057917	0.452185	4.6564	331.633	1.91114	0.0842353
2	5	0.205843	0.080799	0.0809157	4.92606	0.154	2.23832	1.21848	0.770572	1.63386	1.86773	0.294773	0.9	0	1	2.37019	1.12092	3.48311	0.000357354	0	0.0040469	0.000163649	0.011951	3.23781	0.01	0.0673079	0.0998066	0.01	0.0995003	5	0.516892	1.62981	0.764807	0	3.9301	7.78769	0.101585	0	0.374411	0	0.0739362	23.2595	0.000224523	0.00558934	0.00580755	0.667996	4.62752	537.309	1.14522	0.0699048
3	5	0.248079	0.083383	0.0834935	4.93353	0.139878	2.34024	1.1692	0.832725	1.60555	2.41907	0.319513	0.9	0	1	2.92919	1.42621	3.48161	0.000358995	0	0.00608513	0.000203426	0.01198	4.58875	0.01	0.0829851	0.111929	0.01	0.111623	5	0.51839	1.07081	0.958424	0	3.93643	8.39873	0.106365	0	0.373296	0	0.0664654	21.7175	0.000421473	0.00670399	0.00582608	0.778564	4.69092	684.405	0.86824	0.0635731
4	5	0.274871	0.0873461	0.0874525	4.93773	0.127577	2.40405	1.12349	0.884859	1.56731	2.82429	0.340302	0.9	0	1	3.27603	1.5915	3.4805	0.000360199	0	0.00890082	0.000277993	0.0120011	5.77217	0.01	0.09356	0.124972	0.01	0.124668	5	0.519504	0.723971	1.10594	0	3.93995	8.76319	0.109353	0	0.371744	0	0.0622739	20.8217	0.000691768	0.00825621	0.0058396	0.842737	4.74894	792.031	0.741189	0.0600527
5	5	0.29312	0.0910175	0.0911209	4.94034	0.118633	2.44693	1.0884	0.925549	1.53712	3.12836	0.356558	0.9	0	1	3.46765	1.6927	3.47971	0.000361051	0	0.0120365	0.000375642	0.0120161	6.79319	0.01	0.101075	0.136637	0.01	0.136334	5	0.52029	0.532349	1.21733	0	3.94216	8.99866	0.11136	0	0.370018	0	0.059663	20.2538	0.000986471	0.00998215	0.00584915	0.88407	4.79297	872.445	0.670178	0.057838
6	5	0.306129	0.0941711	0.0942723	4.94207	0.112147	2.47719	1.06187	0.957254	1.51441	3.36009	0.369239	0.9	0	1	3.5574	1.75998	3.47914	0.000361669	0	0.0144876	0.000460087	0.0120269	7.67361	0.01	0.106591	0.146671	0.01	0.146368	5	0.520857	0.442603	1.30209	0	3.94366	9.15949	0.112775	0	0.368689	0	0.057927	19.8735	0.00120897	0.0113106	0.00585608	0.912471	4.82599	933.528	0.625603	0.0563435
7	5	0.31569	0.0968573	0.0969568	4.94327	0.107306	2.4992	1.04141	0.982319	1.49729	3.53875	0.379269	0.9	0	1	3.59334	1.80718	3.47872	0.000362131	0	0.0158076	0.000508002	0.012035	8.43956	0.01	0.110721	0.155277	0.01	0.154974	5	0.521281	0.406657	1.3672	0	3.94471	9.27313	0.113803	0	0.367989	0	0.0567274	19.6108	0.00132496	0.012011	0.00586126	0.932821	4.85128	980.506	0.595535	0.0552917
8	5	0.32287	0.0991593	0.0992576	4.94412	0.103582	2.51555	1.02527	1.00245	1.48423	3.67769	0.387325	0.9	0	1	3.60638	1.84152	3.47839	0.000362487	0	0.0163585	0.00052846	0.0120413	9.11242	0.01	0.113853	0.162701	0.01	0.162399	5	0.521605	0.393624	1.41763	0	3.94547	9.35501	0.114566	0	0.367703	0	0.0558794	19.4266	0.00137243	0.0122975	0.00586526	0.947831	4.87114	1016.97	0.574256	0.0545312
9	5	0.328345	0.101144	0.101241	4.94473	0.100651	2.52785	1.01231	1.01883	1.47414	3.78645	0.393873	0.9	0	1	3.61086	1.86718	3.47814	0.000362768	0	0.0165617	0.000536096	0.0120462	9.70698	0.01	0.11625	0.169136	0.01	0.168834	5	0.52186	0.38914	1.45696	0	3.94603	9.41472	0.11514	0	0.367599	0	0.0552718	19.2966	0.00138981	0.0124007	0.0058684	0.959132	4.88704	1045.48	0.558681	0.0539713
