Time	[Glu]	[Fru]	[Formic_acid]	[Triose]	[Acetic_acid]	[Cn]	[Amadori]	[AMP]	[C5]	[lys_R]	[Melanoidin]
0	160	0	0	0	0	0	0	0	0	15	0
1	157.916	1.57725	0.0755802	0.0112672	0.0218397	1.65331e-05	0.373322	0.0286579	0.0755802	14.5968	0.00123677
2	155.879	3.10987	0.151902	0.044577	0.0796255	0.000131181	0.648405	0.100379	0.151902	14.2423	0.00896001
3	153.884	4.59916	0.228939	0.0992081	0.163882	0.000439118	0.848754	0.198301	0.228939	13.9255	0.0274461
4	151.931	6.04631	0.306663	0.17446	0.267424	0.0010324	0.9923	0.310344	0.306663	13.6382	0.059175
5	150.018	7.45246	0.385047	0.269651	0.384812	0.00200005	1.09272	0.427986	0.385047	13.3739	0.105349
6	148.143	8.81874	0.464066	0.384121	0.511938	0.00342815	1.16047	0.545337	0.464066	13.1279	0.166277
7	146.305	10.1462	0.543694	0.517225	0.645709	0.0053999	1.20349	0.658441	0.543694	12.8964	0.241657
8	144.503	11.4358	0.623906	0.668337	0.783808	0.00799574	1.22787	0.76476	0.623906	12.6766	0.330787
9	142.736	12.6887	0.704678	0.836849	0.924506	0.0112934	1.23824	0.862779	0.704678	12.4663	0.432714
10	141.002	13.9056	0.785985	1.02217	1.06652	0.0153679	1.23814	0.951712	0.785985	12.2638	0.546343
11	139.302	15.0877	0.867804	1.22372	1.20892	0.0202917	1.23026	1.03129	0.867804	12.0679	0.670518
12	137.633	16.2357	0.950114	1.44094	1.35103	0.026135	1.21666	1.10161	0.950114	11.8777	0.804068
13	135.996	17.3506	1.03289	1.67328	1.49237	0.0329653	1.1989	1.16297	1.03289	11.6923	0.945854
14	134.39	18.4332	1.11611	1.92021	1.63261	0.0408478	1.17817	1.21587	1.11611	11.5112	1.09478
15	132.813	19.4843	1.19976	2.18123	1.77153	0.0498454	1.15537	1.26087	1.19976	11.3339	1.24983
16	131.265	20.5048	1.28382	2.45581	1.90901	0.0600188	1.13119	1.29856	1.28382	11.1602	1.41005
17	129.745	21.4954	1.36826	2.74348	2.04497	0.0714265	1.10615	1.32958	1.36826	10.9897	1.57456
18	128.253	22.4568	1.45306	3.04375	2.17941	0.084125	1.08063	1.35453	1.45306	10.8223	1.74256
19	126.788	23.39	1.53821	3.35617	2.31234	0.0981685	1.05494	1.374	1.53821	10.6577	1.91334
20	125.35	24.2954	1.62369	3.68029	2.44381	0.113609	1.02928	1.38857	1.62369	10.4959	2.08624
21	123.937	25.1739	1.70949	4.01565	2.57388	0.130498	1.00383	1.39873	1.70949	10.3367	2.26069
22	122.549	26.0262	1.79557	4.36184	2.70263	0.148883	0.978702	1.40499	1.79557	10.1802	2.43616
23	121.186	26.8528	1.88193	4.71844	2.83015	0.16881	0.95398	1.40778	1.88193	10.0261	2.61218
24	119.847	27.6545	1.96856	5.08505	2.95652	0.190325	0.929729	1.40751	1.96856	9.87439	2.78837
25	118.532	28.4319	2.05543	5.46127	3.08186	0.213471	0.905991	1.40455	2.05543	9.72512	2.96434
26	117.24	29.1856	2.14252	5.84671	3.20625	0.238289	0.882794	1.39922	2.14252	9.57819	3.1398
27	115.97	29.9161	2.22983	6.24102	3.32981	0.264818	0.860154	1.39183	2.22983	9.43356	3.31445
28	114.722	30.6241	2.31734	6.64381	3.45262	0.293097	0.83808	1.38264	2.31734	9.29121	3.48807
29	113.495	31.3102	2.40504	7.05474	3.5748	0.323162	0.816576	1.3719	2.40504	9.15109	3.66044
30	112.29	31.9748	2.49291	7.47347	3.69643	0.355049	0.795638	1.35981	2.49291	9.01318	3.83137
31	111.105	32.6185	2.58093	7.89966	3.81762	0.38879	0.775261	1.34657	2.58093	8.87744	4.00072
32	109.94	33.2419	2.6691	8.33298	3.93845	0.424419	0.755438	1.33235	2.6691	8.74386	4.16835
33	108.795	33.8454	2.75741	8.77312	4.05903	0.461964	0.736158	1.3173	2.75741	8.61239	4.33415
34	107.669	34.4295	2.84583	9.21976	4.17944	0.501456	0.717411	1.30156	2.84583	8.48301	4.49802
35	106.562	34.9948	2.93435	9.67262	4.29976	0.542923	0.699184	1.28523	2.93435	8.3557	4.65988
36	105.473	35.5416	3.02298	10.1314	4.42009	0.58639	0.681465	1.26844	3.02298	8.23043	4.81967
37	104.403	36.0705	3.11169	10.5958	4.54049	0.631884	0.664241	1.25126	3.11169	8.10717	4.97733
38	103.349	36.5819	3.20047	11.0656	4.66106	0.679429	0.647498	1.23378	3.20047	7.9859	5.13282
39	102.314	37.0762	3.28931	11.5404	4.78186	0.729048	0.631224	1.21608	3.28931	7.86659	5.28611
40	101.295	37.5538	3.37821	12.0201	4.90297	0.780761	0.615407	1.19822	3.37821	7.7492	5.43717
41	100.292	38.0152	3.46714	12.5043	5.02446	0.834591	0.600032	1.18024	3.46714	7.63373	5.58599
42	99.3057	38.4608	3.55611	12.9929	5.14639	0.890555	0.585087	1.16222	3.55611	7.52013	5.73256
43	98.3351	38.8909	3.6451	13.4855	5.26884	0.948674	0.57056	1.14417	3.6451	7.40839	5.87687
44	97.3801	39.3059	3.7341	13.982	5.39187	1.00896	0.556439	1.12615	3.7341	7.29848	6.01893
