Time	[w]	[IFNb_mRNA]	[IFNb_env]	[STATP2n]	[SOCS1m]	[IRF7m]	[IRF7Pn]	[IFNa_mRNA]	[IFNa_env]	[TNFam]	[TNFenv]	[STATm]	[STAT]
0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
1	0	0.00262002	1.1377e-12	2.74542e-17	5.1657e-08	2.3385e-21	1.82846e-18	1.1063e-15	4.98238e-18	0.000213106	3.47848e-06	7.21347e-07	0.0956266
2	0	0.00460563	4.17493e-12	1.55083e-16	6.31047e-08	2.43442e-20	4.05829e-17	4.87811e-14	4.57399e-16	0.000372783	1.23287e-05	1.08202e-06	0.0916332
3	0	0.00610894	8.65164e-12	3.92047e-16	6.55959e-08	8.45629e-20	2.23329e-16	3.97196e-13	5.79804e-15	0.00050035	2.50202e-05	1.26187e-06	0.0879114
4	0	0.00582282	1.38403e-11	7.40431e-16	3.23684e-08	1.8751e-19	4.19659e-16	1.34808e-12	3.12105e-14	0.000491425	3.97628e-05	9.31087e-07	0.0843537
5	0	0.00451474	1.8122e-11	1.16112e-15	8.81444e-09	1.78359e-19	4.91415e-16	1.66421e-12	7.84837e-14	0.000377824	5.24048e-05	4.91741e-07	0.0807874
6	0	0.00345429	2.14101e-11	1.52323e-15	2.58373e-09	1.33044e-19	5.46511e-16	1.6834e-12	1.28481e-13	0.000279026	6.20765e-05	2.54811e-07	0.0772655
7	0	0.00264719	2.39273e-11	1.79816e-15	1.14897e-09	1.15383e-19	5.90608e-16	1.72695e-12	1.79372e-13	0.00020905	6.9404e-05	1.35471e-07	0.0738424
8	0	0.002035	2.58591e-11	2.0015e-15	8.22098e-10	1.12402e-19	6.31331e-16	1.79431e-12	2.3194e-13	0.000160157	7.50286e-05	7.5664e-08	0.0705437
9	0	0.00157091	2.73469e-11	2.1519e-15	7.47341e-10	1.15565e-19	6.72265e-16	1.8792e-12	2.86793e-13	0.00012613	7.94369e-05	4.57243e-08	0.0673787
10	0	0.00121915	2.84983e-11	2.26341e-15	7.29935e-10	1.20683e-19	7.14772e-16	1.97794e-12	3.44398e-13	0.00010252	8.29855e-05	3.07426e-08	0.0643492
11	0	0.000952551	2.93946e-11	2.346e-15	7.25809e-10	1.25892e-19	7.59172e-16	2.08831e-12	4.05133e-13	8.61994e-05	8.59315e-05	2.32472e-08	0.0614526
12	0	0.000750498	3.00976e-11	2.4069e-15	7.24727e-10	1.30467e-19	8.05344e-16	2.20869e-12	4.69318e-13	7.49744e-05	8.84584e-05	1.94977e-08	0.0586849
13	0	0.000597367	3.06542e-11	2.45139e-15	7.24411e-10	1.34203e-19	8.53015e-16	2.33769e-12	5.37234e-13	6.73117e-05	9.06964e-05	1.7622e-08	0.0560413
14	0	0.000481315	3.10997e-11	2.48342e-15	7.24293e-10	1.37126e-19	9.01881e-16	2.47405e-12	6.09118e-13	6.21393e-05	9.27373e-05	1.66838e-08	0.0535166
15	0	0.000393362	3.1461e-11	2.50595e-15	7.24353e-10	1.39338e-19	9.51669e-16	2.6166e-12	6.85172e-13	5.87082e-05	9.46459e-05	1.62144e-08	0.0511056
16	0	0.000326707	3.17586e-11	2.5212e-15	7.24237e-10	1.40963e-19	1.00214e-15	2.76426e-12	7.65565e-13	5.64951e-05	9.64676e-05	1.59796e-08	0.0488034
17	0	0.000276191	3.20079e-11	2.53083e-15	7.24264e-10	1.42116e-19	1.05311e-15	2.9161e-12	8.50436e-13	5.51342e-05	9.82342e-05	1.58621e-08	0.0466052
18	0	0.000237907	3.22206e-11	2.53611e-15	7.24227e-10	1.42896e-19	1.10443e-15	3.07126e-12	9.39896e-13	5.43702e-05	9.99682e-05	1.58033e-08	0.0445061
19	0	0.000208893	3.24055e-11	2.53797e-15	7.2445e-10	1.4338e-19	1.15597e-15	3.22904e-12	1.03403e-12	5.40246e-05	0.000101685	1.5774e-08	0.0425018
20	0	0.000186904	3.25693e-11	2.53709e-15	7.23946e-10	1.43632e-19	1.20765e-15	3.38884e-12	1.13292e-12	5.39727e-05	0.000103396	1.57592e-08	0.0405881
21	0	0.00017024	3.27173e-11	2.53407e-15	7.25101e-10	1.43697e-19	1.25938e-15	3.55014e-12	1.2366e-12	5.41274e-05	0.000105109	1.57519e-08	0.0387607
