Time	[Glucose]	[Lysine]	[Schiff]	[Amadori]	[Glyoxal]	[CML]
0	0.25	0.0034	0	0	0	0
1	0.249992	0.00339253	6.56971e-06	8.79515e-08	7.9536e-07	3.66212e-08
2	0.249985	0.00338699	1.07205e-05	3.05481e-07	1.59115e-06	8.99046e-08
3	0.24998	0.00338268	1.34091e-05	6.06018e-07	2.38627e-06	1.49942e-07
4	0.249976	0.00337916	1.51609e-05	9.60341e-07	3.1804e-06	2.13751e-07
5	0.249972	0.00337618	1.63045e-05	1.34959e-06	3.97337e-06	2.79854e-07
6	0.249968	0.00337353	1.70509e-05	1.76149e-06	4.76509e-06	3.47417e-07
7	0.249965	0.00337112	1.75372e-05	2.188e-06	5.5555e-06	4.15936e-07
8	0.249962	0.00336885	1.78529e-05	2.62386e-06	6.34459e-06	4.85097e-07
9	0.249959	0.00336668	1.80565e-05	3.06562e-06	7.13231e-06	5.54702e-07
10	0.249956	0.00336457	1.81865e-05	3.51101e-06	7.91867e-06	6.24621e-07
11	0.249953	0.00336251	1.8268e-05	3.95853e-06	8.70366e-06	6.94771e-07
12	0.24995	0.00336048	1.83177e-05	4.40721e-06	9.48727e-06	7.65097e-07
13	0.249947	0.00335846	1.83464e-05	4.8564e-06	1.02695e-05	8.35564e-07
14	0.249944	0.00335646	1.83613e-05	5.30567e-06	1.10504e-05	9.06148e-07
15	0.249942	0.00335447	1.83672e-05	5.75474e-06	1.18298e-05	9.76834e-07
16	0.249939	0.00335248	1.83671e-05	6.20344e-06	1.26079e-05	1.04761e-06
17	0.249936	0.0033505	1.83631e-05	6.65165e-06	1.33847e-05	1.11847e-06
18	0.249933	0.00334852	1.83565e-05	7.09928e-06	1.416e-05	1.18942e-06
19	0.24993	0.00334655	1.83482e-05	7.54628e-06	1.4934e-05	1.26043e-06
20	0.249927	0.00334457	1.83389e-05	7.99263e-06	1.57066e-05	1.33153e-06
21	0.249924	0.0033426	1.83287e-05	8.43829e-06	1.64779e-05	1.4027e-06
22	0.249922	0.00334063	1.83181e-05	8.88326e-06	1.72478e-05	1.47394e-06
23	0.249919	0.00333866	1.83072e-05	9.32752e-06	1.80163e-05	1.54525e-06
24	0.249916	0.00333669	1.82961e-05	9.77107e-06	1.87835e-05	1.61663e-06
25	0.249913	0.00333472	1.82849e-05	1.02139e-05	1.95493e-05	1.68809e-06
26	0.24991	0.00333275	1.82735e-05	1.0656e-05	2.03137e-05	1.75961e-06
27	0.249907	0.00333079	1.82622e-05	1.10974e-05	2.10768e-05	1.8312e-06
28	0.249905	0.00332882	1.82507e-05	1.15381e-05	2.18386e-05	1.90287e-06
29	0.249902	0.00332686	1.82393e-05	1.19781e-05	2.2599e-05	1.9746e-06
30	0.249899	0.0033249	1.82279e-05	1.24173e-05	2.33581e-05	2.0464e-06
31	0.249896	0.00332294	1.82164e-05	1.28559e-05	2.41158e-05	2.11828e-06
32	0.249893	0.00332097	1.82049e-05	1.32937e-05	2.48722e-05	2.19022e-06
33	0.24989	0.00331902	1.81935e-05	1.37308e-05	2.56273e-05	2.26223e-06
34	0.249888	0.00331706	1.8182e-05	1.41672e-05	2.6381e-05	2.3343e-06
35	0.249885	0.0033151	1.81706e-05	1.46029e-05	2.71334e-05	2.40645e-06
36	0.249882	0.00331314	1.81591e-05	1.50379e-05	2.78844e-05	2.47866e-06
37	0.249879	0.00331119	1.81477e-05	1.54721e-05	2.86342e-05	2.55095e-06
38	0.249876	0.00330923	1.81362e-05	1.59057e-05	2.93826e-05	2.6233e-06
39	0.249874	0.00330728	1.81248e-05	1.63385e-05	3.01297e-05	2.69571e-06
40	0.249871	0.00330532	1.81134e-05	1.67706e-05	3.08754e-05	2.7682e-06
41	0.249868	0.00330337	1.81019e-05	1.7202e-05	3.16199e-05	2.84075e-06
42	0.249865	0.00330142	1.80905e-05	1.76327e-05	3.2363e-05	2.91337e-06
43	0.249862	0.00329947	1.80791e-05	1.80627e-05	3.31048e-05	2.98605e-06
44	0.249859	0.00329752	1.80677e-05	1.8492e-05	3.38454e-05	3.0588e-06
45	0.249857	0.00329557	1.80563e-05	1.89206e-05	3.45846e-05	3.13162e-06
46	0.249854	0.00329363	1.80449e-05	1.93485e-05	3.53225e-05	3.20451e-06
47	0.249851	0.00329168	1.80335e-05	1.97757e-05	3.60591e-05	3.27746e-06
48	0.249848	0.00328974	1.80221e-05	2.02022e-05	3.67944e-05	3.35047e-06
49	0.249845	0.00328779	1.80107e-05	2.06279e-05	3.75283e-05	3.42355e-06
50	0.249843	0.00328585	1.79993e-05	2.1053e-05	3.8261e-05	3.4967e-06
51	0.24984	0.00328391	1.79879e-05	2.14774e-05	3.89925e-05	3.56991e-06
52	0.249837	0.00328196	1.79766e-05	2.19011e-05	3.97226e-05	3.64319e-06
53	0.249834	0.00328002	1.79652e-05	2.23241e-05	4.04514e-05	3.71653e-06
54	0.249831	0.00327809	1.79538e-05	2.27463e-05	4.1179e-05	3.78993e-06
55	0.249829	0.00327615	1.79425e-05	2.31679e-05	4.19052e-05	3.8634e-06
56	0.249826	0.00327421	1.79311e-05	2.35888e-05	4.26302e-05	3.93694e-06
57	0.249823	0.00327227	1.79198e-05	2.4009e-05	4.33539e-05	4.01054e-06
58	0.24982	0.00327034	1.79084e-05	2.44285e-05	4.40763e-05	4.0842e-06
59	0.249817	0.0032684	1.78971e-05	2.48473e-05	4.47974e-05	4.15793e-06
60	0.249815	0.00326647	1.78858e-05	2.52654e-05	4.55173e-05	4.23171e-06
61	0.249812	0.00326454	1.78745e-05	2.56828e-05	4.62359e-05	4.30557e-06
62	0.249809	0.0032626	1.78631e-05	2.60995e-05	4.69532e-05	4.37948e-06
63	0.249806	0.00326067	1.78518e-05	2.65156e-05	4.76693e-05	4.45346e-06
64	0.249803	0.00325874	1.78405e-05	2.69309e-05	4.83841e-05	4.5275e-06
65	0.249801	0.00325681	1.78292e-05	2.73456e-05	4.90976e-05	4.6016e-06
66	0.249798	0.00325489	1.78179e-05	2.77595e-05	4.98099e-05	4.67577e-06
67	0.249795	0.00325296	1.78066e-05	2.81728e-05	5.05209e-05	4.75e-06
68	0.249792	0.00325103	1.77953e-05	2.85854e-05	5.12307e-05	4.82429e-06
69	0.249789	0.00324911	1.77841e-05	2.89973e-05	5.19392e-05	4.89864e-06
70	0.249787	0.00324718	1.77728e-05	2.94085e-05	5.26464e-05	4.97305e-06
71	0.249784	0.00324526	1.77615e-05	2.98191e-05	5.33525e-05	5.04752e-06
72	0.249781	0.00324334	1.77502e-05	3.02289e-05	5.40572e-05	5.12206e-06
73	0.249778	0.00324142	1.7739e-05	3.06381e-05	5.47608e-05	5.19666e-06
74	0.249775	0.0032395	1.77277e-05	3.10466e-05	5.5463e-05	5.27131e-06
75	0.249773	0.00323758	1.77165e-05	3.14544e-05	5.61641e-05	5.34603e-06
76	0.24977	0.00323566	1.77052e-05	3.18615e-05	5.68639e-05	5.42081e-06
77	0.249767	0.00323374	1.7694e-05	3.2268e-05	5.75625e-05	5.49565e-06
78	0.249764	0.00323183	1.76828e-05	3.26737e-05	5.82598e-05	5.57054e-06
79	0.249762	0.00322991	1.76715e-05	3.30788e-05	5.89559e-05	5.6455e-06
80	0.249759	0.003228	1.76603e-05	3.34832e-05	5.96508e-05	5.72052e-06
81	0.249756	0.00322608	1.76491e-05	3.3887e-05	6.03445e-05	5.7956e-06
82	0.249753	0.00322417	1.76379e-05	3.42901e-05	6.10369e-05	5.87073e-06
83	0.24975	0.00322226	1.76266e-05	3.46924e-05	6.17281e-05	5.94593e-06
84	0.249748	0.00322035	1.76154e-05	3.50942e-05	6.24181e-05	6.02118e-06
85	0.249745	0.00321844	1.76042e-05	3.54952e-05	6.31069e-05	6.0965e-06
86	0.249742	0.00321653	1.7593e-05	3.58956e-05	6.37944e-05	6.17187e-06
87	0.249739	0.00321462	1.75818e-05	3.62953e-05	6.44808e-05	6.2473e-06
88	0.249737	0.00321271	1.75707e-05	3.66943e-05	6.51659e-05	6.32279e-06
89	0.249734	0.00321081	1.75595e-05	3.70927e-05	6.58499e-05	6.39834e-06
90	0.249731	0.0032089	1.75483e-05	3.74903e-05	6.65326e-05	6.47394e-06
91	0.249728	0.003207	1.75371e-05	3.78874e-05	6.72141e-05	6.5496e-06
92	0.249725	0.00320509	1.7526e-05	3.82837e-05	6.78944e-05	6.62532e-06
93	0.249723	0.00320319	1.75148e-05	3.86794e-05	6.85736e-05	6.7011e-06
94	0.24972	0.00320129	1.75037e-05	3.90744e-05	6.92515e-05	6.77693e-06
95	0.249717	0.00319939	1.74925e-05	3.94688e-05	6.99282e-05	6.85282e-06
96	0.249714	0.00319749	1.74814e-05	3.98625e-05	7.06038e-05	6.92877e-06
97	0.249712	0.00319559	1.74702e-05	4.02555e-05	7.12781e-05	7.00478e-06
98	0.249709	0.00319369	1.74591e-05	4.06479e-05	7.19513e-05	7.08084e-06
99	0.249706	0.00319179	1.74479e-05	4.10396e-05	7.26232e-05	7.15696e-06
100	0.249703	0.0031899	1.74368e-05	4.14306e-05	7.3294e-05	7.23313e-06
