Time	[IL6{serum}]	[sgp130{serum}]	[sR_IL6_sgp130{serum}]	[CRP{serum}]	[sR{serum}]	[sR_IL6{serum}]	[sgpFc{serum}]	[sR_IL6_sgpFc{serum}]	[gp130{liver}]	[R_IL6_gp130{liver}]	[sR_IL6{liver}]	[R]	[IL6{liver}]	[R_IL6]	[Ractive{liver}]	[STAT3{liver}]	[pSTAT3{liver}]	[CRP{liver}]	[sR{liver}]	[CRPExtracellular]	[sgp130{liver}]	[sR_IL6_sgp130{liver}]	[sR_IL6_sgpFc{liver}]	[sgpFc{liver}]	[sR_IL6{gut}]	[gp130{gut}]	[R_IL6_gp130{gut}]	[Ractive{gut}]	[STAT3{gut}]	[pSTAT3{gut}]	[geneProduct]	[sR{gut}]	[IL6{gut}]	[sgp130{gut}]	[sR_IL6_sgp130{gut}]	[sgpFc{gut}]	[sR_IL6_sgpFc{gut}]	[sgpFc{peripheral}]	[CRP Suppression (%)]
0	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-1.22575e-26	-2.29474e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-1.68121e-27	-6.9792e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-5.46279e-28	5.32537e-28	-6.85083e-27	-0
1	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-1.32675e-26	-2.73436e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-1.4506e-27	-6.86913e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-3.26071e-28	1.78525e-28	-6.84338e-27	-1.15711e-13
2	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-1.42332e-26	-3.03084e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-1.35582e-27	-6.75057e-26	0.00130682	0.374963	8.44891e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-3.44168e-28	5.52622e-29	-6.83628e-27	-1.41425e-13
3	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-1.51498e-26	-3.26436e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-1.3082e-27	-6.63215e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-4.47724e-28	1.06599e-29	-6.82952e-27	-1.41425e-13
4	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-1.60169e-26	-3.46698e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-1.27729e-27	-6.5167e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-5.84128e-28	-7.18623e-30	-6.82308e-27	-1.41425e-13
5	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-1.6836e-26	-3.65149e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-1.25265e-27	-6.40505e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-7.35008e-28	-1.59838e-29	-6.81694e-27	-1.41425e-13
6	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-1.76093e-26	-3.8231e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-1.23068e-27	-6.29736e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-8.93709e-28	-2.17683e-29	-6.81109e-27	-1.41425e-13
7	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-1.83391e-26	-3.9841e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-1.21012e-27	-6.19357e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.0576e-27	-2.65909e-29	-6.80552e-27	-1.41425e-13
8	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-1.90275e-26	-4.13563e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-1.19051e-27	-6.09355e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.22545e-27	-3.11432e-29	-6.80019e-27	-1.41425e-13
9	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-1.96767e-26	-4.27843e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-1.17168e-27	-5.99714e-26	0.00130682	0.374963	8.44891e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.39651e-27	-3.56532e-29	-6.79511e-27	-1.41425e-13
10	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.02887e-26	-4.41304e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-1.15355e-27	-5.90419e-26	0.00130682	0.374963	8.44891e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.57026e-27	-4.0191e-29	-6.79026e-27	-1.41425e-13
11	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.08656e-26	-4.53992e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-1.13608e-27	-5.81454e-26	0.00130682	0.374963	8.44891e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.74623e-27	-4.47734e-29	-6.78562e-27	-1.28568e-13
12	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.14092e-26	-4.65948e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-1.11922e-27	-5.72806e-26	0.00130682	0.374963	8.44891e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-1.92401e-27	-4.93995e-29	-6.78118e-27	-1.28568e-13
13	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-2.19213e-26	-4.77212e-28	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-1.10295e-27	-5.6446e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-2.10322e-27	-5.40626e-29	-6.77694e-27	-1.28568e-13
