Time	[PFKL]	[FBPase]	[F6P]	[PEP]	[Isocitrate]	[2-oxoglutarate]	[Malate]	[Citrate]	[sa4_degraded]	[ALDO]	[pPFKL]	[sa8_degraded]	[sa7_degraded]	[sa5_degraded]	[sa6_degraded]	[sa9_degraded]	[sa13_degraded]	[sa3_degraded]	[sa10_degraded]	[F6P_proxy]
0	1	1	14.0774	108.095	1.79487	25.1885	68.8788	17.7476	0	1	0.768939	0	0	0	0	0	0	0	0	14.0774
1	1	1	13.1473	152.086	1.75666	21.644	69.8844	17.3957	0.86853	1	0.757555	-1.00553	3.54449	-43.992	0.0382102	0.0834303	0.0113843	0.930116	0.351936	13.1473
2	1	1	12.2172	196.078	1.71845	18.0995	70.8899	17.0437	1.74363	1	0.746171	-2.01106	7.08899	-87.9839	0.0764203	0.166861	0.0227686	1.86023	0.703871	12.2172
3	1	1	13.5747	203.62	1.68024	16.7421	69.3816	17.3957	2.60189	1	0.734786	-0.502761	8.44646	-95.5254	0.114631	0.137936	0.0341529	0.502761	0.351935	13.5747
4	1	1	14.9321	211.161	1.64203	15.3846	67.8733	17.7476	3.43892	1	0.723402	1.00554	9.80393	-103.067	0.152841	0.109012	0.0455372	-0.854709	-7.08e-07	14.9321
5	1	1	16.2896	218.703	1.60382	14.0271	66.365	18.0995	4.25394	1	0.712018	2.51384	11.1614	-110.608	0.191051	0.0800872	0.0569215	-2.21218	-0.351937	16.2896
6	1	1	16.5611	212.368	1.56561	14.0271	65.46	17.8884	5.04846	1	0.769614	3.41882	11.1614	-104.274	0.229261	-0.0389878	-0.000674884	-2.48367	-0.140776	16.5611
7	1	1	16.8326	206.033	1.5274	14.0271	64.555	17.6772	5.83325	1	0.827211	4.32379	11.1614	-97.9387	0.267471	-0.158063	-0.0582713	-2.75516	0.0703853	16.8326
8	1	1	17.1041	199.698	1.48919	14.0271	63.6501	17.4661	6.62227	1	0.884807	5.22877	11.1614	-91.6038	0.305682	-0.277138	-0.115868	-3.02666	0.281546	17.1041
9	1	1	17.3756	193.364	1.45098	14.0271	62.7451	17.2549	7.4306	1	0.942403	6.13375	11.1614	-85.269	0.343892	-0.396213	-0.173464	-3.29815	0.492707	17.3756
10	1	1	17.6471	187.029	1.41277	14.0271	61.8401	17.0437	8.27454	1	1	7.03872	11.1614	-78.9342	0.382102	-0.515288	-0.23106	-3.56964	0.703868	17.6471
