Time	[CS]	[CD]	[CDCS]	[UVR8M]	[UCS]	[UVR8D]	[RUP]	[UR]	[UVR8_M]	[COP1]	[HY5]	[FHY3]	[DWD]	[CDW]
0	0.2	10	2	0	0	20	0	0	0	4.2	0.25	5	20	0
1	3.29513	0.171376	0.00217914	23.8964	2.43629	0.383686	1.16503	10.4636	0	4.2	1.31926	5	8.17355	11.8264
2	6.44496	0.171094	0.00838	12.9466	2.74572	1.24048	6.66002	19.081	0	4.2	2.21271	5	8.17947	11.8205
3	9.83904	0.170675	0.0196699	8.18843	2.56149	1.81221	15.2254	23.0642	0	4.2	2.88576	5	8.19035	11.8097
4	12.4886	0.170271	0.031778	6.1957	2.36231	2.1069	23.3314	24.8659	0	4.2	3.31962	5	8.20205	11.798
5	14.4039	0.169937	0.0423061	5.19702	2.21072	2.27423	29.9952	25.8331	0	4.2	3.55533	5	8.21224	11.7878
6	15.7399	0.169686	0.0505262	4.62783	2.09305	2.37998	35.2352	26.4261	0	4.2	3.65	5	8.22021	11.7798
7	16.6325	0.169511	0.0564209	4.27801	1.99706	2.45217	39.2635	26.8235	0	4.2	3.6547	5	8.22593	11.7741
8	17.1929	0.169401	0.0602899	4.05392	1.9161	2.50408	42.3051	27.1057	0	4.2	3.60818	5	8.22969	11.7703
9	17.5113	0.16934	0.0625506	3.90768	1.84682	2.54264	44.5599	27.3134	0	4.2	3.53698	5	8.23189	11.7681
10	17.6596	0.169315	0.0636252	3.81217	1.78746	2.57178	46.1968	27.4693	0	4.2	3.45784	5	8.23294	11.7671
11	17.6935	0.169313	0.0638826	3.75078	1.73694	2.59396	47.3555	27.5874	0	4.2	3.38052	5	8.2332	11.7668
12	17.655	0.169327	0.0636175	3.71275	1.69442	2.61081	48.1496	27.6768	0	4.2	3.31008	5	8.23294	11.7671
13	17.5742	0.169348	0.0630492	3.69079	1.65908	2.62353	48.6705	27.744	0	4.2	3.24871	5	8.2324	11.7676
14	17.4725	0.169374	0.0623326	3.67981	1.63013	2.633	48.9908	27.7939	0	4.2	3.19687	5	8.23171	11.7683
15	17.3641	0.169399	0.0615713	3.6762	1.60676	2.63993	49.167	27.8304	0	4.2	3.15412	5	8.23097	11.769
16	17.2581	0.169424	0.0608302	3.67737	1.58818	2.64488	49.2429	27.8565	0	4.2	3.11954	5	8.23025	11.7697
17	17.16	0.169446	0.0601471	3.68148	1.57364	2.64833	49.2515	27.8746	0	4.2	3.09206	5	8.22959	11.7704
18	17.0725	0.169466	0.059541	3.6872	1.56246	2.65062	49.2172	27.8866	0	4.2	3.07057	5	8.22901	11.771
19	16.9968	0.169483	0.0590185	3.69363	1.55401	2.65207	49.1581	27.8942	0	4.2	3.05404	5	8.2285	11.7715
20	16.9329	0.169497	0.0585785	3.70014	1.54777	2.6529	49.0866	27.8985	0	4.2	3.04155	5	8.22808	11.7719
21	16.88	0.169508	0.0582154	3.70635	1.54325	2.65329	49.0114	27.9006	0	4.2	3.03229	5	8.22772	11.7723
22	16.8369	0.169517	0.057921	3.71202	1.54009	2.65338	48.9382	27.901	0	4.2	3.02558	5	8.22744	11.7726
