Time	[AsIIIex]	[Ycf1]	[Hog1PP]	[Hog1]	[Fps1P]	[Fps1]	[Acr3]	[vAsGS3]	[AsGS3]	[AsIIIin]	[AsIIIProt]	[GSH]
0	100	0.013151	0.00102484	0.165975	0.0283117	0.00168828	0.000316038	165.763	694.823	13.1549	176.369	1600
1	132.784	0.013151	0.00105643	0.165944	0.0283274	0.00167264	0.000316038	165.796	707.151	13.5675	176.37	1587.65
2	164.493	0.013151	0.00113528	0.165865	0.0283932	0.00160683	0.000316038	166.02	741.192	14.5901	176.378	1553.46
3	195.163	0.013151	0.00125242	0.165748	0.0285055	0.00149451	0.000316038	166.577	790.614	16.1088	176.397	1503.67
4	224.827	0.013151	0.00139831	0.165602	0.0286414	0.00135859	0.000316038	167.552	848.7	18.0018	176.431	1444.93
5	253.518	0.013151	0.00156486	0.165435	0.0287786	0.00122143	0.000316038	168.979	910.135	20.1661	176.483	1382.54
6	281.269	0.013151	0.00174637	0.165254	0.0289039	0.00109608	0.000316038	170.854	971.536	22.5293	176.555	1319.89
7	308.11	0.013151	0.00193925	0.165061	0.0290132	0.000986826	0.000316038	173.154	1031.06	25.046	176.648	1258.83
8	334.072	0.013151	0.00214124	0.164859	0.0291068	0.000893235	0.000316038	175.844	1087.8	27.6876	176.764	1200.3
9	359.182	0.013151	0.00235077	0.164649	0.0291867	0.000813271	0.000316038	178.888	1141.33	30.4345	176.904	1144.74
10	383.469	0.013151	0.00256657	0.164433	0.0292553	0.000744728	0.000316038	182.247	1191.49	33.2709	177.068	1092.35
11	406.959	0.013151	0.00278755	0.164212	0.0293143	0.000685667	0.000316038	185.882	1238.26	36.183	177.257	1043.15
12	429.68	0.013151	0.00301268	0.163987	0.0293655	0.000634494	0.000316038	189.758	1281.7	39.1577	177.473	997.124
13	451.656	0.013151	0.00324099	0.163759	0.0294101	0.000589914	0.000316038	193.84	1321.94	42.1829	177.714	954.161
14	472.911	0.013151	0.00347156	0.163528	0.0294491	0.00055088	0.000316038	198.096	1359.13	45.2464	177.982	914.14
15	493.469	0.013151	0.00370348	0.163297	0.0294835	0.000516541	0.000316038	202.495	1393.42	48.3364	178.277	876.915
16	513.354	0.013151	0.00393589	0.163064	0.0295138	0.0004862	0.000316038	207.011	1425	51.4418	178.6	842.328
17	532.586	0.013151	0.00416796	0.162832	0.0295407	0.000459285	0.000316038	211.619	1454.03	54.5515	178.949	810.219
18	551.188	0.013151	0.00439894	0.162601	0.0295647	0.000435319	0.000316038	216.295	1480.71	57.6551	179.325	780.426
19	569.181	0.013151	0.0046281	0.162372	0.0295861	0.000413905	0.000316038	221.02	1505.19	60.7431	179.729	752.793
20	586.583	0.013151	0.00485479	0.162145	0.0296053	0.000394709	0.000316038	225.773	1527.65	63.8063	180.159	727.166
21	603.415	0.013151	0.00507842	0.161922	0.0296226	0.00037745	0.000316038	230.54	1548.24	66.8367	180.616	703.397
22	619.695	0.013151	0.00529848	0.161702	0.0296381	0.000361886	0.000316038	235.304	1567.11	69.8266	181.099	681.348
23	635.441	0.013151	0.00551452	0.161485	0.0296522	0.000347813	0.000316038	240.053	1584.41	72.7698	181.608	660.888
24	650.671	0.013151	0.00572614	0.161274	0.0296649	0.000335055	0.000316038	244.775	1600.26	75.6604	182.142	641.892
25	665.402	0.013151	0.00593303	0.161067	0.0296765	0.000323459	0.000316038	249.46	1614.78	78.4938	182.701	624.245
26	679.65	0.013151	0.00613493	0.160865	0.0296871	0.000312895	0.000316038	254.098	1628.09	81.2659	183.284	607.841
27	693.43	0.013151	0.00633166	0.160668	0.0296968	0.000303249	0.000316038	258.683	1640.3	83.9735	183.892	592.58
28	706.759	0.013151	0.00652306	0.160477	0.0297056	0.00029442	0.000316038	263.207	1651.49	86.6142	184.522	578.371
29	719.651	0.013151	0.00670903	0.160291	0.0297137	0.000286323	0.000316038	267.665	1661.76	89.1861	185.175	565.129
30	732.121	0.013151	0.00688954	0.16011	0.0297211	0.00027888	0.000316038	272.051	1671.19	91.6881	185.849	552.777
31	744.181	0.013151	0.00706457	0.159935	0.029728	0.000272026	0.000316038	276.362	1679.85	94.1194	186.545	541.243
32	755.846	0.013151	0.00723413	0.159766	0.0297343	0.000265701	0.000316038	280.595	1687.81	96.4799	187.262	530.463
33	767.129	0.013151	0.00739827	0.159602	0.0297401	0.000259853	0.000316038	284.746	1695.12	98.7698	187.998	520.376
34	778.042	0.013151	0.00755707	0.159443	0.0297456	0.000254437	0.000316038	288.813	1701.86	100.99	188.754	510.929
35	788.597	0.013151	0.00771061	0.159289	0.0297506	0.000249412	0.000316038	292.795	1708.06	103.14	189.529	502.07
36	798.806	0.013151	0.00785901	0.159141	0.0297553	0.000244741	0.000316038	296.691	1713.78	105.223	190.322	493.756
37	808.68	0.013151	0.00800238	0.158998	0.0297596	0.000240392	0.000316038	300.499	1719.06	107.238	191.132	485.943
38	818.231	0.013151	0.00814085	0.158859	0.0297637	0.000236336	0.000316038	304.22	1723.92	109.188	191.96	478.595
