Time	[a]	[p]
0	0.00577668	0.0203298
1	0.00943365	0.020352
2	0.0108325	0.0204723
3	0.0114896	0.0207267
4	0.0119807	0.0211299
5	0.0125327	0.0216953
6	0.0132501	0.0224426
7	0.0142048	0.0234038
8	0.0154787	0.0246324
9	0.0171961	0.0262198
10	0.0195766	0.0283326
11	0.0230552	0.0313067
12	0.0286457	0.0359345
13	0.0394288	0.0446686
14	0.0718316	0.0710449
15	1.22061	1.32792
16	4.52948	1.45411
17	5.11178	0.704406
18	3.89791	0.337439
19	2.28419	0.20031
20	1.55212	0.285769
21	3.29351	0.908585
22	4.42822	0.702548
23	3.95622	0.428578
24	2.86272	0.302062
25	2.35136	0.377213
26	3.28814	0.67423
27	4.06279	0.630237
28	3.83645	0.466663
29	3.18177	0.383791
30	2.92428	0.444276
31	3.42783	0.590762
32	3.87803	0.586101
33	3.78491	0.497566
34	3.43475	0.44885
35	3.30404	0.484257
36	3.5495	0.557013
37	3.79899	0.564567
38	3.78254	0.521936
39	3.61547	0.494275
40	3.54291	0.510115
41	3.65022	0.545784
42	3.78331	0.555527
43	3.79966	0.537976
44	3.73042	0.52307
45	3.69057	0.528417
46	3.73267	0.545286
47	3.80062	0.553252
48	3.82364	0.547662
49	3.80126	0.540457
50	3.78213	0.5416
51	3.79741	0.549205
52	3.83081	0.554567
53	3.84995	0.553819
54	3.84715	0.55094
55	3.8404	0.550966
56	3.84638	0.554285
57	3.8627	0.557525
58	3.87599	0.558303
59	3.87977	0.557574
60	3.87942	0.557589
61	3.88287	0.559088
62	3.89134	0.560956
63	3.9	0.561967
64	3.905	0.562141
65	3.90732	0.562358
66	3.9103	0.563155
67	3.91535	0.564255
68	3.92104	0.565112
69	3.92551	0.565573
70	3.92858	0.565926
71	3.93142	0.566461
72	3.93495	0.567166
73	3.93893	0.567827
74	3.94256	0.568321
75	3.94552	0.568717
76	3.94816	0.569144
77	3.95094	0.569646
78	3.95392	0.570154
79	3.95683	0.570598
80	3.95944	0.570978
81	3.9618	0.571345
82	3.96411	0.571735
83	3.96647	0.572135
84	3.96882	0.572514
85	3.97104	0.572856
86	3.9731	0.573178
87	3.97508	0.5735
88	3.97703	0.573825
89	3.97897	0.574143
90	3.98084	0.574441
91	3.98262	0.574723
92	3.98432	0.574997
93	3.98597	0.57527
94	3.9876	0.575537
95	3.98918	0.575794
96	3.99071	0.576041
97	3.99219	0.576279
98	3.99361	0.576511
99	3.99499	0.576738
100	3.99635	0.57696
