Time	[NAg]	[GLCg]	[G6Pg]	[F6Pg]	[GAPg]	[PEPg]	[PYRg]	[LACg]	[NADHg]	[ATPg]	[PCrg]	[O2g]	[GLYg]	[GLUg]	[NADg]	[ADPg]	[CRg]	[NADH_g_tot]	[PCrg_tot]	[AMPg]	[O2c]	[GLCc]	[LACc]	[CO2c]	[GLCe]	[LACe]	[GLUe]	[NAe]	[O2a]	[CO2a]	[GLCa]	[LACa]	[NAn]	[GLCn]	[G6Pn]	[F6Pn]	[GAPn]	[PEPn]	[PYRn]	[LACn]	[NADHn]	[ATPn]	[PCrn]	[O2n]	[GLUn]	[ADPn]	[CRn]	[NADn]	[NADH_n_tot]	[PCrn_tot]	[AMPn]	Values[Vv]	Values[dHb]
0	13.36	0.1656	0.7326	0.1116	0.0698	0.0254	0.1711	0.4651	0.0445	2.24	4.6817	0.1589	2.5	0	0.1755	0.13071	0.3183	0.22	5	0.00829046	7.4201	4.6401	0.3251	2.12	0.3339	0.3986	0	150	8.34	1.2	4.8	0.313	15.533	0.2633	0.7275	0.1091	0.0418	0.0037	0.0388	0.3856	0.0319	2.2592	4.2529	0.0975	3	0.113592	0.7471	0.1881	0.22	5	0.00620802	0.0237	0.0218
1	13.36	0.165602	0.732587	0.111608	0.069773	0.025384	0.17111	0.465139	0.0444935	2.24017	4.68162	0.158924	2.50006	0	0.175506	0.130563	0.318379	0.22	5	0.00827123	7.4199	4.64012	0.325149	2.11974	0.33389	0.398597	0	150	8.34	1.2	4.8	0.313	15.533	0.263297	0.7275	0.109103	0.0417968	0.00369291	0.0388221	0.385595	0.031915	2.25918	4.25287	0.0975165	3	0.113612	0.747133	0.188085	0.22	5	0.00621027	0.0236947	0.021798
2	13.36	0.165603	0.732582	0.111611	0.0697546	0.0253718	0.171115	0.465166	0.0444871	2.24029	4.68156	0.158937	2.50011	0	0.175513	0.13045	0.318438	0.22	5	0.00825653	7.41998	4.64012	0.32515	2.11978	0.333882	0.398596	0	150	8.34	1.2	4.8	0.313	15.533	0.263294	0.727501	0.109104	0.0417975	0.00369182	0.0388278	0.385595	0.0319196	2.25918	4.25283	0.0975235	3	0.113612	0.747165	0.18808	0.22	5	0.00621025	0.0236897	0.0217944
3	13.36	0.165603	0.732579	0.111612	0.0697422	0.0253629	0.171119	0.465184	0.0444819	2.24039	4.68152	0.158944	2.50017	0	0.175518	0.130364	0.318483	0.22	5	0.00824524	7.42004	4.64012	0.32515	2.11979	0.333875	0.398596	0	150	8.34	1.2	4.8	0.313	15.533	0.263291	0.727503	0.109105	0.0417992	0.00369158	0.0388301	0.385596	0.0319217	2.25918	4.2528	0.097529	3	0.113612	0.747196	0.188078	0.22	5	0.00621024	0.023685	0.0217899
4	13.3601	0.165602	0.732577	0.111612	0.0697343	0.0253566	0.171121	0.465195	0.0444778	2.24047	4.68148	0.158949	2.50022	0	0.175522	0.130297	0.318517	0.22	5	0.00823652	7.42008	4.64012	0.32515	2.1198	0.333868	0.398597	0	150	8.34	1.2	4.8	0.313	15.533	0.263288	0.727504	0.109105	0.0418012	0.00369156	0.0388313	0.385597	0.0319228	2.25918	4.25277	0.0975333	3	0.113612	0.747226	0.188077	0.22	5	0.00621024	0.0236805	0.0217852
5	13.3601	0.165602	0.732576	0.111612	0.0697296	0.0253522	0.171123	0.4652	0.0444748	2.24052	4.68146	0.158952	2.50028	0	0.175525	0.130245	0.318542	0.22	5	0.00822975	7.42011	4.64012	0.32515	2.1198	0.333862	0.398599	0	150	8.34	1.2	4.8	0.313	15.533	0.263285	0.727506	0.109105	0.041803	0.0036916	0.0388321	0.385599	0.0319237	2.25918	4.25275	0.0975367	3	0.113612	0.747254	0.188076	0.22	5	0.00621024	0.0236762	0.0217807
6	13.3601	0.165601	0.732576	0.111613	0.0697273	0.0253494	0.171123	0.465202	0.0444724	2.24057	4.68144	0.158954	2.50033	0	0.175528	0.130205	0.318561	0.22	5	0.00822446	7.42013	4.64012	0.32515	2.1198	0.333857	0.3986	0	150	8.34	1.2	4.8	0.313	15.533	0.263281	0.727507	0.109106	0.0418047	0.00369165	0.0388327	0.3856	0.0319244	2.25918	4.25272	0.0975393	3	0.113612	0.747282	0.188076	0.22	5	0.00621023	0.0236722	0.0217764
7	13.3601	0.1656	0.732576	0.111613	0.0697266	0.0253477	0.171123	0.465201	0.0444706	2.24061	4.68143	0.158956	2.50039	0	0.175529	0.130173	0.318574	0.22	5	0.0082203	7.42015	4.64012	0.32515	2.1198	0.333852	0.398602	0	150	8.34	1.2	4.8	0.313	15.533	0.263278	0.727508	0.109106	0.0418062	0.0036917	0.0388333	0.385602	0.031925	2.25918	4.25269	0.0975412	3	0.113612	0.747308	0.188075	0.22	5	0.00621023	0.0236684	0.0217723
8	13.3601	0.165599	0.732576	0.111613	0.0697271	0.0253468	0.171122	0.465198	0.0444693	2.24064	4.68142	0.158957	2.50045	0	0.175531	0.130148	0.318583	0.22	5	0.00821699	7.42016	4.64012	0.32515	2.1198	0.333847	0.398603	0	150	8.34	1.2	4.8	0.313	15.533	0.263275	0.727509	0.109106	0.0418076	0.00369175	0.0388338	0.385605	0.0319255	2.25918	4.25267	0.0975426	3	0.113612	0.747333	0.188074	0.22	5	0.00621023	0.0236648	0.0217686
9	13.3601	0.165598	0.732577	0.111613	0.0697285	0.0253465	0.171122	0.465194	0.0444682	2.24066	4.68141	0.158957	2.5005	0	0.175532	0.130127	0.31859	0.22	5	0.00821434	7.42017	4.64012	0.325151	2.11981	0.333843	0.398605	0	150	8.34	1.2	4.8	0.313	15.533	0.263272	0.72751	0.109106	0.0418088	0.0036918	0.0388342	0.385607	0.031926	2.25918	4.25264	0.0975436	3	0.113612	0.747357	0.188074	0.22	5	0.00621023	0.0236614	0.0217651
