Time	[Amyloid]
0	0
1	7.17826e-12
2	1.05545e-09
3	1.95567e-08
4	1.55187e-07
5	7.73759e-07
6	2.87548e-06
7	8.72421e-06
8	2.28173e-05
9	5.32791e-05
10	0.000113762
11	0.000225944
12	0.000422703
13	0.000752057
14	0.00128193
15	0.00210582
16	0.00334933
17	0.00517759
18	0.0078034
19	0.0114958
20	0.0165886
21	0.0234882
22	0.0326791
23	0.0447264
24	0.0602718
25	0.0800212
26	0.10472
27	0.135114
28	0.171889
29	0.215589
30	0.266518
31	0.324626
32	0.389386
33	0.459702
34	0.533854
35	0.609528
36	0.683952
37	0.754155
38	0.817327
39	0.871225
40	0.914526
41	0.947033
42	0.969644
43	0.984076
44	0.992442
45	0.996795
46	0.998803
47	0.999612
48	0.999893
49	0.999975
50	0.999995
51	0.999999
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
