Time	[ERKc]	[pERKc]	[ppERKc]	[ERK_ppMEKc]	[pERK_ppMEKc]	[DUSPc]	[pERK_DUSPc]	[ppERK_DUSPc]	[ERKn]	[pERKn]	[ppERKn]	[pERK_DUSPn]	[ppERK_DUSPn]	[STYXn]	[ERK_STYXn]	[pERK_STYXn]	[ppERK_STYXn]	[duspn]	[DUSPn]	[u_ppMEKc_tot]	[ppMEKc_tot]	[ERKc_obs]	[pERKc_obs]	[ppERKc_obs]	[ERK_ppMEKc_obs]
0	572.5	0	0	0	0	100	0	0	1630.9	0	0	0	0	3000	0	0	0	1	10	1	100	572.5	0	0	0
1	110.983	155.017	123.631	16.775	23.5258	25.0438	24.3605	50.5957	83.4725	3.87748	6.20857	0.186407	0.601215	1174.56	1634.68	74.2399	116.52	1.23742	9.84128	1	100	110.983	155.017	123.631	16.775
2	22.4771	60.5376	211.996	4.75639	12.8882	20.4708	7.77557	71.7536	119.029	13.6299	40.0583	0.520535	3.12652	775.027	1539.8	174.284	510.885	1.46209	7.78973	1	100	22.4771	60.5376	211.996	4.75639
3	13.1825	27.2459	180.177	3.07544	6.37713	24.0605	4.09089	71.8486	159.405	33.8623	91.8435	0.988071	5.50409	522.009	1389.35	292.497	796.144	1.69683	5.94456	1	100	13.1825	27.2459	180.177	3.07544
4	13.8777	24.7517	147.923	3.2524	5.81143	27.7343	4.27512	67.9906	173.935	58.443	124.108	1.54017	6.72505	432.3	1255.13	419.031	893.539	1.96221	5.36488	1	100	13.8777	24.7517	147.923	3.2524
5	14.1304	26.2609	134.492	3.29774	6.13999	29.4853	4.82375	65.691	171.285	79.3618	133.404	2.13899	7.39392	405.39	1158.59	534.432	901.591	2.23797	5.48454	1	100	14.1304	26.2609	134.492	3.29774
6	13.8212	27.3747	130.16	3.21905	6.38905	30.0638	5.12852	64.8077	165.348	95.3317	131.63	2.77733	7.88522	397.965	1097.46	630.877	873.699	2.49982	5.9268	1	100	13.8212	27.3747	130.16	3.21905
7	13.4983	28.062	128.905	3.14072	6.54441	30.215	5.2843	64.5007	161.539	107.057	125.318	3.45375	8.31227	396.551	1067.89	706.474	829.084	2.73722	6.5619	1	100	13.4983	28.062	128.905	3.14072
8	13.3991	28.6066	128.467	3.11395	6.66469	30.2507	5.39336	64.3559	161.208	115.098	116.879	4.16342	8.69214	397.187	1066.95	761.182	774.679	2.94741	7.35662	1	100	13.3991	28.6066	128.467	3.11395
9	13.5815	29.1367	128.147	3.15069	6.7768	30.2689	5.4966	64.2345	164.429	119.735	107.269	4.89424	9.01431	398.726	1092.08	795.293	713.898	3.13071	8.31206	1	100	13.5815	29.1367	128.147	3.15069
10	14.0385	29.6819	127.767	3.24874	6.88712	30.2954	5.60434	64.1002	170.892	121.149	97.0534	5.62561	9.26511	400.802	1140.58	809.211	649.411	3.28883	9.44166	1	100	14.0385	29.6819	127.767	3.24874
11	14.7397	30.2352	127.296	3.40073	6.99448	30.3353	5.71633	63.9484	180.121	119.554	86.7005	6.32907	9.43589	403.243	1209.25	803.731	583.779	3.42423	10.7629	1	100	14.7397	30.2352	127.296	3.40073
