Time	[G6P]	[ATP]	[ADP]	[Pint]	[F6P]	[FBP]	[G3P]	[BPG]	[PEP]	[NAD]	[NADH]	[PYR]	[AcetCoA]	[Acetoin]	[Mannitol]	[Mannitol1Phosphate]	[CoA]	[Pext]	[Lactate]	[Ethanol]	[Acetate]	[Butanediol]	[Glucose]	[Acetoin_Ext]	[Mannitol_Ext]	[Formate]
0	0	4.88633	20.3857	38.26	0	15.3	0	1.26349	2.47902	4.67	2.03338e-06	0	0	0	0	0	1	50	0	0	0	0	80	0	0	0
1	1.17723	6.46617	18.8058	34.2568	0.364664	15.1551	0.895577	0.0858979	4.66695	3.96701	0.702994	0.00482112	1.46636e-07	6.53833e-06	0.000184606	0.311289	1	50	0.262513	3.16626e-10	9.12861e-07	2.41039e-07	79.7434	1.85533e-05	7.19105e-05	9.20069e-07
2	1.1597	5.23314	20.0389	30.7477	0.364167	16.9726	0.949289	0.0704738	5.07914	3.86165	0.808354	0.0036808	1.02993e-07	3.82482e-06	0.000333017	0.59996	1	49.9999	0.518082	6.70742e-10	1.45105e-06	3.43868e-07	79.5069	2.2848e-05	0.000148555	1.45656e-06
3	1.03092	4.36286	20.9092	27.133	0.331533	18.7068	0.998337	0.0593258	5.40603	3.78182	0.888183	0.00286261	7.51349e-08	2.30669e-06	0.000439891	0.833684	1	49.9999	0.761029	1.03727e-09	1.84944e-06	4.13262e-07	79.2919	2.53744e-05	0.000213346	1.85401e-06
4	0.925267	3.87454	21.3975	23.4736	0.303465	20.2655	1.04061	0.0529299	5.62142	3.76579	0.904212	0.00227837	5.7214e-08	1.46083e-06	0.000519777	1.02489	1	49.9998	0.993862	1.3684e-09	2.15352e-06	4.58994e-07	79.0935	2.69359e-05	0.000268209	2.15758e-06
5	0.846124	3.61705	21.655	19.8601	0.28182	21.6841	1.07769	0.0492891	5.74112	3.80593	0.864075	0.00183076	4.45273e-08	9.45702e-07	0.000580034	1.17964	1	49.9998	1.21857	1.62474e-09	2.39071e-06	4.87893e-07	78.9083	2.7937e-05	0.000314625	2.39443e-06
6	0.78452	3.48285	21.7892	16.3473	0.264586	22.9958	1.11088	0.0470178	5.7862	3.88675	0.783255	0.00147022	3.4884e-08	6.1274e-07	0.000625169	1.30207	1	49.9996	1.43648	1.79865e-09	2.57723e-06	5.0523e-07	78.7339	2.85863e-05	0.000353549	2.58067e-06
7	0.734581	3.41717	21.8548	12.9598	0.250357	24.2218	1.14103	0.0454175	5.77039	3.99844	0.671557	0.00117285	2.7272e-08	3.92242e-07	0.000658167	1.39536	1	49.9994	1.64866	1.90294e-09	2.72374e-06	5.14995e-07	78.5685	2.90049e-05	0.000385763	2.72692e-06
8	0.692788	3.40597	21.866	9.7073	0.238267	25.3728	1.16855	0.0443306	5.69796	4.13904	0.530962	0.000931182	2.12948e-08	2.48622e-07	0.000680917	1.46163	1	49.999	1.85651	1.95696e-09	2.83826e-06	5.2006e-07	78.4109	2.92713e-05	0.000411983	2.84122e-06
9	0.656616	3.50238	21.7696	6.59477	0.227645	26.4378	1.19294	0.0445952	5.56076	4.31635	0.353653	0.000767111	1.73306e-08	1.68117e-07	0.000694303	1.50139	1	49.9977	2.06345	1.97931e-09	2.92868e-06	5.22417e-07	78.2603	2.94429e-05	0.000432965	2.93147e-06
10	0.62334	3.99258	21.2794	3.65926	0.217611	27.309	1.2098	0.0511435	5.34284	4.53925	0.130748	0.000907683	2.04525e-08	2.17704e-07	0.000698096	1.51272	1	49.992	2.28215	1.98515e-09	3.01135e-06	5.2342e-07	78.1161	2.95866e-05	0.00044932	3.0143e-06
11	0.593267	4.85423	20.4178	2.0333	0.208172	27.7154	1.21474	0.0649584	5.19003	4.6594	0.0105999	0.00645385	1.47262e-07	9.39108e-06	0.000693644	1.49932	1	49.9488	2.53255	1.98564e-09	3.26815e-06	5.24433e-07	77.9773	3.12313e-05	0.000458335	3.27706e-06
12	0.581062	5.19183	20.0802	2.03895	0.204194	27.9121	1.21902	0.0698537	5.16511	4.65989	0.0101132	0.00684757	1.61829e-07	1.38227e-05	0.000687488	1.48097	1	49.8676	2.7909	1.9857e-09	4.11689e-06	5.28281e-07	77.8409	4.64078e-05	0.000453256	4.12648e-06
13	0.575002	5.41108	19.8609	2.12012	0.202215	28.1053	1.22356	0.0728155	5.15016	4.65566	0.0143437	0.00469608	1.11316e-07	6.36876e-06	0.000681453	1.4631	1	49.7885	3.04699	1.98579e-09	4.70482e-06	5.30999e-07	77.7052	5.42022e-05	0.000445327	4.71203e-06
14	0.56944	5.56671	19.7053	2.18311	0.200422	28.3075	1.22825	0.074821	5.13457	4.65235	0.0176493	0.00381798	9.06838e-08	4.1721e-06	0.000675529	1.44566	1	49.7129	3.30057	1.98589e-09	5.14573e-06	5.32982e-07	77.5703	5.85171e-05	0.000438773	5.15198e-06
15	0.563951	5.67806	19.594	2.23171	0.198667	28.5152	1.23302	0.0761541	5.11905	4.64968	0.0203177	0.00333365	7.9253e-08	3.16865e-06	0.000669691	1.4286	1	49.6399	3.55189	1.98601e-09	5.51728e-06	5.34648e-07	77.4362	6.15767e-05	0.000432713	5.52299e-06
16	0.558547	5.75806	19.514	2.2699	0.196946	28.7257	1.23782	0.0770078	5.10377	4.64743	0.0225683	0.00301712	7.17268e-08	2.59064e-06	0.000663922	1.41184	1	49.5691	3.80114	1.98615e-09	5.84703e-06	5.36131e-07	77.3031	6.39931e-05	0.000426908	5.85239e-06
17	0.553252	5.81567	19.4563	2.30051	0.195265	28.9371	1.2426	0.0775186	5.08874	4.64547	0.0245347	0.00278771	6.6225e-08	2.20944e-06	0.000658211	1.39535	1	49.4999	4.04847	1.9863e-09	6.14791e-06	5.37489e-07	77.1708	6.60132e-05	0.000421269	6.15301e-06
18	0.548086	5.85717	19.4148	2.32555	0.193627	29.1482	1.24734	0.0777838	5.07398	4.6437	0.0263025	0.00260959	6.19168e-08	1.93504e-06	0.000652549	1.3791	1	49.4322	4.29399	1.98647e-09	6.42706e-06	5.38754e-07	77.0395	6.77602e-05	0.000415753	6.43195e-06
19	0.543057	5.887	19.385	2.34646	0.192033	29.358	1.25204	0.077873	5.05945	4.64207	0.0279289	0.00246447	5.83798e-08	1.72526e-06	0.000646932	1.36308	1	49.3658	4.53781	1.98664e-09	6.68885e-06	5.39944e-07	76.909	6.93044e-05	0.000410338	6.69359e-06
20	0.538172	5.90834	19.3637	2.36432	0.190485	29.5659	1.25666	0.0778357	5.04514	4.64055	0.029453	0.00234207	5.53772e-08	1.55788e-06	0.000641356	1.34728	1	49.3004	4.78	1.98682e-09	6.93624e-06	5.41072e-07	76.7794	7.06903e-05	0.000405011	6.94083e-06
21	0.53343	5.92344	19.3486	2.37988	0.18898	29.7716	1.26122	0.0777077	5.03104	4.6391	0.0309022	0.00223618	5.27659e-08	1.42007e-06	0.000635819	1.33167	1	49.236	5.02063	1.98702e-09	7.17129e-06	5.42147e-07	76.6507	7.19479e-05	0.000399764	7.17576e-06
22	0.528829	5.93394	19.3381	2.3937	0.18752	29.9749	1.26571	0.0775145	5.01715	4.63771	0.0322958	0.00214282	5.04541e-08	1.30391e-06	0.000630319	1.31627	1	49.1725	5.25976	1.98722e-09	7.39555e-06	5.43175e-07	76.5228	7.30985e-05	0.000394592	7.39991e-06
23	0.524366	5.94099	19.331	2.4062	0.186102	30.1756	1.27013	0.0772744	5.00345	4.63635	0.0336479	0.0020593	4.83796e-08	1.20424e-06	0.000624857	1.30105	1	49.1098	5.49744	1.98743e-09	7.61023e-06	5.44161e-07	76.3957	7.41581e-05	0.000389491	7.61449e-06
24	0.520035	5.94544	19.3266	2.41767	0.184724	30.3737	1.27447	0.0770006	4.98994	4.63503	0.0349685	0.00198376	4.64989e-08	1.11753e-06	0.000619433	1.28603	1	49.0479	5.73371	1.98765e-09	7.81629e-06	5.45109e-07	76.2695	7.51392e-05	0.00038446	7.82046e-06
25	0.515832	5.94791	19.3241	2.42833	0.183386	30.5692	1.27874	0.0767027	4.97662	4.63374	0.036265	0.00191484	4.47801e-08	1.04125e-06	0.000614046	1.2712	1	48.9867	5.96861	1.98788e-09	8.01451e-06	5.46023e-07	76.144	7.60514e-05	0.000379497	8.0186e-06
26	0.511751	5.94883	19.3232	2.43836	0.182085	30.7621	1.28294	0.0763876	4.96348	4.63246	0.0375427	0.00185152	4.31991e-08	9.73548e-07	0.000608697	1.25656	1	48.9262	6.20218	1.98811e-09	8.20555e-06	5.46906e-07	76.0194	7.69029e-05	0.000374601	8.20957e-06
27	0.507787	5.94855	19.3235	2.44787	0.180819	30.9526	1.28707	0.0760603	4.95053	4.6312	0.0388058	0.001793	4.17371e-08	9.13016e-07	0.000603388	1.24211	1	48.8663	6.43444	1.98836e-09	8.39e-06	5.47759e-07	75.8954	7.77002e-05	0.000369772	8.39395e-06
28	0.503932	5.9473	19.3247	2.45695	0.179587	31.1405	1.29114	0.0757244	4.93777	4.62995	0.040057	0.00173868	4.03792e-08	8.58563e-07	0.000598119	1.22785	1	48.8071	6.66543	1.98861e-09	8.56832e-06	5.48586e-07	75.7722	7.8449e-05	0.000365008	8.57221e-06
29	0.500183	5.94526	19.3268	2.46567	0.178387	31.3262	1.29514	0.0753828	4.92519	4.6287	0.0412987	0.00168806	3.91135e-08	8.09319e-07	0.000592891	1.21377	1	48.7486	6.89517	1.98887e-09	8.74096e-06	5.49388e-07	75.6497	7.91539e-05	0.000360312	8.74479e-06
30	0.496534	5.94257	19.3294	2.47408	0.177218	31.5095	1.29908	0.0750375	4.9128	4.62747	0.0425326	0.00164071	3.79298e-08	7.64584e-07	0.000587706	1.19989	1	48.6906	7.12369	1.98913e-09	8.9083e-06	5.50166e-07	75.5279	7.98192e-05	0.000355681	8.91208e-06
31	0.49298	5.93933	19.3327	2.48222	0.176078	31.6907	1.30297	0.0746901	4.9006	4.62624	0.0437597	0.00159631	3.68197e-08	7.23782e-07	0.000582565	1.1862	1	48.6332	7.35101	1.98941e-09	9.07068e-06	5.50923e-07	75.4068	8.04484e-05	0.000351117	9.0744e-06
32	0.489517	5.93563	19.3364	2.49012	0.174966	31.8698	1.3068	0.0743417	4.88858	4.62502	0.0449812	0.00155456	3.57761e-08	6.86436e-07	0.00057747	1.1727	1	48.5763	7.57715	1.98969e-09	9.2284e-06	5.51659e-07	75.2864	8.10445e-05	0.00034662	9.23207e-06
33	0.486139	5.93154	19.3405	2.49781	0.17388	32.0468	1.31057	0.0739933	4.87676	4.6238	0.0461978	0.00151521	3.47929e-08	6.52146e-07	0.000572421	1.1594	1	48.52	7.80214	1.98998e-09	9.38175e-06	5.52376e-07	75.1666	8.16103e-05	0.00034219	9.38537e-06
34	0.482845	5.9271	19.3449	2.50531	0.172819	32.2219	1.3143	0.0736458	4.86512	4.62259	0.0474099	0.00147805	3.38648e-08	6.20567e-07	0.000567421	1.14629	1	48.4643	8.026	1.99028e-09	9.53096e-06	5.53074e-07	75.0475	8.21484e-05	0.000337827	9.53454e-06
35	0.479628	5.92237	19.3496	2.51263	0.171783	32.3951	1.31797	0.0732996	4.85368	4.62138	0.0486179	0.0014429	3.2987e-08	5.91412e-07	0.00056247	1.13338	1	48.409	8.24874	1.99058e-09	9.67627e-06	5.53756e-07	74.929	8.26607e-05	0.000333532	9.67982e-06
36	0.476487	5.91737	19.3546	2.51979	0.170769	32.5666	1.3216	0.0729554	4.84243	4.62018	0.0498223	0.00140959	3.21556e-08	5.6443e-07	0.000557571	1.12067	1	48.3543	8.47039	1.99089e-09	9.8179e-06	5.54421e-07	74.8111	8.31494e-05	0.000329306	9.8214e-06
37	0.473418	5.91215	19.3599	2.5268	0.169778	32.7363	1.32518	0.0726135	4.83138	4.61898	0.0510231	0.00137797	3.13668e-08	5.39401e-07	0.000552724	1.10816	1	48.3001	8.69097	1.99121e-09	9.95603e-06	5.55071e-07	74.6938	8.3616e-05	0.000325149	9.9595e-06
38	0.470417	5.90673	19.3653	2.53367	0.168807	32.9043	1.32871	0.0722745	4.82052	4.61778	0.0522205	0.00134792	3.06176e-08	5.16139e-07	0.000547932	1.09585	1	48.2463	8.91049	1.99154e-09	1.00908e-05	5.55707e-07	74.5771	8.40623e-05	0.00032106	1.00943e-05
39	0.467482	5.90114	19.3709	2.5404	0.167857	33.0707	1.33221	0.0719385	4.80986	4.61659	0.0534146	0.00131932	2.9905e-08	4.94479e-07	0.000543195	1.08374	1	48.1931	9.12897	1.99187e-09	1.02225e-05	5.56328e-07	74.461	8.44895e-05	0.000317042	1.02259e-05
40	0.46461	5.8954	19.3766	2.54701	0.166927	33.2355	1.33566	0.0716059	4.7994	4.6154	0.0546055	0.00129208	2.92264e-08	4.74271e-07	0.000538516	1.07184	1	48.1403	9.34642	1.99222e-09	1.03512e-05	5.56937e-07	74.3454	8.48991e-05	0.000313093	1.03545e-05
41	0.461799	5.88954	19.3825	2.5535	0.166015	33.3988	1.33907	0.071277	4.78914	4.61421	0.0557931	0.00126609	2.85795e-08	4.55392e-07	0.000533895	1.06014	1	48.0879	9.56288	1.99257e-09	1.0477e-05	5.57533e-07	74.2304	8.52921e-05	0.000309215	1.04803e-05
