Time	[Cytosolic Calcium]	[ER Calcium]	[Cytosolic IP3]	[Cytosolic Sodium]	[Cytosolic ATP]	[Cytosolic ADP]	Values[n]	Values[V]
0	0.085	22.8	0.33	9858	932.1	3067.9	0.00123	-60.9
1	0.0850035	22.8	0.33	9858.02	933.151	3066.85	0.00123074	-60.7948
2	0.0850083	22.8	0.33	9858.05	934.201	3065.8	0.00123292	-60.6984
3	0.0850142	22.8	0.329999	9858.07	935.251	3064.75	0.00123629	-60.6102
4	0.0850211	22.8	0.329999	9858.09	936.299	3063.7	0.00124066	-60.5294
5	0.0850291	22.8	0.329999	9858.11	937.348	3062.65	0.00124586	-60.4554
6	0.0850379	22.8	0.329999	9858.13	938.395	3061.6	0.00125172	-60.3876
7	0.0850476	22.8	0.329998	9858.15	939.442	3060.56	0.00125811	-60.3255
8	0.085058	22.8	0.329998	9858.17	940.489	3059.51	0.00126491	-60.2686
9	0.085069	22.8	0.329998	9858.19	941.534	3058.47	0.00127201	-60.2165
10	0.0850808	22.8	0.329998	9858.2	942.58	3057.42	0.00127932	-60.1688
11	0.0850931	22.8	0.329997	9858.22	943.624	3056.38	0.00128676	-60.1251
12	0.0851059	22.8	0.329997	9858.23	944.668	3055.33	0.00129426	-60.0852
13	0.0851192	22.8	0.329997	9858.25	945.712	3054.29	0.00130176	-60.0486
14	0.0851329	22.8	0.329997	9858.27	946.755	3053.25	0.00130921	-60.0152
15	0.085147	22.8	0.329997	9858.28	947.797	3052.2	0.00131657	-59.9847
16	0.0851615	22.7999	0.329996	9858.29	948.839	3051.16	0.0013238	-59.9569
17	0.0851763	22.7999	0.329996	9858.31	949.88	3050.12	0.00133088	-59.9315
18	0.0851914	22.7999	0.329996	9858.32	950.921	3049.08	0.00133777	-59.9083
19	0.0852068	22.7999	0.329996	9858.33	951.961	3048.04	0.00134446	-59.8872
20	0.0852224	22.7999	0.329996	9858.35	953.001	3047	0.00135093	-59.8681
21	0.0852382	22.7999	0.329996	9858.36	954.04	3045.96	0.00135717	-59.8507
22	0.0852542	22.7999	0.329995	9858.37	955.078	3044.92	0.00136318	-59.8349
23	0.0852704	22.7999	0.329995	9858.38	956.116	3043.88	0.00136894	-59.8206
24	0.0852867	22.7999	0.329995	9858.4	957.154	3042.85	0.00137445	-59.8077
