Time	[Mb]	[Bc]	[Bcp]	[Bn]	[Cc]	[Mc]	[Ccp]	[Mp]	[Pc]	[Pcp]	[PCc]	[PCcp]	[PCn]	[Bnp]	[PCnp]	[In]	[Mr]	[Rc]	[Rn]
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1.07287	0.108237	0.0105211	0.024172	0.000164449	0.000359682	1.47718e-05	0.000320952	3.08368e-05	1.27425e-05	2.58038e-10	3.09388e-11	1.28815e-11	0.00203204	1.46647e-12	1.41314e-14	0.000288605	2.36403e-05	2.04233e-06
2	1.82702	0.262164	0.0253942	0.093231	0.00711947	0.00754809	0.00090841	0.00621695	0.00085496	0.000418365	5.9888e-07	1.19494e-07	6.02647e-08	0.00828559	1.1556e-08	4.58844e-10	0.00635917	0.000619205	9.07279e-05
3	2.48779	0.423286	0.0389656	0.184653	0.0453999	0.03295	0.00651152	0.0263443	0.00409781	0.00211864	2.5188e-05	6.20628e-06	3.59107e-06	0.0161274	8.61398e-07	7.0661e-08	0.0282498	0.00291782	0.000529291
4	3.09513	0.591249	0.0512504	0.291673	0.148978	0.0850684	0.0220736	0.0674107	0.0109877	0.00587425	0.000264591	7.23756e-05	4.55404e-05	0.0245349	1.22531e-05	1.63033e-06	0.0728803	0.00781109	0.00157176
5	3.66519	0.767324	0.0624544	0.414356	0.361889	0.171677	0.052471	0.136254	0.0224291	0.0123898	0.00145962	0.000423185	0.000277711	0.0332322	7.97587e-05	1.53352e-05	0.145255	0.0161458	0.0034482
6	4.20641	0.952549	0.0727294	0.554509	0.752325	0.299821	0.101099	0.23994	0.0388195	0.0222914	0.00563976	0.00169757	0.00112775	0.0421014	0.000337455	8.78277e-05	0.248507	0.0288604	0.0064227
7	4.72388	1.14771	0.0821848	0.714077	1.42133	0.47333	0.16722	0.383679	0.059323	0.0356663	0.0172362	0.00535186	0.00352373	0.0510298	0.0010867	0.000367214	0.382438	0.0469103	0.010801
8	5.22089	1.35329	0.0909003	0.894154	2.48802	0.690436	0.244281	0.56819	0.0813175	0.0513793	0.0436922	0.0140418	0.00900285	0.0598672	0.00285295	0.00121508	0.542775	0.0711561	0.0169197
9	5.69963	1.56928	0.0989304	1.09393	4.0542	0.943644	0.322876	0.788571	0.10112	0.0669518	0.0937971	0.0314873	0.0192975	0.0684171	0.00628906	0.00329714	0.722078	0.102305	0.0251458
10	6.16148	1.79483	0.106305	1.30992	6.17848	1.22208	0.395568	1.03578	0.115891	0.0796631	0.174158	0.0616933	0.0354405	0.0764584	0.0118963	0.00752349	0.911777	0.140925	0.0358959
11	6.60715	2.02801	0.113035	1.53601	8.87723	1.51462	0.458743	1.29958	0.124851	0.0880071	0.287382	0.108272	0.057317	0.0837925	0.01983	0.0148676	1.10415	0.187519	0.0496769
12	7.0366	2.26574	0.119122	1.76435	12.1396	1.81201	0.511708	1.57089	0.128851	0.0920583	0.433108	0.174427	0.0841155	0.0902832	0.0299891	0.026278	1.29337	0.242584	0.0671402
13	7.44888	2.50402	0.124567	1.98621	15.941	2.10753	0.555254	1.8428	0.129297	0.0927941	0.609469	0.263182	0.114979	0.0958648	0.0422202	0.0427549	1.47562	0.306633	0.0891394
14	7.84177	2.73809	0.129377	2.19276	20.2505	2.39666	0.590711	2.1105	0.127465	0.0913383	0.813667	0.377315	0.149303	0.100527	0.0564371	0.0654817	1.64866	0.380162	0.116786
15	8.21123	2.96258	0.133565	2.37563	25.0349	2.67653	0.619467	2.37077	0.124284	0.0885922	1.04207	0.518977	0.18678	0.104293	0.0726555	0.095941	1.81131	0.463566	0.151495
16	8.55055	3.17161	0.137145	2.52735	30.2599	2.94535	0.642774	2.62151	0.120365	0.085169	1.29032	0.68928	0.227366	0.107204	0.091002	0.136008	1.96306	0.557063	0.195011
17	8.8493	3.35866	0.140124	2.64151	35.8913	3.20191	0.661696	2.86122	0.116085	0.0814494	1.55365	0.888098	0.271292	0.109297	0.111734	0.188008	2.10369	0.660607	0.249399
18	9.09224	3.51629	0.142503	2.7126	41.8946	3.44532	0.677103	3.08874	0.111669	0.0776551	1.82713	1.11414	0.319107	0.110598	0.135281	0.25467	2.23312	0.773816	0.316959
19	9.25882	3.63583	0.144258	2.73564	48.2351	3.67462	0.689699	3.30288	0.107242	0.0739059	2.10594	1.36523	0.371766	0.111101	0.162311	0.338855	2.35113	0.895881	0.400024
20	9.32429	3.70714	0.14534	2.70573	54.8772	3.88855	0.700044	3.50209	0.102866	0.0702572	2.38549	1.63858	0.430772	0.110758	0.19384	0.442851	2.45723	1.02541	0.500612
21	9.26353	3.71909	0.145661	2.61805	61.7832	4.08509	0.708584	3.68403	0.0985546	0.0667214	2.66126	1.93114	0.498378	0.10946	0.231378	0.567066	2.55036	1.16015	0.619894
22	9.05736	3.66102	0.145099	2.46874	68.911	4.26087	0.715672	3.8449	0.0942806	0.063277	2.92846	2.23971	0.577799	0.107025	0.277126	0.708066	2.62846	1.29638	0.757439
23	8.69918	3.52538	0.143492	2.25715	76.2109	4.41002	0.721585	3.97821	0.0899719	0.059868	3.18115	2.56097	0.673323	0.103193	0.334163	0.856236	2.68774	1.42794	0.910188
24	8.1984	3.31077	0.14065	1.98922	83.6185	4.52226	0.726543	4.07265	0.0854896	0.0563927	3.41066	2.89144	0.789986	0.0976512	0.406502	0.993704	2.72129	1.54441	1.07091
25	7.57931	3.02439	0.136366	1.68086	91.0436	4.57937	0.730718	4.10829	0.0805869	0.0526773	3.60235	3.22709	0.931978	0.0901165	0.498667	1.09365	2.71674	1.628	1.22575
26	6.87771	2.68311	0.130453	1.35885	98.3496	4.54966	0.734241	4.05059	0.0748419	0.0484353	3.72978	3.56261	1.09806	0.0805342	0.614227	1.1228	2.65247	1.64861	1.35018
27	6.13982	2.31279	0.122815	1.05681	105.322	4.3827	0.737213	3.84478	0.0675973	0.0432387	3.74574	3.88995	1.27167	0.0693913	0.752537	1.04968	2.49447	1.55849	1.40319
28	5.43001	1.94613	0.113617	0.80562	111.638	4.01597	0.739704	3.42345	0.0580583	0.0366063	3.57591	4.19528	1.40638	0.0579478	0.903419	0.86058	2.20241	1.29699	1.3233
29	4.86034	1.62208	0.103612	0.624877	116.872	3.41305	0.74176	2.74974	0.0457862	0.0283632	3.13479	4.4531	1.41928	0.0480436	1.04006	0.582777	1.76016	0.841352	1.04486
30	4.64678	1.3926	0.094835	0.526365	120.607	2.62565	0.743406	1.88985	0.0315273	0.0191561	2.38865	4.61428	1.22184	0.0417055	1.10936	0.306506	1.22572	0.358586	0.58525
31	4.93022	1.31821	0.0908965	0.52978	122.64	1.82972	0.74466	1.06817	0.0180089	0.0107443	1.46107	4.58167	0.813168	0.0412065	1.01879	0.139328	0.75912	0.13495	0.183415
32	5.40219	1.39389	0.0930835	0.652958	123.158	1.28141	0.74555	0.619961	0.00984447	0.00569556	0.706401	4.1993	0.388743	0.0476977	0.663748	0.0659419	0.545567	0.0770432	0.04021
33	5.87415	1.56018	0.0987975	0.866579	122.765	1.11213	0.746126	0.614764	0.0086362	0.00480346	0.414988	3.44619	0.176039	0.0583181	0.197803	0.0339055	0.585244	0.079388	0.022191
34	6.33104	1.77336	0.105667	1.11448	122.188	1.21077	0.746465	0.810176	0.0109401	0.00604857	0.423896	2.60842	0.117048	0.06901	0.052748	0.025533	0.743957	0.106575	0.0268096
35	6.77295	2.00783	0.112468	1.36306	121.902	1.43148	0.746656	1.06875	0.0143962	0.00802412	0.540715	1.90949	0.123368	0.0781797	0.0472926	0.0311431	0.938759	0.146765	0.0375034
36	7.20001	2.24825	0.118688	1.59604	122.108	1.69704	0.746778	1.34428	0.018176	0.010237	0.703079	1.41825	0.150039	0.0855907	0.0573931	0.0456938	1.13713	0.196165	0.0521553
37	7.61175	2.48623	0.124187	1.80966	122.871	1.97534	0.74689	1.62025	0.0219587	0.0124941	0.891927	1.13629	0.18263	0.0915514	0.0713429	0.0668124	1.32783	0.253698	0.0707101
38	8.00683	2.71694	0.12898	2.00147	124.201	2.25304	0.747031	1.89011	0.0255925	0.0146998	1.10018	1.03061	0.218093	0.0963408	0.0873498	0.0947322	1.50732	0.319277	0.0937497
39	8.38273	2.93675	0.133125	2.16856	126.082	2.52415	0.747224	2.15087	0.0289906	0.0167955	1.32389	1.05268	0.255844	0.100148	0.105136	0.130693	1.67467	0.393091	0.122217
40	8.73518	3.14212	0.136676	2.30801	128.485	2.78567	0.74748	2.40096	0.0320972	0.0187399	1.55946	1.15986	0.295889	0.103105	0.124792	0.176496	1.82982	0.475305	0.157343
