Time	[H]	[HR]	[R]	[HRRH]	[E]	[GQ]	[IP3]	[CHO]
0	1	0	0.01	0	0	0.1	0	0
1	0.993497	0.00142702	0.00349721	0.000856454	0.00168143	0.0983186	3224.3	0.311448
2	0.992886	0.00140079	0.00288584	0.000964486	0.0018922	0.0981078	3770.18	0.266805
3	0.992823	0.00139809	0.00282299	0.000975611	0.00191385	0.0980861	3826.24	0.265381
4	0.992817	0.00139781	0.00281652	0.000976757	0.00191608	0.0980839	3832.01	0.265375
5	0.992816	0.00139778	0.00281586	0.000976874	0.00191631	0.0980837	3832.6	0.265379
6	0.00409238	0.000585892	0.00690823	0.000418608	0.000834329	0.0991657	1845.38	0.236045
7	0.00607362	0.000275283	0.00888948	0.000138903	0.000278716	0.0997213	632.258	0.167521
8	0.00684117	0.00011508	0.00965702	3.78282e-05	7.61198e-05	0.0999239	176.116	0.0781445
9	0.00707082	5.65244e-05	0.00988667	9.42485e-06	1.89769e-05	0.099981	44.0592	0.0242947
10	0.00712796	4.04713e-05	0.00994381	2.60947e-06	5.24857e-06	0.0999948	11.9034	0.00697599
11	0.00714102	3.66778e-05	0.00995688	1.0713e-06	2.14922e-06	0.0999979	4.61213	0.00274199
12	0.00714394	3.58256e-05	0.00995979	7.29935e-07	1.46132e-06	0.0999985	2.99207	0.00178456
13	0.00714458	3.56367e-05	0.00996044	6.54471e-07	1.30925e-06	0.0999987	2.63384	0.00157202
14	0.00714472	3.5595e-05	0.00996058	6.37804e-07	1.27566e-06	0.0999987	2.55471	0.00152504
15	0.00714475	3.55857e-05	0.00996061	6.34123e-07	1.26825e-06	0.0999987	2.53724	0.00151466
16	0.00714476	3.55837e-05	0.00996062	6.3331e-07	1.26661e-06	0.0999987	2.53338	0.00151237
17	0.00714476	3.55833e-05	0.00996062	6.3313e-07	1.26625e-06	0.0999987	2.53253	0.00151186
18	0.00714476	3.55832e-05	0.00996062	6.33091e-07	1.26617e-06	0.0999987	2.53234	0.00151175
19	0.00714476	3.55831e-05	0.00996062	6.33082e-07	1.26615e-06	0.0999987	2.5323	0.00151172
20	0.00714476	3.55831e-05	0.00996062	6.3308e-07	1.26614e-06	0.0999987	2.53229	0.00151172
21	0.00714476	3.55831e-05	0.00996062	6.3308e-07	1.26614e-06	0.0999987	2.53229	0.00151172
22	0.00714476	3.55831e-05	0.00996062	6.3308e-07	1.26614e-06	0.0999987	2.53229	0.00151172
23	0.00714476	3.55831e-05	0.00996062	6.3308e-07	1.26614e-06	0.0999987	2.53229	0.00151172
24	0.00714476	3.55831e-05	0.00996062	6.3308e-07	1.26614e-06	0.0999987	2.53229	0.00151172
25	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
26	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
27	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
28	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
29	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
30	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
31	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
32	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
33	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
34	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
35	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
36	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
37	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
38	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
39	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
40	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
41	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
42	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
43	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
44	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
45	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
46	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
47	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
48	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
49	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
50	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
51	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
52	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
53	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
54	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
55	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
56	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
57	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
58	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
59	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
60	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
61	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
62	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
63	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
64	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
65	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
66	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
67	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
68	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
69	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
70	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
71	0.00714476	3.55831e-05	0.00996062	6.33079e-07	1.26614e-06	0.0999987	2.53229	0.00151172
