Time	[P]	[Q]	[R]
0	0.43	0.8	0.55
1	0.445667	0.85712	0.652238
2	0.457205	0.728478	0.803064
3	0.44713	0.4442	0.880799
4	0.409137	0.183755	0.81547
5	0.358349	0.173128	0.569942
6	0.330499	0.62632	0.154959
7	0.358614	0.999159	0.0525588
8	0.393222	0.998324	0.0975207
9	0.425769	0.995908	0.198317
10	0.456213	0.986803	0.395664
11	0.482639	0.923205	0.699814
12	0.490861	0.613645	0.941095
13	0.461507	0.221867	0.928275
14	0.402773	0.0380116	0.826882
15	0.34464	0.139341	0.520876
16	0.319584	0.707697	0.0676999
17	0.352064	0.999248	0.0474304
18	0.387073	0.998543	0.0863523
19	0.419984	0.99658	0.173827
20	0.450848	0.989667	0.351221
21	0.478454	0.946673	0.638655
22	0.491948	0.688219	0.926235
23	0.469626	0.28709	0.935061
24	0.414307	0.0405059	0.857208
25	0.354074	0.0997986	0.595024
26	0.319289	0.556936	0.134928
27	0.345434	0.999322	0.043035
28	0.380855	0.998725	0.0767477
29	0.414134	0.997119	0.152382
30	0.445392	0.991773	0.310636
31	0.47388	0.962582	0.579185
32	0.491715	0.758218	0.894191
33	0.476582	0.356072	0.940004
34	0.425804	0.0557941	0.881137
35	0.364221	0.073273	0.661181
36	0.321589	0.425462	0.219739
37	0.33872	0.999386	0.0391898
38	0.374566	0.998877	0.0684768
39	0.408217	0.997556	0.133711
40	0.439853	0.993357	0.273873
41	0.46903	0.973152	0.522342
42	0.490272	0.819585	0.846794
43	0.482305	0.42784	0.943394
44	0.436971	0.0884482	0.899608
45	0.374882	0.0561302	0.718952
46	0.326129	0.316396	0.309445
47	0.331919	0.999437	0.0359664
48	0.368204	0.999006	0.061338
49	0.402234	0.997911	0.117537
50	0.434239	0.994573	0.240835
51	0.46398	0.980207	0.468705
52	0.487794	0.869812	0.790284
53	0.486739	0.501681	0.945112
54	0.4475	0.135424	0.913629
55	0.385911	0.045409	0.768316
56	0.332523	0.229885	0.398035
57	0.325262	0.942998	0.0349051
58	0.361769	0.999114	0.0551584
59	0.396185	0.998202	0.103582
60	0.428555	0.995522	0.211387
61	0.458783	0.985017	0.41864
62	0.484486	0.908399	0.72971
63	0.489843	0.576914	0.943886
64	0.457168	0.191962	0.924166
65	0.39721	0.0393314	0.809591
66	0.340391	0.164366	0.482209
67	0.320743	0.785412	0.0479222
68	0.355256	0.999207	0.0497869
69	0.390069	0.998442	0.0915676
70	0.422803	0.996272	0.18533
71	0.453467	0.988387	0.372333
72	0.480544	0.93636	0.668234
73	0.491589	0.652299	0.935341
74	0.465822	0.254856	0.932021
75	0.408695	0.038182	0.843328
76	0.349387	0.117149	0.559959
77	0.319089	0.628151	0.0988365
78	0.348665	0.999287	0.0450977
79	0.383884	0.998641	0.0812336
80	0.416984	0.996872	0.162436
81	0.448053	0.990828	0.329871
82	0.476143	0.955651	0.607795
83	0.491988	0.72506	0.911995
84	0.473353	0.322162	0.937809
85	0.42024	0.0462944	0.870256
86	0.359217	0.0847702	0.630078
87	0.320168	0.486625	0.17738
88	0.341992	0.999356	0.0409914
89	0.37763	0.998807	0.0723412
90	0.411099	0.997355	0.142451
91	0.442553	0.99264	0.291258
92	0.471415	0.968556	0.549584
93	0.491114	0.791059	0.871346
94	0.479683	0.392676	0.941935
95	0.431608	0.0704816	0.891253
96	0.369649	0.0634952	0.691943
97	0.323668	0.366525	0.265722
98	0.335234	0.999414	0.0374311
99	0.371304	0.998946	0.0646762
100	0.405149	0.997747	0.125101
