Time	[cyclin]	[protease]	[cdc2k]	[cyclin inhibitor]	[complex inhibitor-cyclin]
0	0	0	0	1	1
1	0.147079	0.00587378	0.0768022	1.19151	0.948747
2	0.273151	0.0277696	0.209668	1.36219	0.909499
3	0.370714	0.0677293	0.366143	1.51333	0.881918
4	0.432594	0.128762	0.526457	1.64755	0.864251
5	0.45215	0.211489	0.670232	1.76861	0.853452
6	0.425147	0.311093	0.776761	1.88113	0.845419
7	0.352419	0.417259	0.832735	1.99012	0.835437
8	0.241998	0.517877	0.839406	2.10032	0.818851
9	0.112584	0.602151	0.792529	2.21529	0.79198
10	0.0218213	0.658282	0.658062	2.33511	0.754543
11	0.0137766	0.677089	0.475728	2.45173	0.714545
12	0.0137091	0.662455	0.3054	2.56084	0.676618
13	0.0147144	0.620143	0.162042	2.66262	0.640924
14	0.0169625	0.55665	0.0669992	2.75741	0.607486
15	0.020922	0.482227	0.0306803	2.84545	0.576389
16	0.0273694	0.406673	0.0270573	2.92688	0.547812
17	0.037696	0.33487	0.0347498	3.00168	0.522101
18	0.0539064	0.269568	0.0501466	3.06955	0.499864
19	0.0777321	0.213689	0.0756047	3.12993	0.482009
20	0.108999	0.170683	0.11438	3.18215	0.469576
21	0.144614	0.143779	0.168114	3.22585	0.463318
22	0.179213	0.134733	0.235322	3.26137	0.463263
23	0.206826	0.143265	0.31125	3.29002	0.468485
24	0.222313	0.167592	0.38874	3.31386	0.47717
25	0.222111	0.205027	0.459241	3.33551	0.486867
26	0.204673	0.251874	0.513542	3.35778	0.494819
27	0.171028	0.303022	0.542114	3.38326	0.498344
28	0.125723	0.351713	0.535017	3.41391	0.495307
29	0.0783493	0.389628	0.482652	3.4504	0.484772
30	0.0440346	0.407841	0.384153	3.49135	0.467908
31	0.0315599	0.400324	0.263723	3.5332	0.448152
32	0.0320105	0.368046	0.158174	3.5728	0.428698
33	0.0388251	0.318443	0.0922026	3.60879	0.411051
34	0.051888	0.26237	0.0705478	3.6404	0.396179
35	0.0723642	0.209661	0.0798847	3.66675	0.385167
36	0.100151	0.166976	0.109423	3.68697	0.379172
37	0.132666	0.138628	0.155436	3.70048	0.379055
38	0.165179	0.126829	0.215304	3.70747	0.384936
39	0.192265	0.131578	0.284597	3.70905	0.395966
40	0.209175	0.151293	0.356925	3.70719	0.4104
41	0.212556	0.18357	0.424614	3.70435	0.425862
42	0.200766	0.225241	0.479341	3.70319	0.439686
43	0.174264	0.271991	0.512512	3.70617	0.449266
44	0.136251	0.318077	0.515381	3.7152	0.452469
45	0.0936295	0.356335	0.479581	3.73113	0.448152
46	0.0575886	0.378778	0.401595	3.75315	0.436839
47	0.038693	0.378795	0.294609	3.77842	0.421138
48	0.0352713	0.354929	0.189659	3.8035	0.404443
49	0.0403845	0.312284	0.114972	3.82625	0.388949
50	0.0522255	0.260503	0.0825331	3.84554	0.375935
51	0.071428	0.20979	0.0848409	3.86037	0.366585
52	0.0978358	0.167697	0.11025	3.86976	0.362098
53	0.129037	0.139055	0.153114	3.87308	0.363366
54	0.160556	0.126334	0.210092	3.87046	0.370547
55	0.187188	0.129716	0.276724	3.86294	0.382833
56	0.204336	0.147746	0.346842	3.85241	0.398519
57	0.208721	0.178124	0.41307	3.84128	0.415271
58	0.198689	0.217837	0.467402	3.83215	0.430464
59	0.174544	0.262815	0.501579	3.82744	0.44153
60	0.139109	0.307645	0.507262	3.82901	0.446347
61	0.0985324	0.345566	0.476544	3.83777	0.443726
62	0.0627995	0.368975	0.405576	3.85304	0.434014
