Time	[D]	[DR]	[DRG_GDP]	[G_GDP]	[DRG]	[GDP]	[DRG_GTP]	[GTP]	[G_GTP]	[R]
0	3.1e-05	0	0	1e-06	0	0	0	1e-05	0	1e-10
1	3.09999e-05	4.35961e-13	8.98402e-12	9.99884e-07	4.78493e-11	1.24579e-10	4.27026e-11	9.99992e-06	1.67045e-11	2.81225e-14
2	3.09999e-05	4.3765e-13	8.58227e-12	9.9988e-07	4.80503e-11	1.67845e-10	4.29015e-11	9.99988e-06	2.08013e-11	2.82355e-14
3	3.09999e-05	4.37656e-13	8.58066e-12	9.99879e-07	4.80512e-11	2.10749e-10	4.29022e-11	9.99984e-06	2.13631e-11	2.82359e-14
4	3.09999e-05	4.37655e-13	8.58066e-12	9.99879e-07	4.80513e-11	2.53651e-10	4.29021e-11	9.99979e-06	2.14391e-11	2.82359e-14
5	3.09999e-05	4.37654e-13	8.5807e-12	9.99879e-07	4.80514e-11	2.96553e-10	4.2902e-11	9.99975e-06	2.14491e-11	2.82358e-14
6	3.09999e-05	4.37653e-13	8.5807e-12	9.99879e-07	4.80515e-11	3.39455e-10	4.29019e-11	9.99971e-06	2.14509e-11	2.82357e-14
7	3.09999e-05	4.37652e-13	8.58073e-12	9.99879e-07	4.80516e-11	3.82356e-10	4.29018e-11	9.99967e-06	2.14511e-11	2.82357e-14
8	3.09999e-05	4.3765e-13	8.58074e-12	9.99879e-07	4.80517e-11	4.25258e-10	4.29017e-11	9.99962e-06	2.14509e-11	2.82356e-14
9	3.09999e-05	4.37649e-13	8.58076e-12	9.99879e-07	4.80518e-11	4.6816e-10	4.29016e-11	9.99958e-06	2.14508e-11	2.82355e-14
10	3.09999e-05	4.37648e-13	8.58078e-12	9.99879e-07	4.80519e-11	5.11061e-10	4.29015e-11	9.99954e-06	2.14507e-11	2.82355e-14
11	3.09999e-05	4.37647e-13	8.5808e-12	9.99879e-07	4.8052e-11	5.53963e-10	4.29014e-11	9.99949e-06	2.14506e-11	2.82354e-14
12	3.09999e-05	4.37646e-13	8.58082e-12	9.99879e-07	4.8052e-11	5.96864e-10	4.29013e-11	9.99945e-06	2.14506e-11	2.82353e-14
13	3.09999e-05	4.37645e-13	8.58084e-12	9.99879e-07	4.80521e-11	6.39765e-10	4.29011e-11	9.99941e-06	2.14506e-11	2.82353e-14
14	3.09999e-05	4.37644e-13	8.58086e-12	9.99879e-07	4.80522e-11	6.82666e-10	4.2901e-11	9.99937e-06	2.14505e-11	2.82352e-14
15	3.09999e-05	4.37643e-13	8.58088e-12	9.99879e-07	4.80523e-11	7.25567e-10	4.29009e-11	9.99932e-06	2.14505e-11	2.82351e-14
16	3.09999e-05	4.37642e-13	8.5809e-12	9.99879e-07	4.80524e-11	7.68468e-10	4.29008e-11	9.99928e-06	2.14504e-11	2.82351e-14
17	3.09999e-05	4.37641e-13	8.58092e-12	9.99879e-07	4.80525e-11	8.11368e-10	4.29007e-11	9.99924e-06	2.14504e-11	2.8235e-14
18	3.09999e-05	4.3764e-13	8.58094e-12	9.99879e-07	4.80526e-11	8.54266e-10	4.29006e-11	9.99919e-06	2.14503e-11	2.82349e-14
19	3.09999e-05	4.37639e-13	8.58096e-12	9.99879e-07	4.80527e-11	8.97164e-10	4.29005e-11	9.99915e-06	2.14503e-11	2.82349e-14
20	3.09999e-05	4.37638e-13	8.58098e-12	9.99879e-07	4.80527e-11	9.40062e-10	4.29004e-11	9.99911e-06	2.14502e-11	2.82348e-14
21	3.09999e-05	4.37637e-13	8.581e-12	9.99879e-07	4.80528e-11	9.8296e-10	4.29003e-11	9.99907e-06	2.14502e-11	2.82347e-14
22	3.09999e-05	4.37636e-13	8.58102e-12	9.99879e-07	4.80529e-11	1.02586e-09	4.29002e-11	9.99902e-06	2.14501e-11	2.82347e-14
23	3.09999e-05	4.37635e-13	8.58104e-12	9.99879e-07	4.8053e-11	1.06876e-09	4.29001e-11	9.99898e-06	2.14501e-11	2.82346e-14
24	3.09999e-05	4.37634e-13	8.58106e-12	9.99879e-07	4.80531e-11	1.11165e-09	4.29e-11	9.99894e-06	2.145e-11	2.82345e-14
25	3.09999e-05	4.37633e-13	8.58108e-12	9.99879e-07	4.80532e-11	1.15455e-09	4.28999e-11	9.99889e-06	2.145e-11	2.82345e-14
