Time	[D]	[DR]	[DRG_GDP]	[DRG]	[GDP]	[DRG_GTP]	[GTP]	[R]	[G_GDP]	[G_GTP]
0	1e-08	0	0	0	0	0	1e-05	1e-09	1e-09	0
1	9.96132e-09	3.67152e-11	1.89606e-12	1.95228e-15	6.77594e-14	6.49633e-14	1e-05	9.61322e-10	9.98036e-10	8.26709e-16
2	9.9378e-09	5.59121e-11	5.85313e-12	6.2316e-15	4.46204e-13	4.28372e-13	1e-05	9.378e-10	9.93701e-10	1.11271e-14
3	9.9224e-09	6.60599e-11	1.03319e-11	1.14707e-14	1.25491e-12	1.19302e-12	1e-05	9.22404e-10	9.88416e-10	4.73175e-14
4	9.91148e-09	7.15124e-11	1.46358e-11	1.69332e-14	2.50635e-12	2.35192e-12	1e-05	9.11483e-10	9.82869e-10	1.26133e-13
5	9.90313e-09	7.45134e-11	1.84853e-11	2.22858e-14	4.16671e-12	3.8531e-12	1e-05	9.03126e-10	9.77378e-10	2.61118e-13
6	9.89632e-09	7.62215e-11	2.18014e-11	2.73828e-14	6.1855e-12	5.63071e-12	9.99999e-06	8.96319e-10	9.72079e-10	4.61638e-13
7	9.89051e-09	7.72375e-11	2.45966e-11	3.21698e-14	8.50953e-12	7.61945e-12	9.99999e-06	8.90514e-10	9.67019e-10	7.33013e-13
8	9.88541e-09	7.78756e-11	2.69208e-11	3.66382e-14	1.10891e-11	9.76054e-12	9.99999e-06	8.85406e-10	9.62205e-10	1.07709e-12
9	9.88082e-09	7.82995e-11	2.88359e-11	4.07991e-14	1.388e-11	1.20036e-11	9.99999e-06	8.8082e-10	9.57627e-10	1.49295e-12
10	9.87665e-09	7.85984e-11	3.04029e-11	4.46694e-14	1.68446e-11	1.43067e-11	9.99998e-06	8.76647e-10	9.53268e-10	1.97756e-12
11	9.87282e-09	7.88207e-11	3.16776e-11	4.82609e-14	1.99508e-11	1.66358e-11	9.99998e-06	8.72818e-10	9.49112e-10	2.52639e-12
12	9.86928e-09	7.89926e-11	3.2709e-11	5.17648e-14	2.3172e-11	1.89634e-11	9.99998e-06	8.69283e-10	9.45142e-10	3.13387e-12
13	9.86601e-09	7.91296e-11	3.35388e-11	5.4702e-14	2.64859e-11	2.12685e-11	9.99997e-06	8.66008e-10	9.41344e-10	3.79383e-12
14	9.86297e-09	7.92417e-11	3.4202e-11	5.77504e-14	2.98742e-11	2.35335e-11	9.99997e-06	8.62965e-10	9.37707e-10	4.49974e-12
15	9.86013e-09	7.93353e-11	3.47281e-11	6.04386e-14	3.33218e-11	2.57461e-11	9.99997e-06	8.6013e-10	9.3422e-10	5.24502e-12
16	9.85748e-09	7.94143e-11	3.51415e-11	6.30092e-14	3.68161e-11	2.78965e-11	9.99996e-06	8.57485e-10	9.30876e-10	6.0232e-12
17	9.85501e-09	7.94813e-11	3.54625e-11	6.54203e-14	4.0347e-11	2.99779e-11	9.99996e-06	8.55013e-10	9.27666e-10	6.82799e-12
18	9.8527e-09	7.95387e-11	3.5708e-11	6.76865e-14	4.39061e-11	3.19853e-11	9.99996e-06	8.527e-10	9.24586e-10	7.65345e-12
19	9.85053e-09	7.95883e-11	3.58916e-11	6.97872e-14	4.74866e-11	3.39159e-11	9.99995e-06	8.50534e-10	9.21629e-10	8.49402e-12
20	9.8485e-09	7.96317e-11	3.60249e-11	7.17732e-14	5.10828e-11	3.57678e-11	9.99995e-06	8.48504e-10	9.18791e-10	9.34454e-12
21	9.8466e-09	7.967e-11	3.61173e-11	7.364e-14	5.46903e-11	3.75404e-11	9.99995e-06	8.46599e-10	9.16068e-10	1.02003e-11
22	9.84481e-09	7.97039e-11	3.61768e-11	7.53943e-14	5.83053e-11	3.9234e-11	9.99994e-06	8.4481e-10	9.13457e-10	1.10571e-11
23	9.84313e-09	7.9734e-11	3.62096e-11	7.70436e-14	6.19249e-11	4.08495e-11	9.99994e-06	8.4313e-10	9.10953e-10	1.19111e-11
