Time	[R]	[Rin]	[x1]	[x1p]	[x2]	[x2p]	[x3]	[x3p]
0	0.5	0	1	0	1	0	1	0
1	0.00442213	0.495578	0.869521	0.130479	0.913971	0.086029	0.969339	0.0306613
2	0.000840297	0.49916	0.899378	0.100622	0.843873	0.156127	0.877171	0.122829
3	0.000840099	0.49916	0.92296	0.0770403	0.809864	0.190136	0.76592	0.23408
4	0.000840099	0.49916	0.941173	0.0588271	0.799182	0.200818	0.660174	0.339826
5	0.000840098	0.49916	0.955113	0.0448866	0.803305	0.196695	0.571882	0.428118
6	0.000840098	0.49916	0.965707	0.0342933	0.816339	0.183661	0.506014	0.493986
7	0.000840098	0.49916	0.973711	0.0262894	0.83417	0.16583	0.463287	0.536713
8	0.000840098	0.49916	0.979731	0.0202687	0.853966	0.146034	0.441922	0.558078
9	0.000840098	0.49916	0.984245	0.0157551	0.87384	0.12616	0.438926	0.561074
10	0.000840098	0.49916	0.98762	0.0123803	0.89261	0.10739	0.450953	0.549047
11	0.000840098	0.49916	0.990138	0.00986183	0.909607	0.0903934	0.474745	0.525255
12	0.000840098	0.49916	0.992015	0.00798522	0.924527	0.0754733	0.507285	0.492715
13	0.000840098	0.49916	0.993412	0.00658842	0.937313	0.0626867	0.545837	0.454163
14	0.000840099	0.49916	0.99445	0.00554963	0.948065	0.0519353	0.587951	0.412049
15	0.000840099	0.49916	0.995222	0.00477756	0.956967	0.043033	0.631495	0.368505
16	0.000840098	0.49916	0.995796	0.00420399	0.964247	0.0357534	0.67468	0.32532
17	0.000840099	0.49916	0.996222	0.00377804	0.970138	0.0298619	0.716087	0.283913
18	0.000840098	0.49916	0.996538	0.0034618	0.974866	0.0251342	0.754666	0.245334
19	0.000840099	0.49916	0.996773	0.00322705	0.978633	0.0213671	0.789728	0.210272
20	0.000840099	0.49916	0.996947	0.00305281	0.981617	0.0183831	0.820904	0.179096
21	0.000840099	0.49916	0.997076	0.00292351	0.983969	0.0160314	0.848096	0.151904
22	0.000840098	0.49916	0.997172	0.00282756	0.985814	0.0141856	0.871412	0.128588
23	0.000840098	0.49916	0.997244	0.00275637	0.987258	0.0127423	0.891112	0.108888
24	0.000840099	0.49916	0.997296	0.00270354	0.988383	0.011617	0.907543	0.0924573
25	0.000840098	0.49916	0.997336	0.00266434	0.989258	0.0107422	0.921097	0.078903
26	0.000840099	0.49916	0.997365	0.00263526	0.989936	0.0100637	0.932173	0.0678267
27	0.000840098	0.49916	0.997386	0.00261368	0.990462	0.00953847	0.941153	0.0588471
28	0.000840098	0.49916	0.997402	0.00259767	0.990867	0.00913268	0.948384	0.0516158
29	0.000840099	0.49916	0.997414	0.0025858	0.99118	0.00881971	0.954175	0.0458253
30	0.000840099	0.49916	0.997423	0.00257699	0.991421	0.00857866	0.95879	0.0412103
31	0.000840099	0.49916	0.99743	0.00257045	0.991607	0.00839327	0.962453	0.0375466
32	0.000840099	0.49916	0.997434	0.0025656	0.991749	0.00825086	0.965352	0.0346478
33	0.000840099	0.49916	0.997438	0.002562	0.991858	0.00814159	0.967639	0.0323608
34	0.000840099	0.49916	0.997441	0.00255933	0.991942	0.00805784	0.969439	0.0305608
35	0.000840099	0.49916	0.997443	0.00255735	0.992006	0.00799371	0.970853	0.0291469
36	0.000840099	0.49916	0.997444	0.00255588	0.992055	0.00794465	0.971962	0.0280384
37	0.000840099	0.49916	0.997445	0.00255479	0.992093	0.00790714	0.972829	0.0271706
38	0.000840098	0.49916	0.997446	0.00255398	0.992121	0.0078785	0.973508	0.0264923
39	0.000840099	0.49916	0.997447	0.00255338	0.992143	0.00785664	0.974037	0.0259627
40	0.000840099	0.49916	0.997447	0.00255294	0.99216	0.00783997	0.97445	0.0255497
41	0.000840099	0.49916	0.997447	0.0025526	0.992173	0.00782727	0.974772	0.0252279
42	0.000840099	0.49916	0.997448	0.00255236	0.992182	0.00781759	0.975023	0.0249775
43	0.000840099	0.49916	0.997448	0.00255218	0.99219	0.00781022	0.975217	0.0247828
44	0.000840099	0.49916	0.997448	0.00255204	0.992195	0.00780462	0.975369	0.0246315
45	0.000840099	0.49916	0.997448	0.00255194	0.9922	0.00780035	0.975486	0.024514
46	0.000840099	0.49916	0.997448	0.00255187	0.992203	0.00779712	0.975577	0.0244229
47	0.000840098	0.49916	0.997448	0.00255181	0.992205	0.00779466	0.975648	0.0243523
48	0.000840099	0.49916	0.997448	0.00255177	0.992207	0.00779279	0.975702	0.0242976
49	0.000840099	0.49916	0.997448	0.00255174	0.992209	0.00779137	0.975745	0.0242552
50	0.000840099	0.49916	0.997448	0.00255172	0.99221	0.0077903	0.975778	0.0242225
51	0.000840099	0.49916	0.997448	0.0025517	0.992211	0.00778948	0.975803	0.0241971
52	0.000840099	0.49916	0.997448	0.00255169	0.992211	0.00778887	0.975822	0.0241775
53	0.000840099	0.49916	0.997448	0.00255168	0.992212	0.0077884	0.975838	0.0241624
54	0.000840099	0.49916	0.997448	0.00255168	0.992212	0.00778805	0.975849	0.0241508
55	0.000840099	0.49916	0.997448	0.00255167	0.992212	0.00778778	0.975858	0.0241418
56	0.000840099	0.49916	0.997448	0.00255167	0.992212	0.00778757	0.975865	0.0241348
57	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778742	0.975871	0.0241295
58	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.0077873	0.975875	0.0241253
59	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778722	0.975878	0.0241222
60	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778715	0.97588	0.0241197
61	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.0077871	0.975882	0.0241178
62	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778706	0.975884	0.0241164
63	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778703	0.975885	0.0241153
64	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778701	0.975886	0.0241144
65	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.007787	0.975886	0.0241138
66	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778698	0.975887	0.0241133
67	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778697	0.975887	0.0241129
68	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778697	0.975887	0.0241126
69	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778696	0.975888	0.0241124
70	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778696	0.975888	0.0241122
71	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778695	0.975888	0.0241121
72	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778695	0.975888	0.0241119
73	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778695	0.975888	0.0241119
74	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778695	0.975888	0.0241118
75	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778695	0.975888	0.0241118
76	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778695	0.975888	0.0241117
77	0.000840098	0.49916	0.997448	0.00255166	0.992213	0.00778695	0.975888	0.0241117
78	0.000840098	0.49916	0.997448	0.00255166	0.992213	0.00778695	0.975888	0.0241117
79	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778695	0.975888	0.0241117
80	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778695	0.975888	0.0241116
81	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778695	0.975888	0.0241116
82	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778695	0.975888	0.0241116
83	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778695	0.975888	0.0241116
84	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778695	0.975888	0.0241116
85	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778695	0.975888	0.0241116
86	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778694	0.975888	0.0241116
87	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778694	0.975888	0.0241116
88	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778694	0.975888	0.0241116
89	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778694	0.975888	0.0241116
90	0.000840099	0.49916	0.997448	0.00255166	0.992213	0.00778694	0.975888	0.0241116
