Time	[A]	[G]	[GA]	[T]	[R]	[G*T]	[GD]	[Pi]	[D]	[RG]	[RG*T]	[G*AT]	[GAD]	[RGD]	[RGA]	[RG*AT]	[RGAD]
0	0	1e-08	0	0.000468	1e-06	0	0	0.0044	0.000149	0	0	0	0	0	0	0	0
1	0	5.35419e-17	0	0.000467991	9.90089e-07	8.93812e-11	3.13547e-14	0.0044	0.000148999	2.57887e-12	9.13361e-09	0	0	7.74397e-10	0	0	0
2	0	2.16826e-17	0	0.00046799	9.90094e-07	9.41241e-11	2.01699e-14	0.0044	0.000149	1.01762e-12	9.61315e-09	0	0	2.91688e-10	0	0	0
3	0	1.30481e-17	0	0.00046799	9.90095e-07	9.54096e-11	1.71387e-14	0.0044	0.000149	5.94488e-13	9.74312e-09	0	0	1.60863e-10	0	0	0
4	0	1.07056e-17	0	0.00046799	9.90096e-07	9.57583e-11	1.63163e-14	0.0044	0.000149	4.79693e-13	9.77837e-09	0	0	1.25371e-10	0	0	0
5	0	1.00699e-17	0	0.000467989	9.90096e-07	9.58529e-11	1.60932e-14	0.0044	0.000149001	4.48545e-13	9.78794e-09	0	0	1.1574e-10	0	0	0
6	0	9.90994e-18	0	0.000467989	9.90096e-07	9.58768e-11	1.60369e-14	0.0044	0.000149001	4.40704e-13	9.79035e-09	0	0	1.13316e-10	0	0	0
7	0	9.85166e-18	0	0.000467989	9.90096e-07	9.58854e-11	1.60165e-14	0.0044	0.000149001	4.37848e-13	9.79123e-09	0	0	1.12433e-10	0	0	0
8	0	9.83556e-18	0	0.000467989	9.90096e-07	9.58878e-11	1.60109e-14	0.0044	0.000149001	4.37059e-13	9.79147e-09	0	0	1.12189e-10	0	0	0
9	0	9.82858e-18	0	0.000467989	9.90096e-07	9.58889e-11	1.60084e-14	0.0044	0.000149001	4.36717e-13	9.79157e-09	0	0	1.12083e-10	0	0	0
10	0	9.83029e-18	0	0.000467989	9.90096e-07	9.58886e-11	1.6009e-14	0.0044	0.000149001	4.36801e-13	9.79155e-09	0	0	1.12109e-10	0	0	0
11	0	9.82834e-18	0	0.000467989	9.90096e-07	9.58889e-11	1.60083e-14	0.0044	0.000149001	4.36705e-13	9.79158e-09	0	0	1.1208e-10	0	0	0
12	0	9.82854e-18	0	0.000467989	9.90096e-07	9.58889e-11	1.60084e-14	0.0044	0.000149001	4.36715e-13	9.79158e-09	0	0	1.12083e-10	0	0	0
13	0	9.83032e-18	0	0.000467988	9.90096e-07	9.58886e-11	1.6009e-14	0.0044	0.000149002	4.36802e-13	9.79155e-09	0	0	1.1211e-10	0	0	0
14	0	9.82983e-18	0	0.000467988	9.90096e-07	9.58887e-11	1.60089e-14	0.0044	0.000149002	4.36778e-13	9.79156e-09	0	0	1.12102e-10	0	0	0
15	0	9.82857e-18	0	0.000467988	9.90096e-07	9.58889e-11	1.60084e-14	0.0044	0.000149002	4.36716e-13	9.79158e-09	0	0	1.12083e-10	0	0	0
16	0	9.82749e-18	0	0.000467988	9.90096e-07	9.5889e-11	1.6008e-14	0.0044	0.000149002	4.36663e-13	9.79159e-09	0	0	1.12067e-10	0	0	0
17	0	9.82778e-18	0	0.000467988	9.90096e-07	9.5889e-11	1.60081e-14	0.0044	0.000149002	4.36677e-13	9.79159e-09	0	0	1.12071e-10	0	0	0
18	0	9.82883e-18	0	0.000467988	9.90096e-07	9.58888e-11	1.60085e-14	0.0044	0.000149002	4.36729e-13	9.79157e-09	0	0	1.12087e-10	0	0	0
19	0	9.82986e-18	0	0.000467988	9.90096e-07	9.58887e-11	1.60089e-14	0.0044	0.000149002	4.36779e-13	9.79156e-09	0	0	1.12103e-10	0	0	0
