Time	[LHY mRNA]	[LHY protein in cytoplasm]	[LHY protein in nucleus]	[TOC1 mRNA]	[TOC1 protein  in cytoplasm]	[TOC1 protein in nucleus]	[X mRNA]	[X protein in cytoplasm]	[X protein in nucleus]	[Y mRNA]	[Y protein in the cytoplasm]	[Y protein in nucleus]	[light sensitive protein P]	[PPR7/9 mRNA]	[PPR7/9 protein in cytoplasm]	[PPR7/9 protein in nucleus]
0	0.4625	0.0132	0.0699	0.4303	10.2965	0.5402	0.0957	1.5413	0.4585	0.0303	0.0041	0.0122	0.8476	14.6921	0.7027	0.8648
1	1.38005	0.039798	0.212459	0.510165	7.93868	0.354536	0.0717411	1.49388	0.447544	0.121896	0.0175296	0.0305784	0.146303	16.3724	1.11325	0.88832
2	1.19937	0.0352634	0.24052	0.622696	6.49086	0.255929	0.0513172	1.41298	0.426191	0.0389205	0.0104758	0.0415713	0.0208263	17.0313	1.61277	1.01451
3	0.861548	0.025455	0.184519	0.710384	5.76317	0.212331	0.0386874	1.3116	0.397567	0.0266348	0.00697312	0.0385309	0.00283962	17.4635	2.11686	1.22912
4	0.544026	0.0161076	0.117969	0.800097	5.55104	0.198486	0.0326179	1.20328	0.365813	0.0321446	0.0063785	0.0337951	0.000384696	17.8077	2.62632	1.51537
5	0.307694	0.009123	0.0668041	0.905237	5.75061	0.205227	0.0312072	1.09762	0.334103	0.0445965	0.00707824	0.0312912	5.20707e-05	18.0865	3.14394	1.86072
6	0.160726	0.00476978	0.034874	1.03367	6.31889	0.230445	0.0334311	1.00121	0.30462	0.0608923	0.00860846	0.0318387	7.0472e-06	18.2985	3.66745	2.2552
7	0.0800535	0.00237675	0.0173501	1.19326	7.26627	0.276916	0.0390696	0.919249	0.278997	0.077013	0.0105777	0.0352718	9.53746e-07	18.4251	4.18861	2.68964
8	0.0389858	0.00115746	0.00842923	1.38311	8.63654	0.352069	0.0484043	0.856534	0.258677	0.089163	0.0124948	0.0407082	1.29077e-07	18.4179	4.68972	3.15382
9	0.0189106	0.00056116	0.00406835	1.58912	10.4599	0.466842	0.0615873	0.817734	0.245064	0.0956526	0.0139835	0.0468685	1.74698e-08	18.1772	5.13544	3.63364
10	0.009285	0.000275207	0.00197855	1.79175	12.7245	0.633435	0.0777959	0.806378	0.239329	0.0954244	0.0148029	0.0524987	2.36486e-09	17.5268	5.45909	4.10641
11	0.00470543	0.000139158	0.000985276	1.97248	15.3777	0.861836	0.0949848	0.82309	0.241931	0.085585	0.0146164	0.0563815	3.20465e-10	16.2304	5.54864	4.53364
12	0.00253787	7.47493e-05	0.000514843	2.11192	18.3271	1.15466	0.110749	0.864687	0.252246	0.0643545	0.0130115	0.0570763	4.34185e-11	14.122	5.25244	4.85394
13	0.00153724	4.49478e-05	0.000294728	2.18583	21.417	1.50116	0.123498	0.925179	0.268701	0.0395132	0.0102723	0.0535311	5.87725e-12	11.3321	4.43293	4.98382
14	0.0011451	3.30756e-05	0.00019963	2.1701	24.4036	1.87313	0.132845	0.997822	0.289327	0.0215563	0.00750202	0.0465104	7.957e-13	8.37208	3.05834	4.83588
15	0.00119059	3.37863e-05	0.000180552	2.05362	26.9721	2.22669	0.139206	1.07674	0.31229	0.0119177	0.00539813	0.0381574	1.07755e-13	5.92652	1.28117	4.35318
16	0.00194796	5.41763e-05	0.000250997	1.84617	28.8018	2.51129	0.143253	1.15755	0.336161	0.00738155	0.00396265	0.0302451	1.4583e-14	4.57408	0.0654633	3.58384
17	0.0044973	0.000124029	0.000532081	1.57659	29.6436	2.682	0.145585	1.23721	0.359933	0.00539948	0.00299655	0.0235747	1.97361e-15	4.67078	0.0561119	2.87405
18	0.0112617	0.0003103	0.00131408	1.28447	29.3784	2.71024	0.146598	1.31367	0.382921	0.00475395	0.0023479	0.0183017	2.672e-16	6.01427	0.0698266	2.30639
19	0.0278125	0.000767468	0.00327264	1.00856	28.0365	2.58967	0.146466	1.3854	0.404633	0.0050341	0.00193558	0.0143186	3.622e-17	7.89885	0.102391	1.85721
20	0.0647824	0.00179365	0.00779723	0.776178	25.7744	2.33574	0.145136	1.45102	0.424653	0.00631718	0.00173269	0.0114706	4.91283e-18	9.76777	0.155961	1.5075
21	0.135918	0.00378443	0.0170242	0.599493	22.8242	1.98053	0.14226	1.50883	0.442515	0.0091524	0.00176479	0.00966477	6.6523e-19	11.3975	0.23665	1.24295
22	0.246183	0.00690653	0.0326444	0.480734	19.4513	1.56682	0.137041	1.55629	0.457546	0.0147887	0.00213218	0.00895354	9.01343e-20	12.7548	0.353745	1.05384
23	0.378654	0.0107099	0.0536533	0.420982	15.9432	1.14552	0.127963	1.58906	0.468632	0.0246524	0.0030115	0.00962023	1.21982e-20	13.8717	0.517545	0.934581
24	0.500491	0.0142641	0.0757528	0.421568	12.622	0.774335	0.112922	1.59993	0.473889	0.0353805	0.00432373	0.0119842	1.6512e-21	14.7921	0.735856	0.882741
25	0.578668	0.0166054	0.0931226	0.470082	9.81045	0.502118	0.0914127	1.57962	0.470669	0.0397011	0.00535879	0.015469	2.23507e-22	15.5547	1.01127	0.897484
26	0.587867	0.0169784	0.1002	0.538767	7.70945	0.336454	0.0679974	1.52302	0.456938	0.0397666	0.00582828	0.0187305	3.02659e-23	16.1898	1.34097	0.978062
27	0.519689	0.0151038	0.0935769	0.612613	6.33387	0.247155	0.04908	1.43562	0.43341	0.0407715	0.00613349	0.0212334	4.10007e-24	16.7202	1.71855	1.12282
28	0.396452	0.0115892	0.0750279	0.69799	5.59894	0.204292	0.0370708	1.3298	0.403328	0.0450801	0.00664509	0.0233829	5.56385e-25	17.162	2.13587	1.32882
29	0.263671	0.00774405	0.0519174	0.808628	5.42276	0.191954	0.0312377	1.21781	0.370425	0.0534219	0.00756758	0.0258913	7.55078e-26	17.5246	2.58412	1.59187
30	0.157407	0.00463843	0.0318534	0.953386	5.76075	0.204394	0.0304266	1.1093	0.337786	0.0650766	0.00895465	0.029394	1.02421e-26	17.8092	3.05368	1.90656
31	0.0873551	0.00257943	0.0179748	1.13214	6.59811	0.242122	0.0341263	1.01191	0.307825	0.0776615	0.0106618	0.0341793	1.3914e-27	18.0046	3.53263	2.26622
32	0.0464721	0.00137365	0.00964402	1.33601	7.93	0.310207	0.042397	0.932392	0.282606	0.0882825	0.0123893	0.04001	1.89126e-28	18.0779	4.00342	2.66219
33	0.024282	0.000717857	0.00504772	1.55016	9.74109	0.417395	0.0552442	0.876968	0.264021	0.0950031	0.0138389	0.046214	2.56186e-29	17.9602	4.43678	3.08234
34	0.0127215	0.000375821	0.00263076	1.75841	11.9954	0.574717	0.07177	0.850411	0.253637	0.0963721	0.0147727	0.0519455	3.47823e-30	17.5293	4.78212	3.50802
35	0.00683042	0.000201414	0.00139276	1.94586	14.6371	0.792523	0.0898177	0.854299	0.252222	0.0893488	0.0148611	0.0562355	4.71819e-31	16.6108	4.95655	3.90915
36	0.00386933	0.000113701	0.000767955	2.09632	17.5858	1.07549	0.106737	0.885945	0.25934	0.0705101	0.0136083	0.0577487	6.38857e-32	15.0448	4.84341	4.2387
37	0.00241703	7.05996e-05	0.000457785	2.18755	20.7095	1.41646	0.120643	0.939294	0.273446	0.0450491	0.0110208	0.05515	8.64526e-33	12.8351	4.31958	4.43087
38	0.00178202	5.15526e-05	0.000312992	2.1941	23.7898	1.79134	0.130957	1.00714	0.29246	0.0247801	0.00812671	0.0486734	1.17025e-33	10.2772	3.31812	4.41018
39	0.00170413	4.86162e-05	0.000268153	2.10027	26.5249	2.15911	0.13804	1.083	0.314379	0.0134047	0.00582788	0.0403302	1.58437e-34	7.90598	1.89896	4.11472
40	0.00235177	6.59144e-05	0.000321939	1.91054	28.5869	2.46928	0.142603	1.16196	0.337609	0.00798135	0.00424444	0.0321218	2.14425e-35	6.30461	0.372109	3.53229
41	0.00483548	0.0001337	0.000587165	1.64991	29.7014	2.67405	0.145308	1.24062	0.361017	0.00557093	0.00318082	0.0250683	2.90192e-36	5.9503	0.0782621	2.84781
42	0.0117283	0.0003234	0.00137838	1.35656	29.7132	2.73985	0.146617	1.31667	0.383835	0.00466975	0.00246379	0.0194299	3.92737e-37	6.89366	0.0874204	2.28974
43	0.0285895	0.00078926	0.003376	1.07068	28.6166	2.6546	0.146764	1.38848	0.405531	0.00470654	0.00199497	0.0151265	5.31437e-38	8.51791	0.12041	1.84785
44	0.0658677	0.00182454	0.00795483	0.822992	26.5411	2.42874	0.145757	1.45465	0.425676	0.00562645	0.00173252	0.0119921	7.18295e-39	10.2221	0.177624	1.50446
