Time	[Zymogen]	[Enzyme]	[Peptide]	[Enzyme-Substrate complex]
0	2.4e-05	0	0	0
1	2.39031e-05	9.46698e-08	9.58069e-08	1.13702e-09
2	2.38043e-05	1.86727e-07	1.91224e-07	4.49697e-09
3	2.37038e-05	2.76249e-07	2.86244e-07	9.99492e-09
4	2.36016e-05	3.6331e-07	3.80863e-07	1.75525e-08
5	2.34978e-05	4.47981e-07	4.75074e-07	2.70928e-08
6	2.33926e-05	5.30332e-07	5.68873e-07	3.85406e-08
7	2.32859e-05	6.10432e-07	6.62255e-07	5.18228e-08
8	2.31779e-05	6.88347e-07	7.55215e-07	6.68684e-08
9	2.30686e-05	7.64141e-07	8.47749e-07	8.36084e-08
10	2.29582e-05	8.37877e-07	9.39853e-07	1.01976e-07
11	2.28466e-05	9.09617e-07	1.03152e-06	1.21906e-07
12	2.27339e-05	9.7942e-07	1.12276e-06	1.43336e-07
13	2.26202e-05	1.04735e-06	1.21355e-06	1.66203e-07
14	2.25057e-05	1.11345e-06	1.3039e-06	1.90449e-07
15	2.23902e-05	1.17778e-06	1.3938e-06	2.16016e-07
16	2.22739e-05	1.2404e-06	1.48325e-06	2.42848e-07
17	2.21569e-05	1.30136e-06	1.57225e-06	2.70891e-07
18	2.20391e-05	1.3607e-06	1.6608e-06	3.00093e-07
19	2.19207e-05	1.41849e-06	1.74889e-06	3.30402e-07
20	2.18017e-05	1.47475e-06	1.83652e-06	3.61769e-07
21	2.16822e-05	1.52954e-06	1.92369e-06	3.94147e-07
22	2.15621e-05	1.58291e-06	2.0104e-06	4.2749e-07
23	2.14416e-05	1.6349e-06	2.09665e-06	4.61754e-07
24	2.13207e-05	1.68554e-06	2.18243e-06	4.96894e-07
25	2.11994e-05	1.73488e-06	2.26775e-06	5.32868e-07
26	2.10778e-05	1.78297e-06	2.3526e-06	5.69638e-07
27	2.09558e-05	1.82982e-06	2.43699e-06	6.07163e-07
28	2.08337e-05	1.8755e-06	2.52091e-06	6.45406e-07
29	2.07113e-05	1.92002e-06	2.60435e-06	6.8433e-07
30	2.05888e-05	1.96343e-06	2.68733e-06	7.239e-07
31	2.04661e-05	2.00576e-06	2.76985e-06	7.64082e-07
32	2.03433e-05	2.04704e-06	2.85189e-06	8.04844e-07
33	2.02204e-05	2.08731e-06	2.93346e-06	8.46152e-07
34	2.00975e-05	2.12659e-06	3.01457e-06	8.87977e-07
35	1.99745e-05	2.16491e-06	3.0952e-06	9.30288e-07
36	1.98516e-05	2.20231e-06	3.17537e-06	9.73058e-07
37	1.97287e-05	2.23881e-06	3.25506e-06	1.01626e-06
38	1.96058e-05	2.27443e-06	3.33429e-06	1.05986e-06
39	1.94831e-05	2.30921e-06	3.41306e-06	1.10384e-06
40	1.93605e-05	2.34317e-06	3.49135e-06	1.14818e-06
41	1.9238e-05	2.37634e-06	3.56918e-06	1.19284e-06
42	1.91156e-05	2.40873e-06	3.64654e-06	1.23781e-06
43	1.89935e-05	2.44037e-06	3.72344e-06	1.28307e-06
44	1.88715e-05	2.47129e-06	3.79988e-06	1.32859e-06
45	1.87498e-05	2.50151e-06	3.87585e-06	1.37434e-06
46	1.86283e-05	2.53104e-06	3.95136e-06	1.42032e-06
47	1.85071e-05	2.55991e-06	4.02641e-06	1.4665e-06
48	1.83861e-05	2.58813e-06	4.101e-06	1.51287e-06
49	1.82655e-05	2.61573e-06	4.17513e-06	1.5594e-06
50	1.81451e-05	2.64273e-06	4.24881e-06	1.60608e-06
51	1.80251e-05	2.66914e-06	4.32203e-06	1.65289e-06
52	1.79054e-05	2.69498e-06	4.3948e-06	1.69982e-06
53	1.7786e-05	2.72026e-06	4.46711e-06	1.74685e-06
54	1.76671e-05	2.74501e-06	4.53897e-06	1.79396e-06
55	1.75485e-05	2.76924e-06	4.61038e-06	1.84114e-06
56	1.74303e-05	2.79296e-06	4.68135e-06	1.88838e-06
57	1.73125e-05	2.8162e-06	4.75187e-06	1.93567e-06
58	1.71951e-05	2.83895e-06	4.82194e-06	1.98299e-06
59	1.70781e-05	2.86124e-06	4.89157e-06	2.03032e-06
60	1.69616e-05	2.88309e-06	4.96076e-06	2.07767e-06
61	1.68455e-05	2.9045e-06	5.02951e-06	2.12501e-06
62	1.67299e-05	2.92548e-06	5.09782e-06	2.17233e-06
63	1.66147e-05	2.94606e-06	5.16569e-06	2.21963e-06
64	1.65e-05	2.96624e-06	5.23313e-06	2.26689e-06
65	1.63857e-05	2.98603e-06	5.30014e-06	2.31411e-06
66	1.6272e-05	3.00544e-06	5.36672e-06	2.36128e-06
67	1.61588e-05	3.02449e-06	5.43287e-06	2.40838e-06
68	1.6046e-05	3.04318e-06	5.49859e-06	2.45541e-06
69	1.59338e-05	3.06153e-06	5.56389e-06	2.50235e-06
70	1.5822e-05	3.07955e-06	5.62876e-06	2.54921e-06
71	1.57108e-05	3.09724e-06	5.69322e-06	2.59598e-06
72	1.56001e-05	3.11462e-06	5.75725e-06	2.64264e-06
73	1.54899e-05	3.13169e-06	5.82087e-06	2.68919e-06
74	1.53803e-05	3.14846e-06	5.88408e-06	2.73562e-06
75	1.52712e-05	3.16494e-06	5.94687e-06	2.78193e-06
76	1.51626e-05	3.18114e-06	6.00925e-06	2.82811e-06
77	1.50546e-05	3.19707e-06	6.07123e-06	2.87415e-06
78	1.49471e-05	3.21274e-06	6.13279e-06	2.92006e-06
79	1.48402e-05	3.22814e-06	6.19396e-06	2.96582e-06
80	1.47339e-05	3.2433e-06	6.25472e-06	3.01142e-06
81	1.4628e-05	3.25821e-06	6.31508e-06	3.05687e-06
