Time	[Z]	[Y]
0	0.15	1.6
1	0.297574	2.0861
2	0.222217	1.48437
3	0.290315	2.07309
4	0.217691	1.41062
5	0.283624	2.05405
6	0.213497	1.33307
7	0.277354	2.02951
8	0.211857	1.25035
9	0.271412	1.99986
10	0.234066	1.14857
11	0.26573	1.9654
12	0.471484	0.907103
13	0.260261	1.92634
14	1.04975	0.670927
15	0.254969	1.8829
16	0.504961	1.80188
17	0.249823	1.83521
18	0.364541	2.00988
19	0.244803	1.78341
20	0.337978	2.05977
21	0.23989	1.72761
22	0.323249	2.08266
23	0.235069	1.6679
24	0.312434	2.09183
25	0.230329	1.60436
26	0.303501	2.09145
27	0.22566	1.53706
28	0.295672	2.08342
29	0.221061	1.46605
30	0.288575	2.06882
31	0.216574	1.39136
32	0.282001	2.04834
33	0.212625	1.31276
34	0.275822	2.02248
35	0.213126	1.22776
36	0.269951	1.99158
37	0.256182	1.11142
38	0.264328	1.95594
39	0.611453	0.810853
40	0.258906	1.91576
41	1.20994	0.671503
42	0.253653	1.87122
43	0.426491	1.9079
44	0.248542	1.82249
45	0.35552	2.02686
46	0.24355	1.76966
47	0.333653	2.06728
48	0.238662	1.71287
49	0.32026	2.08605
50	0.233862	1.65218
51	0.310037	2.09254
52	0.229141	1.58768
53	0.301434	2.09008
54	0.224489	1.51944
55	0.293817	2.08031
56	0.21991	1.4475
57	0.286868	2.06417
58	0.215483	1.37186
59	0.280404	2.04229
60	0.21195	1.2921
61	0.27431	2.01512
62	0.216232	1.20376
63	0.268506	1.983
64	0.296482	1.06211
65	0.262938	1.94619
66	0.758729	0.736136
67	0.257562	1.90489
68	1.33012	0.742125
69	0.252347	1.85928
70	0.394364	1.95768
71	0.247268	1.8095
72	0.348464	2.0403
73	0.242304	1.75566
74	0.329799	2.07351
75	0.237439	1.69787
76	0.317461	2.08867
77	0.23266	1.63621
78	0.30774	2.09268
79	0.227957	1.57076
80	0.299429	2.08826
81	0.223322	1.50158
82	0.292004	2.0768
83	0.218767	1.42871
84	0.285191	2.05915
85	0.214433	1.35211
86	0.27883	2.0359
87	0.211619	1.27099
88	0.272816	2.00745
89	0.222613	1.17739
90	0.267077	1.97412
91	0.367044	0.993326
92	0.26156	1.93615
93	0.905446	0.691128
94	0.256228	1.89375
95	0.886421	1.36062
96	0.25105	1.84707
97	0.376159	1.98876
98	0.246001	1.79625
99	0.342674	2.0512
100	0.241064	1.7414
