Time	[BasalACh2]	[IntermediateACh]	[ActiveACh]	[Active]	[BasalACh]	[Basal]	[DesensitisedACh2]	[Desensitised]	[IntermediateACh2]	[DesensitisedACh]	[Intermediate]	[ActiveACh2]
0	0	0	0	0	0	1.66058e-05	0	0	0	0	0	0
1	1.39327e-08	7.83021e-08	6.9875e-09	1.98734e-11	1.48526e-07	3.96075e-07	6.79512e-07	4.83209e-12	1.46814e-05	3.62407e-09	1.04403e-10	5.9731e-07
2	1.32997e-08	7.47631e-08	6.67001e-09	1.89703e-11	1.41777e-07	3.78077e-07	1.39562e-06	9.92439e-12	1.40178e-05	7.4433e-09	9.96843e-11	5.70173e-07
3	1.26991e-08	7.13871e-08	6.36878e-09	1.81136e-11	1.35374e-07	3.61002e-07	2.07847e-06	1.47802e-11	1.33848e-05	1.10852e-08	9.5183e-11	5.44423e-07
4	1.21263e-08	6.81679e-08	6.08154e-09	1.72966e-11	1.29268e-07	3.44721e-07	2.72962e-06	1.94106e-11	1.27812e-05	1.4558e-08	9.08907e-11	5.19869e-07
5	1.15802e-08	6.50981e-08	5.80763e-09	1.65176e-11	1.23446e-07	3.29195e-07	3.35052e-06	2.38259e-11	1.22057e-05	1.78695e-08	8.67977e-11	4.96455e-07
6	1.10594e-08	6.21709e-08	5.54645e-09	1.57748e-11	1.17894e-07	3.1439e-07	3.9426e-06	2.80362e-11	1.16568e-05	2.10272e-08	8.28947e-11	4.74128e-07
7	1.05628e-08	5.93797e-08	5.29739e-09	1.50664e-11	1.12601e-07	3.00273e-07	4.50718e-06	3.2051e-11	1.11335e-05	2.40383e-08	7.9173e-11	4.52838e-07
8	1.00892e-08	5.6718e-08	5.05991e-09	1.4391e-11	1.07553e-07	2.86811e-07	5.04554e-06	3.58794e-11	1.06344e-05	2.69095e-08	7.56242e-11	4.32537e-07
9	9.63768e-09	5.418e-08	4.83344e-09	1.37469e-11	1.02739e-07	2.73975e-07	5.5589e-06	3.953e-11	1.01586e-05	2.96475e-08	7.22401e-11	4.13178e-07
10	9.20709e-09	5.17598e-08	4.61749e-09	1.31327e-11	9.81487e-08	2.61734e-07	6.04843e-06	4.30111e-11	9.70478e-06	3.22583e-08	6.90131e-11	3.94718e-07
11	8.79649e-09	4.94519e-08	4.41157e-09	1.2547e-11	9.37716e-08	2.50062e-07	6.51523e-06	4.63305e-11	9.27207e-06	3.47479e-08	6.5936e-11	3.77116e-07
12	8.40497e-09	4.72513e-08	4.21522e-09	1.19886e-11	8.95979e-08	2.38931e-07	6.96035e-06	4.94958e-11	8.85945e-06	3.71219e-08	6.30018e-11	3.6033e-07
13	8.03162e-09	4.51528e-08	4.02798e-09	1.14561e-11	8.5618e-08	2.28318e-07	7.3848e-06	5.25141e-11	8.466e-06	3.93856e-08	6.02038e-11	3.44325e-07
14	7.67561e-09	4.31518e-08	3.84943e-09	1.09482e-11	8.18228e-08	2.18198e-07	7.78954e-06	5.53923e-11	8.09081e-06	4.15442e-08	5.75358e-11	3.29062e-07
15	7.33613e-09	4.12437e-08	3.67918e-09	1.0464e-11	7.82039e-08	2.08547e-07	8.17548e-06	5.81368e-11	7.73305e-06	4.36026e-08	5.49917e-11	3.14508e-07
16	7.01242e-09	3.94242e-08	3.51683e-09	1.00023e-11	7.47531e-08	1.99345e-07	8.54351e-06	6.07538e-11	7.3919e-06	4.55654e-08	5.25657e-11	3.0063e-07
17	6.70374e-09	3.76892e-08	3.36202e-09	9.56199e-12	7.14625e-08	1.9057e-07	8.89444e-06	6.32494e-11	7.06659e-06	4.7437e-08	5.02523e-11	2.87397e-07
18	6.40939e-09	3.60347e-08	3.2144e-09	9.14214e-12	6.83247e-08	1.82202e-07	9.22908e-06	6.5629e-11	6.75639e-06	4.92218e-08	4.80464e-11	2.74778e-07
19	6.12871e-09	3.44571e-08	3.07364e-09	8.74178e-12	6.53326e-08	1.74223e-07	9.54818e-06	6.78982e-11	6.46059e-06	5.09236e-08	4.59429e-11	2.62745e-07
20	5.86106e-09	3.29528e-08	2.93941e-09	8.36002e-12	6.24794e-08	1.66614e-07	9.85246e-06	7.0062e-11	6.17853e-06	5.25465e-08	4.39371e-11	2.51271e-07
21	4.24778e-14	4.86201e-08	3.11355e-11	4.31589e-10	1.05844e-11	6.17513e-06	3.37235e-09	9.65946e-06	9.36152e-10	3.60969e-07	3.56818e-07	2.79085e-12
22	-2.61875e-17	1.61953e-10	1.03467e-13	3.33189e-10	3.48168e-14	6.57301e-06	1.16174e-12	1.00107e-05	1.47416e-13	6.74751e-09	1.48571e-08	-1.70795e-15
23	-3.96256e-21	5.51193e-13	3.52711e-16	3.30897e-10	1.18944e-16	6.59455e-06	2.66073e-16	1.00057e-05	8.19721e-18	1.22916e-10	5.11998e-09	-2.5868e-19
24	5.84249e-22	2.0958e-15	1.34099e-18	3.31416e-10	4.53392e-19	6.60653e-06	1.6355e-18	9.99402e-06	3.12837e-19	2.10256e-12	4.89222e-09	3.8167e-20
25	-4.05704e-24	4.30932e-17	2.75768e-20	3.32e-10	9.29193e-21	6.61828e-06	1.09482e-18	9.98228e-06	1.64167e-19	-5.10389e-15	4.88652e-09	-2.62131e-22
26	5.19759e-24	6.09354e-17	3.89974e-20	3.32585e-10	1.31625e-20	6.63e-06	2.9961e-19	9.97056e-06	6.15183e-20	7.90505e-15	4.88583e-09	3.40564e-22
27	1.43323e-23	3.48566e-16	2.23059e-19	3.3317e-10	7.52557e-20	6.64172e-06	1.68593e-18	9.95884e-06	2.81765e-19	7.14069e-14	4.88528e-09	9.41061e-22
28	3.41728e-24	1.27443e-16	8.1553e-20	3.33753e-10	2.75106e-20	6.65342e-06	5.14992e-19	9.94714e-06	7.51764e-20	3.01438e-14	4.88454e-09	2.24518e-22
29	-5.91909e-25	-9.35398e-18	-5.98637e-21	3.34336e-10	-2.02012e-21	6.6651e-06	-6.44713e-20	9.93546e-06	-1.28025e-20	-6.8466e-16	4.88381e-09	-3.88851e-23
