Time	[APAF-1]	[Caspase 9]	[Caspase 9-XIAP complex]	[XIAP]	[APAF-1-Caspase 9-XIAP complex]	[APAF-1-Caspase 9 complex]	[Caspase 3]	[Caspase 3 cleaved]	[Caspase 3 cleaved - XIAP complex]	[Caspase 9 cleaved-XIAP complex]	[Caspase 9 cleaved]	[APAF-1-Caspase 9 cleaved complex]	[Apaf-1-Caspase 9 cleaved -XIAP complex]	[Apaf-1-Caspase 9 cleaved -XIAP complex]	[Apaf-1-Caspase 9 cleaved -XIAP complex]	[Apaf-1-Caspase 9 cleaved -XIAP complex]	[Apaf-1-Caspase 9 cleaved -XIAP complex]
0	20	20	0	40	0	0	200	0	0	0	0	0	0	0	0	0	0
1	19.2679	18.5203	0.747452	39.222	0.0284111	0.703719	199.955	0.0427851	0.00209919	7.85183e-07	6.6098e-05	2.51215e-06	2.98452e-08	2.98452e-08	2.98452e-08	2.98452e-08	2.98452e-08
2	18.6552	17.2499	1.40452	38.4825	0.101318	1.24342	199.868	0.120049	0.0111882	7.66306e-06	0.000334465	2.41213e-05	5.52778e-07	5.52778e-07	5.52778e-07	5.52778e-07	5.52778e-07
3	18.1413	16.1498	1.98904	37.7752	0.20401	1.65448	199.75	0.218464	0.0299855	2.89754e-05	0.000854904	8.7651e-05	2.97182e-06	2.97182e-06	2.97182e-06	2.97182e-06	2.97182e-06
4	17.7092	15.189	2.51443	37.0955	0.325713	1.96432	199.607	0.32827	0.0597452	7.33749e-05	0.00163103	0.000211166	9.50429e-06	9.50429e-06	9.50429e-06	9.50429e-06	9.50429e-06
5	17.3454	14.3434	2.99092	36.4401	0.458547	2.19434	199.447	0.442421	0.10073	0.00014862	0.00264241	0.000404835	2.27839e-05	2.27839e-05	2.27839e-05	2.27839e-05	2.27839e-05
6	17.0386	13.5935	3.42638	35.8068	0.596782	2.36135	199.274	0.555928	0.152549	0.000261081	0.00385728	0.000671267	4.54695e-05	4.54695e-05	4.54695e-05	4.54695e-05	4.54695e-05
7	16.7796	12.9236	3.82692	35.194	0.736294	2.47857	199.092	0.665354	0.214406	0.000415606	0.00523982	0.00100713	7.99549e-05	7.99549e-05	7.99549e-05	7.99549e-05	7.99549e-05
8	16.5606	12.3212	4.19733	34.6006	0.874158	2.55648	198.904	0.768431	0.285269	0.000615577	0.0067541	0.00140504	0.000128192	0.000128192	0.000128192	0.000128192	0.000128192
9	16.3754	11.776	4.54141	34.0257	1.00835	2.60341	198.713	0.863753	0.363994	0.000863049	0.0083663	0.00185523	0.00019161	0.00019161	0.00019161	0.00019161	0.00019161
10	16.2186	11.2796	4.86221	33.4686	1.13753	2.62598	198.519	0.950556	0.449406	0.00115893	0.0100457	0.00234689	0.000271111	0.000271111	0.000271111	0.000271111	0.000271111
11	16.0857	10.8252	5.16221	32.929	1.26083	2.62946	198.325	1.02853	0.540357	0.00150314	0.0117651	0.00286909	0.000367103	0.000367103	0.000367103	0.000367103	0.000367103
12	15.9731	10.4071	5.44343	32.4063	1.37779	2.61807	198.132	1.09771	0.635761	0.00189481	0.0135009	0.0034115	0.000479566	0.000479566	0.000479566	0.000479566	0.000479566
13	15.8776	10.0204	5.70758	31.9002	1.48819	2.59519	197.941	1.15834	0.734617	0.00233243	0.0152329	0.00396471	0.000608128	0.000608128	0.000608128	0.000608128	0.000608128
14	15.7967	9.66146	5.95609	31.4104	1.59201	2.56351	197.751	1.21083	0.836014	0.00281399	0.0169441	0.00452044	0.000752138	0.000752138	0.000752138	0.000752138	0.000752138
15	15.7279	9.32681	6.19019	30.9365	1.68938	2.52518	197.565	1.25567	0.939142	0.0033371	0.0186205	0.00507166	0.000910739	0.000910739	0.000910739	0.000910739	0.000910739
16	15.6696	9.01371	6.41092	30.4782	1.78051	2.48193	197.381	1.29342	1.04329	0.00389909	0.0202507	0.00561252	0.00108293	0.00108293	0.00108293	0.00108293	0.00108293
17	15.6201	8.71983	6.61924	30.0351	1.86568	2.43513	197.201	1.32466	1.14783	0.00449715	0.0218253	0.00613829	0.00126763	0.00126763	0.00126763	0.00126763	0.00126763
18	15.5781	8.44317	6.81597	29.6068	1.94519	2.38589	197.025	1.34996	1.25223	0.00512831	0.0233374	0.00664526	0.00146369	0.00146369	0.00146369	0.00146369	0.00146369
19	15.5424	8.18204	7.00186	29.193	2.01938	2.33507	196.852	1.36988	1.35604	0.00578961	0.0247815	0.00713061	0.00166997	0.00166997	0.00166997	0.00166997	0.00166997
20	15.512	7.93497	7.17758	28.7932	2.08858	2.28336	196.683	1.38498	1.45887	0.00647807	0.0261537	0.0075923	0.00188534	0.00188534	0.00188534	0.00188534	0.00188534
21	15.4863	7.7007	7.34374	28.4071	2.15312	2.23131	196.517	1.39575	1.56041	0.00719078	0.0274513	0.00802895	0.00210869	0.00210869	0.00210869	0.00210869	0.00210869
