Time	[S]	[X1]	[E1]	[E2]	[P]	[Etot]
0	1	0	1	0	0	1
1	0.367879	0.632121	1	0	0	1
2	0.246597	0.436316	0.4	0.6	0.317087	1
3	0.165299	0.299383	0.4	0.6	0.535319	1
4	0.110803	0.204475	0.4	0.6	0.684722	1
5	0.0742736	0.139145	0.4	0.6	0.786581	1
6	0.0497871	0.0944143	0.4	0.6	0.855799	1
7	0.0333733	0.0639147	0.4	0.6	0.902712	1
8	0.0223708	0.0431874	0.4	0.6	0.934442	1
9	0.0149956	0.0291382	0.4	0.6	0.955866	1
10	0.0100518	0.0196356	0.4	0.6	0.970313	1
11	0.00673794	0.013219	0.4	0.6	0.980043	1
12	0.00451658	0.00889217	0.4	0.6	0.986591	1
13	0.00302755	0.00597773	0.4	0.6	0.990995	1
14	0.00202943	0.00401639	0.4	0.6	0.993954	1
15	0.00136037	0.00269743	0.4	0.6	0.995942	1
16	0.00091188	0.00181097	0.4	0.6	0.997277	1
17	0.000611251	0.00121548	0.4	0.6	0.998173	1
18	0.000409734	0.000815615	0.4	0.6	0.998775	1
19	0.000274653	0.000547191	0.4	0.6	0.999178	1
20	0.000184105	0.00036705	0.4	0.6	0.999449	1
21	0.000123409	0.000246182	0.4	0.6	0.99963	1
22	8.27237e-05	0.000165098	0.4	0.6	0.999752	1
23	5.54513e-05	0.000110711	0.4	0.6	0.999834	1
24	3.71701e-05	7.4235e-05	0.4	0.6	0.999889	1
25	2.49159e-05	4.9774e-05	0.4	0.6	0.999925	1
26	1.67016e-05	3.33715e-05	0.4	0.6	0.99995	1
27	1.11954e-05	2.23734e-05	0.4	0.6	0.999966	1
28	7.50451e-06	1.49995e-05	0.4	0.6	0.999977	1
29	5.03042e-06	1.00556e-05	0.4	0.6	0.999985	1
30	3.37199e-06	6.74111e-06	0.4	0.6	0.99999	1
31	2.26031e-06	4.51905e-06	0.4	0.6	0.999993	1
32	1.51513e-06	3.0294e-06	0.4	0.6	0.999995	1
33	1.01562e-06	2.03077e-06	0.4	0.6	0.999997	1
34	6.80793e-07	1.36132e-06	0.4	0.6	0.999998	1
35	4.56349e-07	9.12554e-07	0.4	0.6	0.999999	1
36	3.059e-07	6.11721e-07	0.4	0.6	0.999999	1
37	2.05051e-07	4.10058e-07	0.4	0.6	0.999999	1
38	1.37449e-07	2.74875e-07	0.4	0.6	1	1
39	9.2135e-08	1.84257e-07	0.4	0.6	1	1
40	6.17599e-08	1.23513e-07	0.4	0.6	1	1
41	4.13989e-08	8.27939e-08	0.4	0.6	1	1
42	2.77505e-08	5.54988e-08	0.4	0.6	1	1
