Time	[APCC]	[APCCYCdk1Y00YCdk1Y01YInt]	[APCCYCdk1Y10YCdk1Y11YInt]	[APCCYCdk2Y000YCdk2Y002YInt]	[APCCYCdk2Y010YCdk2Y012YInt]	[APCCYCdk2Y100YCdk2Y102YInt]	[APCCYCdk2Y110YCdk2Y112YInt]	[APCCYCyclinAYInt]	[APCCYEmi1]	[Cdk1Y00]	[Cdk1Y01]	[Cdk1Y10]	[Cdk1Y11]	[Cdk1Y11YpRbY10YpRbY20YInt]	[Cdk1Y11YpRbY11YpRbY21YInt]	[Cdk2Y000]	[Cdk2Y001]	[Cdk2Y002]	[Cdk2Y010]	[Cdk2Y011]	[Cdk2Y011YpRbY10YpRbY20YInt]	[Cdk2Y011YpRbY11YpRbY21YInt]	[Cdk2Y012]	[Cdk2Y012YpRbY10YpRbY20YInt]	[Cdk2Y012YpRbY11YpRbY21YInt]	[Cdk2Y100]	[Cdk2Y101]	[Cdk2Y102]	[Cdk2Y110]	[Cdk2Y111]	[Cdk2Y112]	[Cdk4Y00]	[Cdk4Y01]	[Cdk4Y01YpRbY00YpRbY10YInt]	[Cdk4Y01YpRbY01YpRbY11YInt]	[Cdk4Y10]	[Cdk4Y11]	[CyclinA]	[CyclinD]	[CyclinE]	[E2F]	[Emi1]	[p27]	[pRbY00]	[pRbY01]	[pRbY10]	[pRbY11]	[pRbY20]	[pRbY21]	[totalYCyclinYD]	[totalYCyclinYE]	[totalYCyclinYA]	[totalYp27]	[hypophosphorylatedYpRb]	[hyperphosphorylatedYpRb]	[totalYEmi1]	[activeYCdk2]
0	24582.9	104.388	0	52.8191	0	90.5091	0	8.79462	5160.61	98550.6	1345.01	0	0	0	0	33942	2176.46	680.557	0	0	0	0	0	0	0	58162	3729.51	1166.18	0	0	0	46551.9	6547.64	0	0	41117.2	5783.23	113.316	14753.7	191.985	546.211	248.046	14150.9	30000	0	28583.4	1416.59	0	0	27084.6	6097.95	3305.06	124109	30000	0	5408.66	0
1	24487.1	102.178	0	51.6858	88.058	88.6101	-1.00865	7.95799	5154.67	98586.4	1311.44	0	0	0	0	33946.1	2173.85	663.289	315.898	0.984391	0.234615	0.0108076	-188.42	-209.452	-9.89373	58211.3	3727.76	1137.42	20.7209	0.105578	-17.2379	46356.2	4847.54	1996.93	5.66961	41118.2	5675.5	100.755	14629.2	189.598	435.499	243.644	14238.2	25457.1	112.825	31244.4	1418.79	-15.9306	-0.742861	25152.2	6092.3	3007.25	124112	32663.2	-16.6735	5398.32	-187.436
2	24503.1	97.2007	0	49.1253	84.3521	84.3555	-2.51365	7.29061	5136.44	98660.2	1242.6	0	0	0	0	33952.2	2166.28	627.905	629.759	3.76344	1.26431	0.0523144	-217.13	-527.293	-23.2292	58320.6	3721.08	1078.57	85.7801	0.845964	-35.6512	46135.4	5145.31	2030.11	12.1017	41109.1	5567.93	92.9491	14496	187.15	378.803	238.25	14269.4	21882.1	168.195	35117.3	1428.41	-85.347	-3.6765	25209.3	6079.12	2789.24	124118	36545.7	-89.0235	5374.69	-213.367
3	24529.4	91.8061	0	46.3712	79.7378	79.7378	-3.48539	6.88546	5110.02	98735.8	1172.43	0	0	0	0	33970.6	2157.02	592.162	874.318	7.48358	3.00484	0.113359	-226.812	-837.165	-34.4876	58425.9	3709.86	1018.46	181.608	2.53351	-46.849	45993.5	5509.98	1893.36	16.5515	41079.7	5506.88	88.1065	14413.2	185.231	348.245	234.292	14245	18630.3	190.523	38909.5	1446.07	-209.509	-8.33432	25430.1	6062.13	2597.5	124123	40355.6	-217.843	5344.31	-219.328
4	24558.3	87.0813	0	43.988	75.6784	75.6784	-4.03419	6.62913	5079.23	98800.6	1112.35	0	0	0	0	34005.1	2147.76	561.939	1066.23	11.6589	5.30113	0.185859	-233.462	-1127.73	-43.6911	58503.7	3695.09	966.781	297.718	5.18936	-53.0396	45925.5	5828.26	1713.57	18.9348	41032	5481.75	84.9812	14373.9	183.661	331.197	231.289	14198.3	15707.7	193.15	42457.1	1470.69	-381.16	-14.032	25683.9	6043.36	2439.55	124127	43927.8	-395.192	5310.52	-221.803
5	24587	83.2909	0	42.1049	72.4057	72.4057	-4.32961	6.4603	5046.24	98852.1	1064.58	0	0	0	0	34054.1	2139.06	538.276	1220.01	16.0453	8.02631	0.265956	-239.623	-1400.19	-51.3552	58550.8	3677.78	925.482	426.358	8.70279	-56.3083	45916.2	6094.1	1516.28	19.6694	40972.1	5481.59	82.8754	14368.3	182.319	321.162	228.824	14144	13130.6	184.248	45705.7	1500.29	-593.22	-20.2648	25944	6023.91	2315.29	124130	47206	-613.485	5275.06	-223.577
6	24614.3	80.3719	0	40.6819	69.8692	69.8692	-4.4839	6.34342	5012.21	98891.8	1027.84	0	0	0	0	34114.5	2131.02	520.419	1346.96	20.5288	11.0829	0.351809	-245.966	-1657.31	-57.9425	58571.2	3658.75	893.508	561.969	12.9163	-57.9746	45950.7	6309.73	1316.55	19.2202	40905.9	5497.81	81.3793	14387.3	181.131	314.765	226.66	14088.2	10896	169.02	48636.7	1532.77	-839.705	-26.6954	26194.9	6004.35	2219.21	124132	50169.5	-866.4	5238.87	-225.438
7	24640.3	78.1581	0	39.6282	67.9293	67.9293	-4.56399	6.25768	4977.73	98922	999.854	0	0	0	0	34183.3	2123.6	507.136	1455.33	25.0607	14.3983	0.442435	-252.682	-1901.68	-63.8039	58570.8	3638.64	868.944	700.712	17.669	-58.8134	46015.9	6479.32	1124.92	17.991	40838	5523.81	80.2519	14423.2	180.05	310.26	224.665	14033.5	8985.07	150.826	51254.3	1566.28	-1115.68	-33.1096	26426.3	5985.02	2144.69	124133	52820.6	-1148.79	5202.4	-227.621
8	24665	76.4755	0	38.8511	66.4394	66.4394	-4.6081	6.19088	4943.13	98945.1	978.383	0	0	0	0	34257.9	2116.68	497.24	1550.92	29.6227	17.9188	0.537172	-259.775	-2135.46	-69.187	58555.1	3617.9	849.904	840.029	22.8161	-59.2623	46101.2	6608.31	948.22	16.3061	40771.3	5554.65	79.3509	14469.4	179.046	306.748	222.771	13981	7368.99	131.817	53577.9	1599.36	-1417.06	-39.3786	26632.4	5966.06	2085.84	124133	55177.3	-1456.44	5165.9	-230.152
9	24688.7	75.1769	0	38.2728	65.2749	65.2749	-4.63729	6.13584	4908.56	98963.2	961.593	0	0	0	0	34336.2	2110.15	489.762	1637.67	34.2081	21.604	0.635448	-267.182	-2360.26	-74.2569	58528.6	3596.88	834.836	978.269	28.2365	-59.5594	46198.2	6702.88	790.108	14.411	40707.7	5586.74	78.5918	14520.8	178.102	303.771	220.939	13931.1	6013.72	113.317	55635.6	1631.01	-1740.46	-45.4302	26810.4	5947.58	2038.04	124133	57266.6	-1785.89	5129.5	-232.974
10	24711.6	74.1491	0	37.8337	64.3404	64.3404	-4.66262	6.08826	4874.12	98977.8	948.094	0	0	0	0	34416.4	2103.91	483.967	1718.19	38.8132	25.4234	0.736703	-274.818	-2577.32	-79.1182	58495.1	3575.85	822.565	1114.41	33.8324	-59.8276	46300.7	6769.39	651.836	12.4793	40647.9	5617.63	77.9241	14573.4	177.205	301.091	219.15	13884	4883.95	96.0828	57459.5	1660.62	-2082.99	-51.2281	26960.5	5929.61	1997.9	124132	59120.1	-2134.22	5093.27	-236.005
11	24733.9	73.3097	0	37.4901	63.5665	63.5665	-4.68949	6.04557	4839.85	98989.8	936.878	0	0	0	0	34497.2	2097.9	479.327	1794.22	43.4337	29.3527	0.840377	-282.597	-2787.52	-83.8328	58457.3	3554.97	812.245	1247.83	39.5276	-60.1253	46404.3	6813.88	532.969	10.6243	40592.4	5645.79	77.3169	14624.5	176.347	298.586	217.391	13839.8	3945.74	80.4877	59082.4	1687.87	-2442.18	-56.7586	27084.2	5912.17	1963.04	124130	60770.3	-2498.94	5057.24	-239.163
