Time	[MAPK]	[MAPK_MEK-PP]	[MAPK-P]	[MAPK phosphatase]	[MAPK-P_MAPKPase]	[MAPK-P_MEK-PP]	[MAPK-PP]	[MAPK-PP_MAPKPase]	[MEK]	[MEK-P]	[MEK phosphatase]	[MEK-P_MEKPase]	[MEK-PP]	[MEK-PP_MEKPase]	[MEK-P_RAF-P]	[MEK_RAF-P]	[RAF]	[RAFK]	[RAF-P]	[RAF phosphatase]	[RAF-P_RAFPase]	[RAF_RAFK]
0	0.4	0	0	0.3	0	0	0	0	0.2	0	0.2	0	0	0	0	0	0.3	0.2	0	0.3	0	0
1	0.4	4.32661e-11	4.36957e-13	0.3	6.53863e-14	2.32308e-23	1.26221e-25	1.01446e-26	0.199607	7.63655e-06	0.199997	2.95918e-06	4.42631e-11	1.05865e-11	6.88793e-09	0.000382609	0.259491	0.161707	0.00174822	0.299915	8.5322e-05	0.0382926
2	0.4	5.81599e-09	1.13156e-10	0.3	3.54067e-11	8.44647e-19	9.3338e-21	1.61421e-21	0.19799	6.59111e-05	0.199952	4.76984e-05	2.91714e-09	1.39185e-09	3.21974e-07	0.00189635	0.240106	0.14698	0.00456036	0.299583	0.000416731	0.0530204
3	0.4	7.62109e-08	2.1116e-09	0.3	1.00846e-09	2.1609e-16	3.55641e-18	9.61384e-19	0.195399	0.000200784	0.1998	0.000199658	2.59238e-08	1.78558e-08	2.36069e-06	0.0041983	0.229012	0.141445	0.00731881	0.299086	0.000914026	0.0585548
4	0.4	4.12017e-07	1.44116e-08	0.3	9.17381e-09	8.33269e-15	1.79209e-16	6.61385e-17	0.192226	0.000413241	0.199502	0.000497899	1.09065e-07	9.46521e-08	8.58046e-06	0.00685414	0.221398	0.139675	0.00992839	0.298514	0.00148608	0.0603246
5	0.399998	1.41342e-06	5.86287e-08	0.3	4.60817e-08	1.21055e-13	3.16608e-15	1.47673e-15	0.188722	0.000696482	0.199048	0.000951701	3.13796e-07	3.18881e-07	2.18118e-05	0.00960641	0.215329	0.139479	0.012437	0.297916	0.00208397	0.0605215
6	0.399996	3.6926e-06	1.75043e-07	0.3	1.61799e-07	9.79314e-13	2.98215e-14	1.67278e-14	0.185029	0.00104207	0.198446	0.00155306	7.19741e-07	8.19316e-07	4.4829e-05	0.0123261	0.209999	0.139942	0.0148859	0.297314	0.00268627	0.0600576
7	0.399991	8.06107e-06	4.26385e-07	0.3	4.48295e-07	5.38087e-12	1.85302e-13	1.20791e-13	0.181228	0.00144162	0.197712	0.00228611	1.42147e-06	1.76118e-06	8.0145e-05	0.0149527	0.205066	0.140681	0.0172972	0.296715	0.00328471	0.059319
8	0.399983	1.55051e-05	9.00177e-07	0.299999	1.05108e-06	2.25039e-11	8.59021e-13	6.34675e-13	0.17737	0.00188722	0.196864	0.00313221	2.52535e-06	3.33899e-06	0.000129914	0.0174589	0.200383	0.141529	0.0196813	0.296123	0.0038765	0.0584706
9	0.399969	2.71556e-05	1.70986e-06	0.299998	2.17823e-06	7.68808e-11	3.20594e-12	2.63458e-12	0.17349	0.00237152	0.195922	0.00407243	4.14649e-06	5.76889e-06	0.00019589	0.0198331	0.195884	0.142417	0.0220426	0.295539	0.00446092	0.0575833
10	0.399949	4.42558e-05	2.99492e-06	0.299996	4.10653e-06	2.24803e-10	1.01292e-11	9.12398e-12	0.169613	0.00288776	0.194902	0.00508866	6.40586e-06	9.28109e-06	0.000279415	0.0220715	0.191541	0.143312	0.0243823	0.294962	0.00503786	0.0566881
11	0.39992	6.81295e-05	4.92013e-06	0.299993	7.18475e-06	5.81151e-10	2.80575e-11	2.73846e-11	0.165759	0.00342973	0.193822	0.00616412	9.42766e-06	1.41129e-05	0.000381433	0.0241738	0.187339	0.144202	0.0267004	0.294393	0.00560736	0.0557983
12	0.39988	0.00010015	7.67409e-06	0.299988	1.18343e-05	1.35938e-09	6.98536e-11	7.31824e-11	0.161946	0.00399173	0.192696	0.00728355	1.33368e-05	2.05026e-05	0.000502507	0.0261421	0.18327	0.14508	0.0289959	0.293831	0.00616941	0.0549202
13	0.399828	0.000141711	1.14672e-05	0.299981	1.85474e-05	2.92723e-09	1.59218e-10	1.7764e-10	0.158187	0.00456855	0.191538	0.00843323	1.82569e-05	2.86841e-05	0.000642853	0.0279794	0.17933	0.145944	0.0312677	0.293276	0.00672391	0.0540563
