Time	[Z]	[Y]	[Total Protein]	[Phosphorylated protein]
0	0.15	1.6	1	1
1	0.233123	1.27202	1	0.872965
2	0.990516	0.677075	1	0.737555
3	0.332379	1.96268	1	0.364266
4	0.286352	1.86947	1	0.383672
5	0.259792	1.68351	1	0.462654
6	0.238996	1.44097	1	0.586227
7	0.284562	1.11233	1	0.73422
8	0.50654	1.77787	1	0.279935
9	0.308663	1.94174	1	0.260482
10	0.274525	1.80193	1	0.332117
11	0.250829	1.59096	1	0.449872
12	0.232944	1.32817	1	0.604464
13	0.711457	0.760601	1	0.653952
14	0.349861	1.95721	1	0.225346
15	0.292544	1.89613	1	0.264174
16	0.264194	1.72314	1	0.361054
17	0.24255	1.49009	1	0.498492
18	0.24404	1.19763	1	0.665567
19	1.32518	0.722586	1	0.365595
20	0.318134	1.9554	1	0.22741
21	0.279745	1.83457	1	0.294866
22	0.254867	1.63467	1	0.410216
23	0.235249	1.3813	1	0.562587
24	0.448973	0.939045	1	0.694067
25	0.379894	1.92996	1	0.224477
26	0.299411	1.91946	1	0.247125
27	0.268806	1.76072	1	0.33629
28	0.246281	1.53756	1	0.467687
29	0.233677	1.26198	1	0.632424
30	1.04081	0.671638	1	0.523089
31	0.33	1.96236	1	0.221274
32	0.285351	1.86462	1	0.277372
33	0.25906	1.67656	1	0.385071
34	0.238415	1.43243	1	0.531181
35	0.297907	1.0935	1	0.692945
36	0.466614	1.82578	1	0.240628
37	0.307213	1.93888	1	0.236167
38	0.273668	1.79612	1	0.315934
39	0.250155	1.58333	1	0.440209
40	0.232723	1.31886	1	0.599776
41	0.758339	0.739068	1	0.632863
42	0.346325	1.95922	1	0.219542
43	0.291446	1.89181	1	0.262257
44	0.263429	1.71653	1	0.361725
45	0.24193	1.48184	1	0.501204
46	0.247839	1.18521	1	0.668968
47	1.31683	0.797325	1	0.33386
48	0.316385	1.95348	1	0.227678
49	0.278831	1.82918	1	0.297207
50	0.254168	1.62735	1	0.414045
51	0.234772	1.3724	1	0.567622
52	0.488941	0.905929	1	0.689687
53	0.373115	1.93718	1	0.222957
54	0.298184	1.91574	1	0.249032
55	0.268004	1.75447	1	0.339778
56	0.245635	1.52959	1	0.472398
57	0.234475	1.25174	1	0.637887
58	1.09243	0.668381	1	0.499378
59	0.327744	1.96176	1	0.221912
60	0.284364	1.8597	1	0.280096
61	0.258334	1.66956	1	0.389162
62	0.237843	1.42384	1	0.536385
63	0.31416	1.07279	1	0.695395
64	0.44034	1.8578	1	0.236267
65	0.305802	1.93588	1	0.237849
66	0.27282	1.79025	1	0.319275
67	0.249485	1.57565	1	0.444789
68	0.23258	1.30946	1	0.605318
69	0.805185	0.720819	1	0.617725
70	0.343063	1.96073	1	0.21953
71	0.290367	1.88739	1	0.2647
72	0.262671	1.70986	1	0.365603
73	0.241316	1.47354	1	0.506229
74	0.252599	1.17213	1	0.673815
75	1.21028	0.966742	1	0.30446
76	0.314697	1.95139	1	0.228945
77	0.277927	1.82372	1	0.300286
78	0.253474	1.61998	1	0.418413
79	0.234321	1.36344	1	0.573042
80	0.532049	0.872562	1	0.683986
81	0.367221	1.94309	1	0.221889
82	0.296982	1.91191	1	0.251147
83	0.267208	1.74815	1	0.343416
84	0.244993	1.52157	1	0.477222
85	0.235571	1.24127	1	0.643371
86	1.14533	0.667474	1	0.474274
87	0.325597	1.9609	1	0.222679
88	0.283392	1.85469	1	0.282893
89	0.257613	1.6625	1	0.393309
90	0.237283	1.41521	1	0.541633
91	0.333813	1.04992	1	0.697098
92	0.421536	1.8808	1	0.232779
93	0.304428	1.93275	1	0.239601
94	0.27198	1.78431	1	0.322663
95	0.248819	1.56792	1	0.449406
96	0.232532	1.29996	1	0.610872
97	0.852197	0.705658	1	0.601096
98	0.340035	1.96178	1	0.219652
99	0.289306	1.88289	1	0.267197
100	0.261919	1.70313	1	0.369521
