Time	[Ca_ER]	[Ca_Cyt]
0	1	1
1	2.07435	0.374119
2	2.75212	0.344217
3	3.40713	0.344973
4	4.05871	0.347283
5	4.70784	0.349675
6	5.35457	0.352074
7	5.99889	0.354477
8	6.6408	0.356883
9	7.2803	0.359293
10	7.91739	0.361707
11	8.55205	0.364126
12	9.18429	0.36655
13	9.81409	0.368979
14	10.4415	0.371413
15	11.0664	0.373854
16	11.6889	0.376301
17	12.3089	0.378755
18	12.9264	0.381216
19	13.5415	0.383684
20	14.1541	0.386161
21	14.7642	0.388647
22	15.3718	0.391141
23	15.9769	0.393645
24	16.5795	0.396159
25	17.1796	0.398683
26	17.7771	0.401219
27	18.372	0.403766
28	18.9644	0.406326
29	19.5543	0.408898
30	20.1415	0.411484
31	20.7261	0.414085
32	21.3081	0.4167
33	21.8874	0.419331
34	22.4641	0.421979
35	23.0381	0.424644
36	23.6095	0.427326
37	24.1781	0.430029
38	24.744	0.432751
39	25.3071	0.435494
40	25.8675	0.438259
41	26.425	0.441048
42	26.9798	0.443861
43	27.5316	0.4467
44	28.0806	0.449565
45	28.6267	0.45246
46	29.1699	0.455384
47	29.7101	0.45834
48	30.2473	0.461329
49	30.7814	0.464354
50	31.3125	0.467417
51	31.8404	0.470519
52	32.3652	0.473662
53	32.8867	0.476851
54	33.405	0.480086
55	33.92	0.483371
56	34.4316	0.486711
57	34.9398	0.490108
58	35.4445	0.493567
59	35.9457	0.497093
60	36.4432	0.500689
61	36.937	0.504361
62	37.427	0.508115
63	37.9132	0.511959
64	38.3953	0.515902
65	38.8733	0.519951
66	39.3471	0.524117
67	39.8166	0.528412
68	40.2815	0.532852
69	40.7418	0.537451
70	41.1972	0.54223
71	41.6475	0.547214
72	42.0925	0.552431
73	42.5318	0.557919
74	42.9652	0.563724
75	43.3922	0.569907
76	43.8124	0.576548
77	44.2251	0.583758
78	44.6295	0.591697
79	45.0245	0.600605
80	45.4087	0.610866
81	45.7796	0.623159
82	46.1333	0.638831
83	46.4618	0.661127
84	46.7434	0.700998
85	46.8432	0.849357
86	11.3439	23.544
87	5.76237	12.5682
88	3.17172	6.79566
89	2.17501	3.68567
90	3.31368	1.13207
91	4.44092	0.393095
92	5.11629	0.353505
93	5.76294	0.353717
94	6.40582	0.356007
95	7.04621	0.358409
96	7.68418	0.360822
97	8.31973	0.363239
98	8.95286	0.365661
99	9.58356	0.368088
100	10.2118	0.37052
