Time	[Inactive lck]	[Active lck]	[Inactive phosphatase]	[Active phosphatase]	[Total kinase]
0	0	0	0.6	0.6	0
1	0	0	0.605911	0.594089	0
2	0	0	0.611648	0.588352	0
3	0	0	0.617214	0.582786	0
4	0	0	0.622616	0.577384	0
5	0	0	0.627858	0.572142	0
6	0	0	0.632946	0.567054	0
7	0	0	0.637883	0.562117	0
8	0	0	0.642674	0.557326	0
9	0	0	0.647323	0.552677	0
10	0	0	0.651836	0.548164	0
11	0.924808	0.0038051	0.655333	0.544667	0.928613
12	1.71596	0.0119152	0.654656	0.545344	1.72788
13	2.39418	0.0216369	0.648216	0.551784	2.41581
14	2.97594	0.0319791	0.635751	0.564249	3.00792
15	3.47487	0.0426876	0.61756	0.58244	3.51756
16	3.90238	0.053827	0.594163	0.605837	3.9562
17	4.2681	0.0656509	0.566139	0.633861	4.33375
18	4.58008	0.0786298	0.534023	0.665977	4.65871
19	4.84476	0.0936408	0.49821	0.70179	4.9384
20	5.06661	0.112522	0.458766	0.741234	5.17913
21	5.24642	0.139914	0.415013	0.784987	5.38633
22	5.37281	0.191861	0.364134	0.835866	5.56467
23	5.3354	0.382768	0.293089	0.906911	5.71817
24	0.260744	5.58955	0.0330874	1.16691	5.85029
25	0.26698	4.76841	0.00499771	1.195	5.03539
26	0.311776	4.02223	0.00569357	1.19431	4.334
27	0.365763	3.36454	0.0067306	1.19327	3.73031
28	0.431989	2.77871	0.00802615	1.19197	3.2107
29	0.515035	2.24844	0.00969411	1.19031	2.76348
30	0.621886	1.75666	0.0119457	1.18805	2.37855
31	0.761538	1.2857	0.015203	1.1848	2.04723
32	0.934551	0.82752	0.0203439	1.17966	1.76207
33	1.09318	0.423451	0.0289263	1.17107	1.51663
34	1.13932	0.166052	0.0422946	1.15771	1.30537
35	1.06563	0.0579116	0.0597137	1.14029	1.12355
36	0.944536	0.0225095	0.0791363	1.12086	0.967045
37	0.820873	0.0114703	0.0990588	1.10094	0.832344
38	0.708728	0.0076769	0.118786	1.08121	0.716405
39	0.61058	0.00603569	0.138066	1.06193	0.616615
40	0.525644	0.00508164	0.156827	1.04317	0.530726
41	0.452413	0.0043871	0.175065	1.02493	0.4568
42	0.38935	0.00382076	0.192793	1.00721	0.393171
43	0.335068	0.00333752	0.210031	0.989969	0.338406
44	0.28835	0.00291832	0.226795	0.973205	0.291268
45	0.248145	0.00255252	0.243104	0.956896	0.250697
46	0.213544	0.00223264	0.258973	0.941027	0.215777
47	0.183768	0.00195273	0.274414	0.925586	0.185721
48	0.158144	0.00170772	0.28944	0.91056	0.159852
49	0.136092	0.00149325	0.304063	0.895937	0.137586
50	0.117115	0.00130553	0.318292	0.881708	0.118421
51	0.100785	0.00114123	0.332137	0.867863	0.101926
52	0.0867309	0.000997449	0.345608	0.854392	0.0877283
53	0.0746368	0.000871638	0.358714	0.841286	0.0755085
54	0.0642291	0.000761566	0.371463	0.828537	0.0649907
55	0.0552728	0.000665277	0.383863	0.816137	0.055938
56	0.0475653	0.00058106	0.395923	0.804077	0.0481463
57	0.0409325	0.000507411	0.40765	0.79235	0.0414399
58	0.0352247	0.000443014	0.419053	0.780947	0.0356677
59	0.0303127	0.000386718	0.430138	0.769862	0.0306994
60	0.0260857	0.000337512	0.440914	0.759086	0.0264232
61	0.0224482	0.00029451	0.451388	0.748612	0.0227427
62	0.0193179	0.000256938	0.461568	0.738432	0.0195748
63	0.0166241	0.000224115	0.47146	0.72854	0.0168482
64	0.0143059	0.000195447	0.481071	0.718929	0.0145014
65	0.012311	0.000170413	0.49041	0.70959	0.0124814
66	0.0105943	0.000148556	0.499482	0.700518	0.0107429
67	0.00911699	0.000129476	0.508295	0.691705	0.00924646
68	0.00784568	0.000112825	0.516855	0.683145	0.0079585
69	0.00675165	9.82955e-05	0.525169	0.674831	0.00684994
70	0.00581018	8.56202e-05	0.533243	0.666757	0.0058958
71	0.005	7.45647e-05	0.541085	0.658915	0.00507457
72	0.0043028	6.49237e-05	0.5487	0.6513	0.00436772
73	0.00370281	5.65181e-05	0.556094	0.643906	0.00375933
74	0.0031865	4.91911e-05	0.563273	0.636727	0.00323569
75	0.00274218	4.28055e-05	0.570244	0.629756	0.00278498
76	0.00235981	3.72416e-05	0.577012	0.622988	0.00239706
77	0.00203077	3.23946e-05	0.583582	0.616418	0.00206316
78	0.00174761	2.8173e-05	0.589961	0.610039	0.00177578
79	0.00150393	2.44968e-05	0.596153	0.603847	0.00152843
80	0.00129424	2.12962e-05	0.602164	0.597836	0.00131553
81	0.00111378	1.85104e-05	0.607999	0.592001	0.00113229
82	0.000958484	1.60859e-05	0.613663	0.586337	0.00097457
83	0.000824844	1.39764e-05	0.619161	0.580839	0.00083882
84	0.000709838	1.21412e-05	0.624498	0.575502	0.000721979
85	0.000610868	1.05451e-05	0.629678	0.570322	0.000621413
86	0.000525698	9.15721e-06	0.634705	0.565295	0.000534855
87	0.000452404	7.95053e-06	0.639585	0.560415	0.000460354
88	0.000389329	6.90164e-06	0.644322	0.555678	0.000396231
89	0.000335049	5.99008e-06	0.648918	0.551082	0.000341039
90	0.000288337	5.19802e-06	0.65338	0.54662	0.000293535
91	0.000248138	4.50991e-06	0.65771	0.54229	0.000252648
92	0.000213544	3.91224e-06	0.661913	0.538087	0.000217456
93	0.000183773	3.39321e-06	0.665991	0.534009	0.000187166
94	0.000158153	2.94255e-06	0.66995	0.53005	0.000161095
95	0.000136105	2.55133e-06	0.673792	0.526208	0.000138656
96	0.000117131	2.21177e-06	0.67752	0.52248	0.000119342
97	0.000100802	1.9171e-06	0.681139	0.518861	0.000102719
98	8.67496e-05	1.66143e-06	0.68465	0.51535	8.8411e-05
99	7.46565e-05	1.43964e-06	0.688058	0.511942	7.60961e-05
100	6.42493e-05	1.24727e-06	0.691366	0.508634	6.54965e-05
