Time	[ClosedState_3]	[ClosedState_2]	[ClosedState_1]	[OpenState]	[InactivationState]	[cardiac delayed rectifier current]
0	1	0	0	0.06	0	0.102868
1	0.996914	0.00172705	0.00176267	0.0381374	0.0214594	0.0653853
2	0.99385	0.00288947	0.00404859	0.0309234	0.0282885	0.0530172
3	0.990808	0.00401956	0.00633505	0.0284661	0.0303717	0.0488043
4	0.987786	0.00513907	0.0086032	0.0275549	0.0309169	0.047242
5	0.984785	0.00624928	0.0108528	0.0271475	0.0309653	0.0465435
6	0.981805	0.00735044	0.0130842	0.0269057	0.0308549	0.046129
7	0.978845	0.00844268	0.0152975	0.0267198	0.0306953	0.0458102
8	0.975905	0.00952607	0.017493	0.0265539	0.030522	0.0455259
9	0.972985	0.0106007	0.0196707	0.0263967	0.0303466	0.0452562
10	0.970086	0.0116667	0.0218309	0.0262441	0.0301728	0.0449947
11	0.967206	0.012724	0.0239736	0.0260951	0.0300017	0.0447392
12	0.964345	0.0137729	0.026099	0.0259491	0.0298338	0.0444889
13	0.961504	0.0148132	0.0282074	0.025806	0.029669	0.0442436
14	0.958683	0.0158452	0.0302987	0.0256657	0.0295075	0.0440031
15	0.955881	0.0168689	0.0323732	0.0255282	0.0293492	0.0437674
16	0.953097	0.0178843	0.034431	0.0253935	0.029194	0.0435364
17	0.950333	0.0188915	0.0364722	0.0252615	0.0290419	0.04331
18	0.947587	0.0198907	0.0384971	0.0251321	0.0288929	0.0430882
19	0.94486	0.0208818	0.0405057	0.0250054	0.0287469	0.042871
20	0.942152	0.0218649	0.0424981	0.0248813	0.028604	0.0426582
21	0.939461	0.0228402	0.0444746	0.0247598	0.028464	0.0424499
22	0.93679	0.0238076	0.0464351	0.0246408	0.028327	0.0422459
23	0.934136	0.0247672	0.04838	0.0245244	0.0281928	0.0420462
24	0.9315	0.0257192	0.0503093	0.0244104	0.0280615	0.0418508
25	0.928882	0.0266635	0.0522231	0.0242989	0.027933	0.0416597
26	0.926281	0.0276002	0.0541216	0.0241898	0.0278074	0.0414727
27	0.923698	0.0285294	0.0560049	0.0240831	0.0276845	0.0412898
28	0.921133	0.0294512	0.0578731	0.0239788	0.0275643	0.0411109
29	0.918584	0.0303657	0.0597264	0.0238768	0.0274468	0.0409361
