Time	Values[v]	Values[u]
0	-64	-16
1	-64.1503	-16.0006
2	-64.281	-16.0021
3	-64.3925	-16.0046
4	-64.4859	-16.0077
5	-64.5623	-16.0113
6	-64.6236	-16.0154
7	-64.6713	-16.0197
8	-64.7074	-16.0243
9	-64.7335	-16.0289
10	-64.751	-16.0335
11	-64.7615	-16.0381
12	-64.766	-16.0426
13	-64.7658	-16.047
14	-64.7616	-16.0513
15	-64.7543	-16.0554
16	-64.7445	-16.0593
17	-64.7329	-16.063
18	-64.7199	-16.0665
19	-64.7058	-16.0698
20	-64.6911	-16.0729
21	-76.3631	-16.1241
22	-80.5833	-16.2308
23	-81.5569	-16.3511
24	-81.7092	-16.4712
25	-81.6816	-16.588
26	-73.1094	-16.6636
27	-69.6293	-16.6969
28	-67.6839	-16.7101
29	-66.4048	-16.7113
30	-65.476	-16.7045
31	-64.7549	-16.6918
32	-64.1678	-16.6747
33	-63.6724	-16.6541
34	-63.2429	-16.6307
35	-62.8623	-16.605
36	-62.5191	-16.5774
37	-62.205	-16.5483
38	-61.9139	-16.5177
39	-61.6407	-16.486
40	-61.3817	-16.4532
41	-61.1332	-16.4195
42	-60.8921	-16.385
43	-60.6552	-16.3498
44	-60.419	-16.3139
45	-60.1795	-16.2773
46	-59.9317	-16.2399
47	-59.6694	-16.2018
48	-59.3836	-16.1628
49	-59.0617	-16.1227
50	-58.6845	-16.0813
51	-58.2217	-16.0379
52	-57.6222	-15.992
53	-56.7924	-15.9422
54	-55.5421	-15.8864
55	-53.4174	-15.8201
56	-49.0073	-15.7332
57	-34.6461	-15.59
58	-50.484	-15.3376
59	-41.4142	-15.2304
60	-51.8075	-14.9579
61	-46.2932	-14.8816
62	-21.7486	-14.7214
63	-49.5871	-14.5402
64	-39.8567	-14.4485
65	-51.6705	-14.2043
66	-47.2505	-14.1525
67	-30.1061	-14.0373
68	-50.7844	-13.8471
69	-45.3362	-13.7965
70	-18.5024	-13.6573
71	-50.3793	-13.5191
72	-44.7025	-13.4746
73	-14.3846	-13.3336
74	-50.5446	-13.218
75	-45.7847	-13.1864
76	-24.0644	-13.0793
77	-51.1193	-12.9401
78	-47.9476	-12.9255
79	-36.8445	-12.8665
80	-51.7655	-12.6797
81	-50.0805	-12.6821
82	-45.3621	-12.663
83	-22.8873	-12.567
84	-51.5002	-12.4474
85	-49.7934	-12.4547
86	-44.8844	-12.4398
87	-20.0804	-12.3421
88	-51.6461	-12.2393
89	-50.4995	-12.2555
90	-47.4111	-12.257
91	-36.0501	-12.2134
92	-51.9365	-12.0483
93	-51.5043	-12.0746
94	-50.4147	-12.0948
95	-47.4541	-12.1008
96	-36.6414	-12.0636
97	-51.9847	-11.8995
98	-51.849	-11.9315
99	-51.4808	-11.9608
100	-50.541	-11.9847
