Time	Values[u]	Values[v]
0	-16.12	-62
1	-16.1208	-62.122
2	-16.1231	-62.2461
3	-16.1268	-62.3698
4	-16.132	-62.4903
5	-16.1383	-62.6051
6	-16.1458	-62.7121
7	-16.1542	-62.8094
8	-16.1634	-62.8957
9	-16.1731	-62.97
10	-16.1832	-63.0318
11	-16.1935	-63.081
12	-16.2039	-63.1178
13	-16.2142	-63.1428
14	-16.2242	-63.1567
15	-16.2338	-63.1603
16	-16.2429	-63.1545
17	-16.2515	-63.1405
18	-16.2594	-63.119
19	-16.2666	-63.0913
20	-16.2731	-63.0581
21	-16.2661	-61.0141
22	-16.2323	-58.7262
23	-16.1669	-55.6578
24	-16.0541	-50.3164
25	-15.8325	-34.645
26	-15.4609	-60.2063
27	-15.4742	-60.8297
28	-15.4952	-61.5235
29	-15.5243	-62.2476
30	-15.561	-62.9535
31	-15.6046	-63.5955
32	-15.6535	-64.14
33	-15.7063	-64.5705
34	-15.7612	-64.8863
35	-15.8168	-65.0972
36	-15.8717	-65.2188
37	-15.925	-65.2681
38	-15.9759	-65.2609
39	-16.024	-65.2106
40	-16.0689	-65.1283
41	-16.1104	-65.0226
42	-16.1485	-64.9002
43	-16.183	-64.7663
44	-16.2141	-64.6245
45	-16.2419	-64.4778
46	-16.2664	-64.3284
47	-16.2878	-64.178
48	-16.3063	-64.0279
49	-16.322	-63.879
50	-16.335	-63.7321
51	-16.3455	-63.5877
52	-16.3538	-63.4464
53	-16.3598	-63.3086
54	-16.3639	-63.1746
55	-16.366	-63.0446
56	-16.3665	-62.9189
57	-16.3653	-62.7977
58	-16.3627	-62.6812
59	-16.3588	-62.5697
60	-16.3537	-62.4633
61	-16.3475	-62.3623
62	-16.3404	-62.2668
63	-16.3325	-62.1772
64	-16.3238	-62.0937
65	-16.3146	-62.0165
66	-16.3048	-61.946
67	-16.2947	-61.8824
68	-16.2843	-61.8262
69	-16.2738	-61.7776
70	-16.2632	-61.7369
71	-16.2527	-61.7047
72	-16.2423	-61.6811
73	-16.2322	-61.6665
74	-16.2224	-61.6612
75	-16.2132	-61.6654
76	-16.2044	-61.6791
77	-16.1964	-61.7025
78	-16.1891	-61.7353
79	-16.1826	-61.7773
80	-16.1771	-61.828
81	-16.1725	-61.8867
82	-16.1689	-61.9526
83	-16.1664	-62.0246
84	-16.1649	-62.1014
85	-16.1645	-62.1817
86	-16.1652	-62.2638
87	-16.1668	-62.3464
88	-16.1695	-62.4278
89	-16.173	-62.5066
90	-16.1773	-62.5815
91	-16.1823	-62.6512
92	-16.188	-62.7147
93	-16.1941	-62.7713
94	-16.2006	-62.8205
95	-16.2073	-62.8619
96	-16.2142	-62.8954
97	-16.2211	-62.921
98	-16.228	-62.939
99	-16.2347	-62.9496
100	-16.2412	-62.9534
